prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;4615;5219;100.0
государство;4552;4563;98.63488624052005
географические координаты;4478;4739;97.03141928494041
административно-территориальная единица;4352;13030;94.30119176598049
код GeoNames;3588;3643;77.74647887323944
Who's on First ID;3356;3356;72.71939328277355
почтовый индекс;3147;3156;68.19068255687975
численность населения;2997;9259;64.94041170097508
Australian Statistical Geography 2016 ID;2952;2953;63.96533044420368
Australian Statistical Geography 2011 ID;2808;2956;60.84507042253521
женское население;2668;7998;57.81148429035753
мужское население;2668;7997;57.81148429035753
ID отношения в OpenStreetMap;2001;2003;43.35861321776815
категория на Викискладе;1850;1851;40.08667388949079
высота над уровнем моря;1292;1308;27.995666305525464
местонахождение;1212;3908;26.262188515709646
место рождения;1146;7374;24.83206933911159
изображение;1036;1103;22.448537378114843
место смерти;1018;5457;22.058504875406285
названо в честь;616;695;13.347778981581799
Geographical Names Board of NSW ID;584;587;12.654387865655472
Queensland place ID;540;594;11.700975081256772
административно делится на;501;529;10.85590465872156
VICNAMES Place ID;418;470;9.057421451787649
место жительства;401;694;8.689057421451787
расположение штаб-квартиры;391;715;8.47237269772481
код Freebase;391;391;8.47237269772481
Dictionary of Sydney ID;359;360;7.778981581798483
код VIAF;332;335;7.193932827735644
общая тема категории;315;315;6.825568797399784
основная категория по теме;304;305;6.587215601300109
площадь;286;299;6.197183098591549
код темы Quora;271;271;5.872156013001083
Vision of Britain place ID;261;263;5.655471289274106
код LCNAF;249;249;5.395449620801734
TOID;236;254;5.113759479956663
New Zealand Gazetteer place ID;222;229;4.810400866738894
обслуживаемый город;199;363;4.3120260021668475
часовой пояс;154;175;3.3369447453954497
имеет границы с;153;224;3.315276273022752
WOEID;144;144;3.1202600216684724
географический код Великобритании;136;136;2.9469122426868903
не путать с;127;141;2.7518959913326113
местный телефонный код;118;119;2.5568797399783314
место в MusicBrainz;107;107;2.3185265438786566
KEPN ID;94;94;2.036836403033586
идентификатор местоположения ArchINFORM;92;92;1.9934994582881906
Vision of Britain unit ID;90;284;1.9501625135427951
дата основания/создания/возникновения;85;85;1.8418201516793065
расположение конечной точки;74;95;1.6034669555796317
является столицей;72;78;1.5601300108342362
OpenDomesday settlement ID;72;73;1.5601300108342362
