prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;104;197;100.0
государство;71;79;68.26923076923077
административно-территориальная единица;43;55;41.34615384615385
географические координаты;37;37;35.57692307692308
код Freebase;27;27;25.961538461538463
основная категория по теме;25;25;24.03846153846154
общая тема категории;24;24;23.076923076923077
часть от;21;28;20.192307692307693
категория на Викискладе;21;21;20.192307692307693
дата основания/создания/возникновения;20;20;19.230769230769234
код VIAF;19;20;18.269230769230766
дата прекращения существования;16;16;15.384615384615385
изображение;16;16;15.384615384615385
карта местонахождения;16;16;15.384615384615385
состоит из;13;120;12.5
место рождения;13;56;12.5
код GND;13;13;12.5
код в энциклопедии «Британника онлайн»;12;12;11.538461538461538
основная тема;11;28;10.576923076923077
местонахождение;11;19;10.576923076923077
названо в честь;10;18;9.615384615384617
код LCNAF;10;10;9.615384615384617
код в Большой каталанской энциклопедии;10;10;9.615384615384617
описывается в источниках;9;19;8.653846153846153
площадь;9;10;8.653846153846153
столица;8;13;7.6923076923076925
изображение флага;8;8;7.6923076923076925
часть света;8;8;7.6923076923076925
юрисдикция распространяется на;7;9;6.730769230769231
изображение герба;7;7;6.730769230769231
подкласс от;6;20;5.769230769230769
заменил;6;10;5.769230769230769
категория объединяет темы;5;189;4.807692307692308
место активности;5;94;4.807692307692308
заменён на;5;10;4.807692307692308
название на языке оригинала;5;6;4.807692307692308
код в Encyclopædia Universalis;5;5;4.807692307692308
код в Большой российской энциклопедии онлайн;5;5;4.807692307692308
почтовый индекс;5;5;4.807692307692308
используемый язык;4;80;3.8461538461538463
место смерти;4;11;3.8461538461538463
находится в пределах природно-географического объекта;4;6;3.8461538461538463
не путать с;4;6;3.8461538461538463
денежная единица;4;5;3.8461538461538463
French Vikidia ID;4;4;3.8461538461538463
идентификатор Dizionario di Storia;4;4;3.8461538461538463
код GeoNames;4;4;3.8461538461538463
тематически относится к;4;4;3.8461538461538463
эра;4;4;3.8461538461538463
зона обслуживания;3;8;2.8846153846153846
место жительства;3;6;2.8846153846153846
код в Итальянской энциклопедии;3;4;2.8846153846153846
ID отношения в OpenStreetMap;3;3;2.8846153846153846
URL биосферного заповедника ЮНЕСКО;3;3;2.8846153846153846
WDPA;3;3;2.8846153846153846
баннер Викигида;3;3;2.8846153846153846
галерея на Викискладе;3;3;2.8846153846153846
категория защищённых зон МСОП;3;3;2.8846153846153846
категория карт на Викискладе;3;3;2.8846153846153846
код темы Quora;3;3;2.8846153846153846
находится на берегу водоёма;3;3;2.8846153846153846
участник организации или клуба;3;3;2.8846153846153846
является столицей;3;3;2.8846153846153846
происходит из;2;74;1.9230769230769231
гражданство;2;21;1.9230769230769231
имеет границы с;2;5;1.9230769230769231
предыдущее по порядку;2;4;1.9230769230769231
страна происхождения;2;4;1.9230769230769231
официальный язык;2;3;1.9230769230769231
форма правления;2;3;1.9230769230769231
высота над уровнем моря;2;2;1.9230769230769231
изображённый объект;2;2;1.9230769230769231
категория для людей, связанных с местностью;2;2;1.9230769230769231
код BNE;2;2;1.9230769230769231
код BNF;2;2;1.9230769230769231
код Pleiades;2;2;1.9230769230769231
код US National Archives;2;2;1.9230769230769231
код ОКАТО;2;2;1.9230769230769231
код в Итальянской энциклопедии онлайн;2;2;1.9230769230769231
код для сущности Wolfram Language;2;2;1.9230769230769231
место создания;2;2;1.9230769230769231
официальный сайт;2;2;1.9230769230769231
статус наследия;2;2;1.9230769230769231
численность населения;2;2;1.9230769230769231
этнохороним;2;2;1.9230769230769231
находится в охранной зоне;1;3;0.9615384615384616
включает населённый пункт;1;2;0.9615384615384616
область интересов;1;2;0.9615384615384616
регистрационный номер ЕГРОКН;1;2;0.9615384615384616
содержит;1;2;0.9615384615384616
Common Database on Designated Areas ID;1;1;0.9615384615384616
De Agostini ID;1;1;0.9615384615384616
Directorio de Museos y Colecciones de España ID;1;1;0.9615384615384616
ISO 3166-2;1;1;0.9615384615384616
Microsoft Academic ID;1;1;0.9615384615384616
Natura 2000 site ID;1;1;0.9615384615384616
Uppsala University Alvin ID;1;1;0.9615384615384616
WOEID;1;1;0.9615384615384616
Who's on First ID;1;1;0.9615384615384616
dmoz;1;1;0.9615384615384616
административно делится на;1;1;0.9615384615384616
владеет;1;1;0.9615384615384616
владельцем является;1;1;0.9615384615384616
вызывает;1;1;0.9615384615384616
географический код Великобритании;1;1;0.9615384615384616
география темы;1;1;0.9615384615384616
горный хребет;1;1;0.9615384615384616
дата начала;1;1;0.9615384615384616
дата окончания;1;1;0.9615384615384616
действие происходит в эпоху;1;1;0.9615384615384616
десятичная классификация Дьюи;1;1;0.9615384615384616
должность руководителя организации;1;1;0.9615384615384616
значимое место;1;1;0.9615384615384616
идентификатор Bien de Interés Cultural;1;1;0.9615384615384616
идентификатор HDS;1;1;0.9615384615384616
идентификатор Австралийского образовательного словаря;1;1;0.9615384615384616
использует объект;1;1;0.9615384615384616
используется как/для/в;1;1;0.9615384615384616
история происходит в месте;1;1;0.9615384615384616
история темы;1;1;0.9615384615384616
категория для людей, умерших здесь;1;1;0.9615384615384616
код BAV;1;1;0.9615384615384616
код GACS;1;1;0.9615384615384616
код GAMEO;1;1;0.9615384615384616
код ISNI;1;1;0.9615384615384616
код NE.se;1;1;0.9615384615384616
код SELIBR;1;1;0.9615384615384616
код YSO;1;1;0.9615384615384616
код Католической энциклопедии;1;1;0.9615384615384616
код в Культурном словаре;1;1;0.9615384615384616
код в Ларуссе;1;1;0.9615384615384616
код тезауруса PACTOLS;1;1;0.9615384615384616
место в MusicBrainz;1;1;0.9615384615384616
место изготовления;1;1;0.9615384615384616
место съёмок;1;1;0.9615384615384616
момент времени;1;1;0.9615384615384616
наивысшая точка;1;1;0.9615384615384616
находится в пользовании у;1;1;0.9615384615384616
непосредственной причиной является;1;1;0.9615384615384616
обладает свойством;1;1;0.9615384615384616
отделилось от;1;1;0.9615384615384616
отношение к религии;1;1;0.9615384615384616
предположительно одно и то же с;1;1;0.9615384615384616
произношение (звуковой файл);1;1;0.9615384615384616
противоположно;1;1;0.9615384615384616
руководящий орган;1;1;0.9615384615384616
следующее по порядку;1;1;0.9615384615384616
способствовавшим фактором является;1;1;0.9615384615384616
способствует;1;1;0.9615384615384616
тема JSTOR;1;1;0.9615384615384616
участник(и);1;1;0.9615384615384616
часовой пояс;1;1;0.9615384615384616
число посетителей в год;1;1;0.9615384615384616
элемент для смысла;1;1;0.9615384615384616
