prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;121;123;100.0
часть от;97;161;80.16528925619835
государство;91;93;75.20661157024794
состоит из;83;99;68.59504132231406
категория на Викискладе;73;73;60.33057851239669
административно-территориальная единица;65;65;53.71900826446281
изображение;46;46;38.01652892561984
местонахождение;42;67;34.710743801652896
подкласс от;31;41;25.6198347107438
географические координаты;27;31;22.31404958677686
Disney A to Z ID;25;28;20.66115702479339
общая тема категории;23;23;19.00826446280992
описан на сайте;22;27;18.181818181818183
код Freebase;22;22;18.181818181818183
основная категория по теме;20;20;16.528925619834713
дата официального открытия;17;18;14.049586776859504
состоит из представителей класса;15;15;12.396694214876034
логотип;11;11;9.090909090909092
основная тема;11;11;9.090909090909092
официальный сайт;10;10;8.264462809917356
страна происхождения;7;7;5.785123966942149
создано на основе;6;6;4.958677685950414
имеет границы с;5;14;4.132231404958678
дата основания/создания/возникновения;5;5;4.132231404958678
код BabelNet;5;5;4.132231404958678
идентификатор объекта в картах Google;3;3;2.479338842975207
не путать с;3;3;2.479338842975207
спонсор;2;6;1.6528925619834711
дата начала;2;2;1.6528925619834711
дата официального закрытия;2;2;1.6528925619834711
код VIAF;2;2;1.6528925619834711
код для сущности Wolfram Language;2;2;1.6528925619834711
код темы Quora;2;2;1.6528925619834711
названо в честь;2;2;1.6528925619834711
описывается в источниках;2;2;1.6528925619834711
площадь;2;2;1.6528925619834711
производная работа;2;2;1.6528925619834711
официальное название;1;3;0.8264462809917356
учётная запись в Твиттере;1;3;0.8264462809917356
имя;1;2;0.8264462809917356
WorldCat Identities ID;1;1;0.8264462809917356
setlist.fm venue ID;1;1;0.8264462809917356
гражданство;1;1;0.8264462809917356
жанр;1;1;0.8264462809917356
заменил;1;1;0.8264462809917356
заменён на;1;1;0.8264462809917356
история выставок;1;1;0.8264462809917356
код NLI;1;1;0.8264462809917356
код TripAdvisor;1;1;0.8264462809917356
код Yelp;1;1;0.8264462809917356
место активности;1;1;0.8264462809917356
название на языке оригинала;1;1;0.8264462809917356
объём;1;1;0.8264462809917356
персонаж-талисман;1;1;0.8264462809917356
подзаголовок;1;1;0.8264462809917356
статья в Викии;1;1;0.8264462809917356
учётная запись в Instagram;1;1;0.8264462809917356
хештег;1;1;0.8264462809917356
число объектов;1;1;0.8264462809917356
