prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;2398;2444;99.83347210657784
географические координаты;2387;2408;99.37552039966694
государство;2374;2392;98.83430474604496
код GeoNames;2324;2324;96.75270607826812
код GNS;2302;2302;95.8368026644463
административно-территориальная единица;2052;2062;85.42880932556203
высота над уровнем моря;340;344;14.154870940882597
код VIAF;27;27;1.1240632805995003
изображение;20;22;0.832639467110741
категория на Викискладе;17;17;0.7077435470441299
часть от;15;25;0.6244796003330557
код Freebase;15;15;0.6244796003330557
код в энциклопедии «Британника онлайн»;12;12;0.4995836802664446
код в Большой российской энциклопедии онлайн;10;10;0.4163197335553705
находится в пределах природно-географического объекта;10;10;0.4163197335553705
карта местонахождения;8;8;0.33305578684429643
общая тема категории;8;8;0.33305578684429643
состоит из;7;17;0.29142381348875934
названо в честь;7;11;0.29142381348875934
горный хребет;7;8;0.29142381348875934
местонахождение;6;10;0.2497918401332223
описывается в источниках;6;9;0.2497918401332223
основная категория по теме;6;6;0.2497918401332223
наивысшая точка;5;5;0.20815986677768525
место смерти;4;5;0.16652789342214822
длина;4;4;0.16652789342214822
код LCNAF;4;4;0.16652789342214822
исток водотока;3;10;0.12489592006661115
WDPA;3;3;0.12489592006661115
код в Большой каталанской энциклопедии;3;3;0.12489592006661115
код в Энциклопедии современной Украины;3;3;0.12489592006661115
площадь;3;3;0.12489592006661115
сделано из;3;3;0.12489592006661115
ширина;3;3;0.12489592006661115
Environmental Register code (Estonia);2;2;0.08326394671107411
SCAR Composite Gazetteer place ID;2;2;0.08326394671107411
антарктический код GNIS;2;2;0.08326394671107411
идентификатор Государственного реестра географических названий Эстонии;2;2;0.08326394671107411
код BabelNet;2;2;0.08326394671107411
код TGN;2;2;0.08326394671107411
место рождения;2;2;0.08326394671107411
не путать с;2;2;0.08326394671107411
основная тема;2;2;0.08326394671107411
статус наследия;2;2;0.08326394671107411
часть света;2;2;0.08326394671107411
имеет границей;1;3;0.041631973355537054
код места в Facebook;1;2;0.041631973355537054
название на языке оригинала;1;2;0.041631973355537054
тематически относится к;1;2;0.041631973355537054
часовой пояс;1;2;0.041631973355537054
Dagens Næringsliv topic ID;1;1;0.041631973355537054
DoBIH Number;1;1;0.041631973355537054
Norwegian Polar Institute place name ID;1;1;0.041631973355537054
галерея на Викискладе;1;1;0.041631973355537054
категория защищённых зон МСОП;1;1;0.041631973355537054
код BNF;1;1;0.041631973355537054
код Conservatoire du littoral;1;1;0.041631973355537054
код GND;1;1;0.041631973355537054
код GNIS;1;1;0.041631973355537054
код NKC;1;1;0.041631973355537054
код TDV İslam Ansiklopedisi;1;1;0.041631973355537054
код YSO;1;1;0.041631973355537054
код в Башкирской энциклопедии (башкирская версия);1;1;0.041631973355537054
код онлайн-версии Энциклопедии Брокгауз;1;1;0.041631973355537054
находится на берегу водоёма;1;1;0.041631973355537054
оператор;1;1;0.041631973355537054
подкласс от;1;1;0.041631973355537054
рабочий список проекта Викимедиа;1;1;0.041631973355537054
