prop_name;prop_count;prop_count_value;prop_counter
численность населения;29;1538;100.0
имеет границы с;29;206;100.0
административно-территориальная единица;29;69;100.0
часовой пояс;29;58;100.0
юрисдикция распространяется на;29;58;100.0
карта местонахождения;29;41;100.0
это частный случай понятия;29;40;100.0
почтовый индекс;29;38;100.0
государство;29;30;100.0
участник организации или клуба;29;30;100.0
Statistical Service of Cyprus Geocode;29;29;100.0
Who's on First ID;29;29;100.0
административно делится на;29;29;100.0
географические координаты;29;29;100.0
глава правительства;29;29;100.0
должность главы правительства;29;29;100.0
исполнительная власть;29;29;100.0
категория на Викискладе;29;29;100.0
код GeoNames;29;29;100.0
код места в Facebook;29;29;100.0
название на языке оригинала;29;29;100.0
официальное название;29;29;100.0
площадь;29;29;100.0
расположено в религиозной территориальной единице;29;29;100.0
самая восточная точка;29;29;100.0
самая западная точка;29;29;100.0
самая северная точка;29;29;100.0
самая южная точка;29;29;100.0
высота над уровнем моря;28;28;96.55172413793103
официальный сайт;27;47;93.10344827586206
часть от;24;26;82.75862068965517
названо в честь;23;49;79.3103448275862
расположение штаб-квартиры;22;43;75.86206896551724
изображение;21;41;72.41379310344827
Heritage Gazetteer of Cyprus;21;21;72.41379310344827
общая тема категории;20;20;68.96551724137932
основная категория по теме;20;20;68.96551724137932
изображение дорожного знака с названием населённого пункта;18;43;62.06896551724138
код VIAF;18;18;62.06896551724138
место рождения;17;37;58.620689655172406
код LCNAF;15;15;51.724137931034484
учётная запись Facebook;13;13;44.827586206896555
находится в пределах природно-географического объекта;11;12;37.93103448275862
код Freebase;11;11;37.93103448275862
местонахождение;7;9;24.137931034482758
находится на берегу водоёма;7;9;24.137931034482758
состоит из;6;6;20.689655172413794
WOEID;4;4;13.793103448275861
не путать с;4;4;13.793103448275861
город-побратим;3;30;10.344827586206897
код BNF;3;3;10.344827586206897
этнохороним;2;4;6.896551724137931
код vici.org;2;3;6.896551724137931
баннер Викигида;2;2;6.896551724137931
десятичная классификация Дьюи;2;2;6.896551724137931
заменил;1;2;3.4482758620689653
заменён на;1;2;3.4482758620689653
EU Research participant ID;1;1;3.4482758620689653
EU VAT number;1;1;3.4482758620689653
ID отношения в OpenStreetMap;1;1;3.4482758620689653
впадает в;1;1;3.4482758620689653
дата основания/создания/возникновения;1;1;3.4482758620689653
код GND;1;1;3.4482758620689653
код в энциклопедии «Британника онлайн»;1;1;3.4482758620689653
код канала YouTube;1;1;3.4482758620689653
код тезауруса PACTOLS;1;1;3.4482758620689653
код темы Quora;1;1;3.4482758620689653
место обнаружения;1;1;3.4482758620689653
место смерти;1;1;3.4482758620689653
модельный элемент;1;1;3.4482758620689653
основная тема;1;1;3.4482758620689653
