prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;100;1452;100.0
это частный случай понятия;100;189;100.0
географические координаты;100;107;100.0
государство;100;105;100.0
категория на Викискладе;96;96;96.0
часовой пояс;93;186;93.0
код GND;90;92;90.0
высота над уровнем моря;85;91;85.0
почтовый индекс;84;99;84.0
место рождения;83;2070;83.0
местный телефонный код;83;90;83.0
код VIAF;80;81;80.0
площадь;76;96;76.0
место смерти;74;695;74.0
изображение;72;76;72.0
код GeoNames;67;80;67.0
изображение герба;64;79;64.0
Who's on First ID;60;60;60.0
общая тема категории;60;60;60.0
основная категория по теме;60;60;60.0
карта местонахождения;58;58;57.99999999999999
местонахождение;56;2779;56.00000000000001
идентификатор местоположения ArchINFORM;54;54;54.0
код Freebase;54;54;54.0
численность населения;49;236;49.0
официальный сайт;41;47;41.0
ID отношения в OpenStreetMap;38;38;38.0
названо в честь;35;62;35.0
расположение штаб-квартиры;32;67;32.0
административно делится на;31;40;31.0
код LCNAF;29;29;28.999999999999996
место активности;28;119;28.000000000000004
имеет границы с;27;122;27.0
категория объединяет темы;25;41;25.0
находится на берегу водоёма;25;33;25.0
идентификатор муниципалитетов в Германии;25;25;25.0
город-побратим;24;37;24.0
код автомобильного номера;23;25;23.0
место в MusicBrainz;23;23;23.0
NWBib ID;20;20;20.0
десятичная классификация Дьюи;20;20;20.0
место жительства;19;38;19.0
код Historical Gazetteer;19;32;19.0
галерея на Викискладе;19;19;19.0
WOEID;18;30;18.0
код TGN;18;18;18.0
категория для людей, родившихся здесь;17;17;17.0
основная тема;14;32;14.000000000000002
код GNS;14;14;14.000000000000002
описывается в источниках;13;18;13.0
код NKC;11;11;11.0
используемый язык;9;18;9.0
место создания;9;12;9.0
геоданные;9;9;9.0
категория для людей, связанных с местностью;8;8;8.0
является столицей;7;14;7.000000000000001
столица;7;12;7.000000000000001
категория карт на Викискладе;7;7;7.000000000000001
короткое название;6;8;6.0
HOV-ID;6;6;6.0
категория для людей, умерших здесь;6;6;6.0
код BNF;6;6;6.0
код в Большой каталанской энциклопедии;6;6;6.0
произношение (звуковой файл);6;6;6.0
участник организации или клуба;6;6;6.0
история происходит в месте;5;20;5.0
официальное название;5;13;5.0
WorldCat Identities ID;5;5;5.0
место погребения;5;5;5.0
список памятников;5;5;5.0
юрисдикция распространяется на;4;9;4.0
находится в пределах природно-географического объекта;4;5;4.0
не путать с;4;5;4.0
дата основания/создания/возникновения;4;4;4.0
дата прекращения существования;4;4;4.0
код темы Quora;4;4;4.0
ключевое событие;3;25;3.0
место публикации;3;13;3.0
число домов;3;8;3.0
изображение флага;3;4;3.0
место съёмок;3;4;3.0
название на языке оригинала;3;4;3.0
München Wiki article ID;3;3;3.0
баннер Викигида;3;3;3.0
глава правительства;3;3;3.0
состоит из;3;3;3.0
подробная карта;2;4;2.0
туристический центр;2;3;2.0
Uppsala University Alvin ID;2;2;2.0
архивы хранятся в;2;2;2.0
должность главы правительства;2;2;2.0
заказчик произведения;2;2;2.0
заменил;2;2;2.0
заменён на;2;2;2.0
значимое место;2;2;2.0
изображённый объект;2;2;2.0
код EMLO location;2;2;2.0
код GAMEO;2;2;2.0
код в Nomisma.org;2;2;2.0
код онлайн-версии Энциклопедии Брокгауз;2;2;2.0
первое письменное упоминание;2;2;2.0
предположительно одно и то же с;2;2;2.0
расположение конечной точки;2;2;2.0
статус наследия;2;2;2.0
уничтожено;2;2;2.0
этнохороним;1;7;1.0
URL-ссылка на источник;1;4;1.0
типовая местность (геология);1;3;1.0
глубочайшая точка;1;2;1.0
код NUTS;1;2;1.0
код места в Instagram;1;2;1.0
наивысшая точка;1;2;1.0
следующее по порядку;1;2;1.0
страница веб-камеры;1;2;1.0
включает населённый пункт;1;1;1.0
горный хребет;1;1;1.0
дата начала;1;1;1.0
дата окончания;1;1;1.0
идентификатор HDS;1;1;1.0
издатель;1;1;1.0
имя;1;1;1.0
исток водотока;1;1;1.0
код BabelNet;1;1;1.0
код Bildkatalog;1;1;1.0
код CERL;1;1;1.0
код FAST;1;1;1.0
код NLI;1;1;1.0
код Pleiades;1;1;1.0
код US National Archives;1;1;1.0
код в Большой российской энциклопедии онлайн;1;1;1.0
код в энциклопедии «Британника онлайн»;1;1;1.0
код места в Facebook;1;1;1.0
код места в MusicBrainz;1;1;1.0
конечная;1;1;1.0
место изготовления;1;1;1.0
место обнаружения;1;1;1.0
место происхождения (Швейцария);1;1;1.0
оператор;1;1;1.0
описан на сайте;1;1;1.0
описание герба;1;1;1.0
организатор;1;1;1.0
основатель;1;1;1.0
предки из;1;1;1.0
проходит над/под;1;1;1.0
редактор;1;1;1.0
самая восточная точка;1;1;1.0
самая западная точка;1;1;1.0
самая северная точка;1;1;1.0
самая южная точка;1;1;1.0
святой покровитель;1;1;1.0
следующий остановочный пункт;1;1;1.0
тематически относится к;1;1;1.0
транскрипция в МФА;1;1;1.0
учётная запись Facebook;1;1;1.0
часть от;1;1;1.0
часть света;1;1;1.0
