prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;10;18;100.0
столица;10;17;100.0
это частный случай понятия;10;16;100.0
государство;10;15;100.0
является столицей;10;15;100.0
географические координаты;10;12;100.0
почтовый индекс;10;11;100.0
код ОКАТО;10;10;100.0
код ОКТМО;10;10;100.0
местный телефонный код;9;9;90.0
место рождения;8;21;80.0
дата основания/создания/возникновения;6;6;60.0
численность населения;6;6;60.0
категория объединяет темы;4;6;40.0
место смерти;4;5;40.0
категория для людей, родившихся здесь;4;4;40.0
часовой пояс;3;3;30.0
официальное название;2;3;20.0
административно делится на;2;2;20.0
высота над уровнем моря;2;2;20.0
Who's on First ID;1;1;10.0
категория для людей, связанных с местностью;1;1;10.0
категория для людей, умерших здесь;1;1;10.0
место в MusicBrainz;1;1;10.0
описывается в источниках;1;1;10.0
основная тема;1;1;10.0
официальный сайт;1;1;10.0
первое письменное упоминание;1;1;10.0
