prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;10;26;100.0
административно-территориальная единица;10;22;100.0
географические координаты;10;10;100.0
государство;10;10;100.0
изображение;9;9;90.0
код топонима в Квебеке;9;9;90.0
дата прекращения существования;8;8;80.0
код GeoNames;8;8;80.0
место рождения;7;106;70.0
Who's on First ID;7;7;70.0
заменил;7;7;70.0
заменён на;7;7;70.0
категория на Викискладе;7;7;70.0
местонахождение;6;18;60.0
имеет границы с;6;13;60.0
код VIAF;6;6;60.0
площадь;6;6;60.0
место смерти;5;23;50.0
численность населения;5;21;50.0
ID отношения в OpenStreetMap;5;5;50.0
дата основания/создания/возникновения;5;5;50.0
Quebec municipalities geographical code;4;4;40.0
административно делится на;4;4;40.0
канадский географический код;4;4;40.0
карта местонахождения;4;4;40.0
находится в границах современной административной единицы;4;4;40.0
код Freebase;3;3;30.0
код LCNAF;3;3;30.0
место в MusicBrainz;3;3;30.0
названо в честь;2;3;20.0
идентификатор местоположения ArchINFORM;2;2;20.0
код US National Archives;2;2;20.0
уникальный код CGNDB;2;2;20.0
часовой пояс;2;2;20.0
Open Library subject ID;1;1;10.0
UN/LOCODE;1;1;10.0
WorldCat Identities ID;1;1;10.0
высота над уровнем моря;1;1;10.0
галерея на Викискладе;1;1;10.0
город-побратим;1;1;10.0
значимое место;1;1;10.0
идентификатор статьи в Канадской энциклопедии;1;1;10.0
имя;1;1;10.0
код TGN;1;1;10.0
код в Большой каталанской энциклопедии;1;1;10.0
код в энциклопедии «Британника онлайн»;1;1;10.0
местный телефонный код;1;1;10.0
место жительства;1;1;10.0
место съёмок;1;1;10.0
название на языке оригинала;1;1;10.0
находится на берегу водоёма;1;1;10.0
официальное название;1;1;10.0
юрисдикция распространяется на;1;1;10.0
