prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;10;21285;111.11111111111111
место рождения;10;350;111.11111111111111
место смерти;10;109;111.11111111111111
имеет границы с;10;101;111.11111111111111
категория объединяет темы;10;94;111.11111111111111
расположение штаб-квартиры;10;77;111.11111111111111
юрисдикция распространяется на;10;50;111.11111111111111
число мест;10;48;111.11111111111111
список памятников;10;20;111.11111111111111
часовой пояс;10;20;111.11111111111111
часть от;10;17;111.11111111111111
официальный язык;10;15;111.11111111111111
административно делится на;10;12;111.11111111111111
код NUTS;10;12;111.11111111111111
официальный сайт;10;12;111.11111111111111
государство;10;11;111.11111111111111
карта местонахождения;10;11;111.11111111111111
код LCNAF;10;11;111.11111111111111
код VIAF;10;11;111.11111111111111
это частный случай понятия;10;11;111.11111111111111
FIPS 10-4 (страны и регионы);10;10;111.11111111111111
French Vikidia ID;10;10;111.11111111111111
ID отношения в OpenStreetMap;10;10;111.11111111111111
ISO 3166-2;10;10;111.11111111111111
Who's on First ID;10;10;111.11111111111111
архивы хранятся в;10;10;111.11111111111111
высота над уровнем моря;10;10;111.11111111111111
галерея на Викискладе;10;10;111.11111111111111
географические координаты;10;10;111.11111111111111
геоданные;10;10;111.11111111111111
дата основания/создания/возникновения;10;10;111.11111111111111
законодательный орган;10;10;111.11111111111111
идентификатор HDS;10;10;111.11111111111111
идентификатор местоположения ArchINFORM;10;10;111.11111111111111
изображение герба;10;10;111.11111111111111
изображение флага;10;10;111.11111111111111
категория для людей, родившихся здесь;10;10;111.11111111111111
категория для людей, связанных с местностью;10;10;111.11111111111111
категория для людей, умерших здесь;10;10;111.11111111111111
категория на Викискладе;10;10;111.11111111111111
код BNF;10;10;111.11111111111111
код Freebase;10;10;111.11111111111111
код GND;10;10;111.11111111111111
код GeoNames;10;10;111.11111111111111
код STW Thesaurus for Economics;10;10;111.11111111111111
код автомобильного номера;10;10;111.11111111111111
место в MusicBrainz;10;10;111.11111111111111
общая тема категории;10;10;111.11111111111111
основная категория по теме;10;10;111.11111111111111
площадь;10;10;111.11111111111111
столица;10;10;111.11111111111111
численность населения;10;10;111.11111111111111
является столицей;10;10;111.11111111111111
состоит из;9;13;100.0
изображённый объект;9;9;100.0
местонахождение;8;16;88.88888888888889
произношение (звуковой файл);8;11;88.88888888888889
код темы Quora;8;9;88.88888888888889
код ISNI;8;8;88.88888888888889
код в Большой каталанской энциклопедии;8;8;88.88888888888889
код статьи Klexikon;8;8;88.88888888888889
основная тема портала Викимедиа;8;8;88.88888888888889
портал Викимедиа;8;8;88.88888888888889
владельцем является;7;42;77.77777777777779
оператор;7;27;77.77777777777779
основная тема;7;26;77.77777777777779
десятичная классификация Дьюи;7;7;77.77777777777779
код в энциклопедии «Британника онлайн»;7;7;77.77777777777779
описывается в источниках;6;21;66.66666666666666
происходит из;6;17;66.66666666666666
используемый язык;6;16;66.66666666666666
владеет;6;12;66.66666666666666
названо в честь;6;8;66.66666666666666
место активности;5;11;55.55555555555556
официальное название;5;8;55.55555555555556
место жительства;5;6;55.55555555555556
анклав в;5;5;55.55555555555556
баннер Викигида;5;5;55.55555555555556
изображение;5;5;55.55555555555556
место изготовления;4;8;44.44444444444444
гражданство;4;7;44.44444444444444
название на языке оригинала;4;7;44.44444444444444
ответственность несёт;4;7;44.44444444444444
работодатель;4;6;44.44444444444444
эксклав от;4;5;44.44444444444444
PersonalData.IO ID;4;4;44.44444444444444
идентификатор Ringgold;4;4;44.44444444444444
категория для людей, похороненных здесь;4;4;44.44444444444444
код SUDOC;4;4;44.44444444444444
код в Encyclopædia Universalis;4;4;44.44444444444444
место погребения;3;26;33.33333333333333
место съёмок;3;17;33.33333333333333
место обнаружения;3;7;33.33333333333333
зона обслуживания;3;4;33.33333333333333
dmoz;3;3;33.33333333333333
категория фильмов, снятых в этом месте;3;3;33.33333333333333
код TGN;3;3;33.33333333333333
код тезауруса PACTOLS;3;3;33.33333333333333
наивысшая точка;3;3;33.33333333333333
находится в пределах природно-географического объекта;3;3;33.33333333333333
участник организации или клуба;3;3;33.33333333333333
денежная единица;2;3;22.22222222222222
WorldCat Identities ID;2;2;22.22222222222222
глава правительства;2;2;22.22222222222222
город-побратим;2;2;22.22222222222222
значение в OmegaWiki;2;2;22.22222222222222
история происходит в месте;2;2;22.22222222222222
код BabelNet;2;2;22.22222222222222
код GAMEO;2;2;22.22222222222222
код NKC;2;2;22.22222222222222
находится в пользовании у;2;2;22.22222222222222
позиционная карта;2;2;22.22222222222222
постоянный дубликат;2;2;22.22222222222222
ежегодное количество свадеб;1;49;11.11111111111111
место создания;1;8;11.11111111111111
полученные награды;1;2;11.11111111111111
страна происхождения;1;2;11.11111111111111
участник(и);1;2;11.11111111111111
LIR;1;1;11.11111111111111
заменён на;1;1;11.11111111111111
идентификатор Dizionario di Storia;1;1;11.11111111111111
источник материала;1;1;11.11111111111111
кем названо;1;1;11.11111111111111
код EMLO location;1;1;11.11111111111111
код NLI;1;1;11.11111111111111
код SELIBR;1;1;11.11111111111111
код онлайн-версии Энциклопедии Брокгауз;1;1;11.11111111111111
местный телефонный код;1;1;11.11111111111111
место публикации;1;1;11.11111111111111
начало пути;1;1;11.11111111111111
не путать с;1;1;11.11111111111111
описание флага;1;1;11.11111111111111
отделилось от;1;1;11.11111111111111
подробная карта;1;1;11.11111111111111
пункт назначения;1;1;11.11111111111111
спонсор;1;1;11.11111111111111
