prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;17;32;100.0
административно-территориальная единица;17;27;100.0
географические координаты;17;17;100.0
государство;17;17;100.0
карта местонахождения;14;14;82.35294117647058
код GNIS;14;14;82.35294117647058
площадь;14;14;82.35294117647058
FIPS 55-3 (места в США);13;13;76.47058823529412
изображение;12;13;70.58823529411765
высота над уровнем моря;11;11;64.70588235294117
категория на Викискладе;11;11;64.70588235294117
код Freebase;9;9;52.94117647058824
код GeoNames;9;9;52.94117647058824
имеет границы с;8;9;47.05882352941176
место рождения;7;15;41.17647058823529
идентификатор местоположения ArchINFORM;6;6;35.294117647058826
Who's on First ID;5;5;29.411764705882355
код LCNAF;5;5;29.411764705882355
код VIAF;5;5;29.411764705882355
местонахождение;3;4;17.647058823529413
административно делится на;3;3;17.647058823529413
место жительства;3;3;17.647058823529413
расположение штаб-квартиры;3;3;17.647058823529413
код темы Quora;2;3;11.76470588235294
численность населения;2;3;11.76470588235294
место в MusicBrainz;2;2;11.76470588235294
общая тема категории;2;2;11.76470588235294
основная категория по теме;2;2;11.76470588235294
официальный сайт;2;2;11.76470588235294
почтовый индекс;2;2;11.76470588235294
ID отношения в OpenStreetMap;1;1;5.88235294117647
баннер Викигида;1;1;5.88235294117647
код ISNI;1;1;5.88235294117647
код TGN;1;1;5.88235294117647
лицензия на вещание в;1;1;5.88235294117647
местный телефонный код;1;1;5.88235294117647
место смерти;1;1;5.88235294117647
описание флага;1;1;5.88235294117647
представляет;1;1;5.88235294117647
часовой пояс;1;1;5.88235294117647
