prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;10;2607;100.0
категория объединяет темы;10;53;100.0
изображение;10;24;100.0
административно делится на;10;20;100.0
государство;10;12;100.0
общая тема категории;10;12;100.0
официальный сайт;10;12;100.0
изображение герба;10;11;100.0
FIPS 10-4 (страны и регионы);10;10;100.0
ID отношения в OpenStreetMap;10;10;100.0
ISO 3166-2;10;10;100.0
Who's on First ID;10;10;100.0
географические координаты;10;10;100.0
геоданные;10;10;100.0
дата основания/создания/возникновения;10;10;100.0
идентификатор местоположения ArchINFORM;10;10;100.0
изображение флага;10;10;100.0
карта местонахождения;10;10;100.0
категория для людей, родившихся здесь;10;10;100.0
категория карт на Викискладе;10;10;100.0
категория на Викискладе;10;10;100.0
код Freebase;10;10;100.0
код GND;10;10;100.0
код GeoNames;10;10;100.0
код TGN;10;10;100.0
основная категория по теме;10;10;100.0
площадь;10;10;100.0
столица;10;10;100.0
часть от;10;10;100.0
это частный случай понятия;10;10;100.0
имеет границы с;9;31;90.0
место рождения;9;24;90.0
баннер Викигида;9;9;90.0
десятичная классификация Дьюи;9;9;90.0
код BNF;9;9;90.0
категория для людей, похороненных здесь;8;8;80.0
категория для людей, умерших здесь;8;8;80.0
код в энциклопедии «Британника онлайн»;8;8;80.0
является столицей;8;8;80.0
место погребения;7;27;70.0
категория для людей, связанных с местностью;7;7;70.0
код VIAF;5;5;50.0
код в Большой каталанской энциклопедии;5;5;50.0
место смерти;4;10;40.0
место в MusicBrainz;4;4;40.0
название на языке оригинала;3;4;30.0
описывается в источниках;3;4;30.0
основная тема;3;4;30.0
код NKC;3;3;30.0
численность населения;3;3;30.0
используемый язык;2;3;20.0
происходит из;2;3;20.0
география темы;2;2;20.0
заменил;2;2;20.0
заменён на;2;2;20.0
код BabelNet;2;2;20.0
основная тема портала Викимедиа;2;2;20.0
официальное название;2;2;20.0
портал Викимедиа;2;2;20.0
тематически относится к;2;2;20.0
часовой пояс;1;2;10.0
WorldCat Identities ID;1;1;10.0
анклав в;1;1;10.0
изображение дорожного знака с названием населённого пункта;1;1;10.0
код темы Quora;1;1;10.0
место публикации;1;1;10.0
награда от;1;1;10.0
названо в честь;1;1;10.0
наивысшая точка;1;1;10.0
не путать с;1;1;10.0
подкласс от;1;1;10.0
