prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;10;2460;100.0
географические координаты;10;12;100.0
FIPS 10-4 (страны и регионы);10;11;100.0
ID отношения в OpenStreetMap;10;10;100.0
ISO 3166-2;10;10;100.0
Who's on First ID;10;10;100.0
административно делится на;10;10;100.0
государство;10;10;100.0
карта местонахождения;10;10;100.0
код Freebase;10;10;100.0
код GeoNames;10;10;100.0
код TGN;10;10;100.0
общая тема категории;10;10;100.0
основная категория по теме;10;10;100.0
площадь;10;10;100.0
столица;10;10;100.0
это частный случай понятия;10;10;100.0
категория на Викискладе;9;9;90.0
является столицей;8;8;80.0
десятичная классификация Дьюи;6;6;60.0
код ihsi;5;5;50.0
код в Большой каталанской энциклопедии;4;4;40.0
место в MusicBrainz;4;4;40.0
имеет границы с;3;4;30.0
высота над уровнем моря;2;2;20.0
код BabelNet;2;2;20.0
местонахождение;2;2;20.0
находится в пределах природно-географического объекта;1;2;10.0
баннер Викигида;1;1;10.0
дата основания/создания/возникновения;1;1;10.0
код автомобильного номера;1;1;10.0
место рождения;1;1;10.0
