prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;10;578;100.0
имеет границы с;10;60;100.0
юрисдикция распространяется на;10;50;100.0
категория объединяет темы;10;21;100.0
географические координаты;10;12;100.0
изображение герба;10;11;100.0
FIPS 10-4 (страны и регионы);10;10;100.0
ID отношения в OpenStreetMap;10;10;100.0
ISO 3166-2;10;10;100.0
Who's on First ID;10;10;100.0
административно делится на;10;10;100.0
государство;10;10;100.0
десятичная классификация Дьюи;10;10;100.0
должность главы правительства;10;10;100.0
законодательный орган;10;10;100.0
исполнительная власть;10;10;100.0
карта местонахождения;10;10;100.0
категория на Викискладе;10;10;100.0
код Freebase;10;10;100.0
код GeoNames;10;10;100.0
код TGN;10;10;100.0
код в Большой каталанской энциклопедии;10;10;100.0
общая тема категории;10;10;100.0
основная категория по теме;10;10;100.0
площадь;10;10;100.0
столица;10;10;100.0
численность населения;10;10;100.0
это частный случай понятия;10;10;100.0
является столицей;10;10;100.0
используемый язык;9;20;90.0
происходит из;9;20;90.0
изображение флага;9;9;90.0
категория карт на Викискладе;9;9;90.0
категория для людей, родившихся здесь;8;8;80.0
часовой пояс;8;8;80.0
место рождения;7;16;70.0
код GND;7;7;70.0
место в MusicBrainz;6;6;60.0
официальный сайт;6;6;60.0
изображение;5;9;50.0
категория для людей, связанных с местностью;4;4;40.0
дата основания/создания/возникновения;3;3;30.0
код VIAF;3;3;30.0
код BNF;2;2;20.0
название на языке оригинала;2;2;20.0
начало пути;1;2;10.0
пункт назначения;1;2;10.0
значимое место;1;1;10.0
код LCNAF;1;1;10.0
код US National Archives;1;1;10.0
место смерти;1;1;10.0
местонахождение;1;1;10.0
обслуживаемый город;1;1;10.0
позиционная карта;1;1;10.0
