prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;100;125;100.0
государство;98;99;98.0
географические координаты;96;101;96.0
административно-территориальная единица;87;100;87.0
код GeoNames;80;81;80.0
высота над уровнем моря;67;68;67.0
код GNS;60;60;60.0
изображение;35;43;35.0
категория на Викискладе;26;26;26.0
код Freebase;21;21;21.0
код VIAF;21;21;21.0
находится в пределах природно-географического объекта;17;706;17.0
общая тема категории;14;14;14.000000000000002
основная категория по теме;13;13;13.0
код LCNAF;12;16;12.0
состоит из;11;14;11.0
код в Большой каталанской энциклопедии;10;10;10.0
часть от;9;15;9.0
площадь;8;10;8.0
код в энциклопедии «Британника онлайн»;8;8;8.0
описывается в источниках;6;8;6.0
глубочайшая точка;5;8;5.0
место смерти;5;6;5.0
код Цифрового атласа Римской империи;5;5;5.0
местонахождение;5;5;5.0
часовой пояс;5;5;5.0
численность населения;5;5;5.0
статус наследия;4;14;4.0
баннер Викигида;4;4;4.0
горный хребет;4;4;4.0
код TGN;4;4;4.0
код в Большой российской энциклопедии онлайн;4;4;4.0
названо в честь;4;4;4.0
находится в охранной зоне;4;4;4.0
основная тема;4;4;4.0
код FAST;3;3;3.0
код GND;3;3;3.0
код NKC;3;3;3.0
код NLI;3;3;3.0
код в Encyclopædia Universalis;3;3;3.0
не путать с;3;3;3.0
Bavarian geotope ID;2;2;2.0
WDPA;2;2;2.0
Who's on First ID;2;2;2.0
водосборный бассейн;2;2;2.0
галерея на Викискладе;2;2;2.0
длина;2;2;2.0
карта местонахождения;2;2;2.0
код GNIS;2;2;2.0
код в Итальянской энциклопедии онлайн;2;2;2.0
код темы Quora;2;2;2.0
находится на берегу водоёма;2;2;2.0
обслуживаемый город;2;2;2.0
официальный сайт;2;2;2.0
критерий Всемирного наследия;1;3;1.0
Great Encyclopedia of Navarre ID;1;1;1.0
IDA place ID;1;1;1.0
OhRanger.com ID;1;1;1.0
впадающие в озеро реки;1;1;1.0
дата основания/создания/возникновения;1;1;1.0
десятичная классификация Дьюи;1;1;1.0
идентификатор Dizionario di Storia;1;1;1.0
идентификатор местоположения ArchINFORM;1;1;1.0
изображённый объект;1;1;1.0
категория защищённых зон МСОП;1;1;1.0
категория карт на Викискладе;1;1;1.0
категория объединяет темы;1;1;1.0
код BabelNet;1;1;1.0
код NE.se;1;1;1.0
код «Вики любит памятники»;1;1;1.0
код Всемирного наследия ЮНЕСКО;1;1;1.0
код в Большой арагонской энциклопедии;1;1;1.0
код в Иранике;1;1;1.0
код в Предварительном списке Всемирного наследия;1;1;1.0
код тезауруса PACTOLS;1;1;1.0
конечная;1;1;1.0
место рождения;1;1;1.0
подробная карта;1;1;1.0
полученные награды;1;1;1.0
предположительно одно и то же с;1;1;1.0
пример использования свойства;1;1;1.0
ширина;1;1;1.0
