prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;7;256;100.0
государство;7;10;100.0
административно делится на;7;7;100.0
географические координаты;7;7;100.0
карта местонахождения;7;7;100.0
категория на Викискладе;7;7;100.0
код Freebase;7;7;100.0
общая тема категории;7;7;100.0
основная категория по теме;7;7;100.0
столица;7;7;100.0
это частный случай понятия;7;7;100.0
является столицей;7;7;100.0
место рождения;6;17;85.71428571428571
изображение;6;6;85.71428571428571
не путать с;6;6;85.71428571428571
площадь;6;6;85.71428571428571
категория объединяет темы;4;11;57.14285714285714
место смерти;4;6;57.14285714285714
категория для людей, родившихся здесь;4;4;57.14285714285714
код GeoNames;4;4;57.14285714285714
позиционная карта;4;4;57.14285714285714
имеет границы с;3;4;42.857142857142854
категория для людей, связанных с местностью;3;3;42.857142857142854
местный телефонный код;3;3;42.857142857142854
категория карт на Викискладе;2;2;28.57142857142857
место погребения;2;2;28.57142857142857
местонахождение;2;2;28.57142857142857
часовой пояс;2;2;28.57142857142857
численность населения;2;2;28.57142857142857
изображение герба;1;1;14.285714285714285
категория для людей, похороненных здесь;1;1;14.285714285714285
категория для людей, умерших здесь;1;1;14.285714285714285
код автомобильного номера;1;1;14.285714285714285
