prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;10;23;100.0
административно-территориальная единица;10;12;100.0
государство;10;11;100.0
изображение;9;10;90.0
географические координаты;9;9;90.0
категория на Викискладе;8;8;80.0
местонахождение;7;22;70.0
код Freebase;5;5;50.0
статус наследия;4;6;40.0
архитектор;4;5;40.0
архитектурный стиль;4;4;40.0
дата основания/создания/возникновения;4;4;40.0
официальный сайт;4;4;40.0
состоит из;4;4;40.0
часть от;4;4;40.0
вид спорта;3;5;30.0
archINFORM project ID;3;3;30.0
владельцем является;3;3;30.0
дата официального открытия;3;3;30.0
идентификатор Structurae;3;3;30.0
категория Викисклада для интерьера элемента;3;3;30.0
категория объединяет темы;3;3;30.0
обитатель;2;6;20.0
домашний стадион;2;4;20.0
вместимость;2;2;20.0
код GND;2;2;20.0
код GeoNames;2;2;20.0
код ISNI;2;2;20.0
код LCNAF;2;2;20.0
код VIAF;2;2;20.0
код в Большой российской энциклопедии онлайн;2;2;20.0
код в регистре Национального наследия Ирана;2;2;20.0
код в энциклопедии «Британника онлайн»;2;2;20.0
код места в MusicBrainz;2;2;20.0
указания, как добраться;2;2;20.0
состоит из представителей класса;1;6;10.0
хранится в коллекции;1;3;10.0
полученные награды;1;2;10.0
Carthalia ID;1;1;10.0
French Vikidia ID;1;1;10.0
New York City Landmarks Preservation Commission ID;1;1;10.0
PSS;1;1;10.0
адрес;1;1;10.0
вдохновлено;1;1;10.0
владеет;1;1;10.0
выдающееся произведение;1;1;10.0
высота/рост;1;1;10.0
галерея на Викискладе;1;1;10.0
заказчик произведения;1;1;10.0
записано на;1;1;10.0
идентификатор Rijksmonument;1;1;10.0
изображённый объект;1;1;10.0
инженер-строитель;1;1;10.0
используется как/для/в;1;1;10.0
ключевое событие;1;1;10.0
код BabelNet;1;1;10.0
код Всемирного наследия ЮНЕСКО;1;1;10.0
код в Encyclopædia Universalis;1;1;10.0
код в Europeana;1;1;10.0
код по OpenCorporates;1;1;10.0
код стадиона на StadiumDB;1;1;10.0
код темы Quora;1;1;10.0
название на языке оригинала;1;1;10.0
названо в честь;1;1;10.0
номер компании (Япония);1;1;10.0
основная тема;1;1;10.0
пункт назначения;1;1;10.0
расположен на улице;1;1;10.0
сделано из;1;1;10.0
