prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;29;120;100.0
это частный случай понятия;29;56;100.0
географические координаты;29;30;100.0
государство;29;29;100.0
часовой пояс;28;54;96.55172413793103
Who's on First ID;26;26;89.65517241379311
код GeoNames;26;26;89.65517241379311
почтовый индекс;26;26;89.65517241379311
категория на Викискладе;25;25;86.20689655172413
изображение;24;25;82.75862068965517
численность населения;22;103;75.86206896551724
карта местонахождения;22;22;75.86206896551724
площадь;22;22;75.86206896551724
административно делится на;21;23;72.41379310344827
код Freebase;21;21;72.41379310344827
имеет границы с;20;113;68.96551724137932
юрисдикция распространяется на;20;40;68.96551724137932
French public service directory ID;20;20;68.96551724137932
должность главы правительства;20;20;68.96551724137932
код муниципалитета INSEE;20;20;68.96551724137932
номер SIREN;20;20;68.96551724137932
официальное название;20;20;68.96551724137932
код BNF;19;19;65.51724137931035
полученные награды;19;19;65.51724137931035
место смерти;11;24;37.93103448275862
изображение герба;11;11;37.93103448275862
общая тема категории;11;11;37.93103448275862
основная категория по теме;11;11;37.93103448275862
официальный сайт;11;11;37.93103448275862
место рождения;9;35;31.03448275862069
высота над уровнем моря;8;8;27.586206896551722
код VIAF;7;8;24.137931034482758
ID отношения в OpenStreetMap;4;4;13.793103448275861
код GND;4;4;13.793103448275861
код тезауруса PACTOLS;4;4;13.793103448275861
местный телефонный код;4;4;13.793103448275861
включает населённый пункт;3;3;10.344827586206897
код Historical Gazetteer;3;3;10.344827586206897
произношение (звуковой файл);3;3;10.344827586206897
столица;3;3;10.344827586206897
является столицей;3;3;10.344827586206897
местонахождение;2;6;6.896551724137931
расположение штаб-квартиры;2;4;6.896551724137931
галерея на Викискладе;2;2;6.896551724137931
идентификатор местоположения ArchINFORM;2;2;6.896551724137931
не путать с;2;2;6.896551724137931
обслуживаемый город;2;2;6.896551724137931
город-побратим;1;3;3.4482758620689653
начало пути;1;2;3.4482758620689653
Australian War Memorial ID;1;1;3.4482758620689653
BAG-код для нидерландских городов;1;1;3.4482758620689653
French Vikidia ID;1;1;3.4482758620689653
WOEID;1;1;3.4482758620689653
WorldCat Identities ID;1;1;3.4482758620689653
баннер Викигида;1;1;3.4482758620689653
глава правительства;1;1;3.4482758620689653
десятичная классификация Дьюи;1;1;3.4482758620689653
изображение флага;1;1;3.4482758620689653
изображённый объект;1;1;3.4482758620689653
категория для людей, родившихся здесь;1;1;3.4482758620689653
категория объединяет темы;1;1;3.4482758620689653
код GNS;1;1;3.4482758620689653
код LCNAF;1;1;3.4482758620689653
код SUDOC;1;1;3.4482758620689653
код Цифрового атласа Римской империи;1;1;3.4482758620689653
названо в честь;1;1;3.4482758620689653
описывается в источниках;1;1;3.4482758620689653
основная тема;1;1;3.4482758620689653
пункт назначения;1;1;3.4482758620689653
расположение конечной точки;1;1;3.4482758620689653
состоит из;1;1;3.4482758620689653
часть от;1;1;3.4482758620689653
