prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;54;122;100.0
государство;54;55;100.0
административно-территориальная единица;53;59;98.14814814814815
географические координаты;52;52;96.29629629629629
изображение;50;51;92.5925925925926
статус наследия;47;68;87.03703703703704
часть от;39;528;72.22222222222221
категория на Викискладе;39;39;72.22222222222221
состоит из;38;549;70.37037037037037
местонахождение;36;445;66.66666666666666
Rijksmonument complex ID;33;33;61.111111111111114
владельцем является;18;64;33.33333333333333
владеет;15;26;27.77777777777778
дата основания/создания/возникновения;14;14;25.925925925925924
место рождения;11;29;20.37037037037037
официальный сайт;9;15;16.666666666666664
изображённый объект;8;79;14.814814814814813
основная тема;8;42;14.814814814814813
место смерти;8;18;14.814814814814813
код VIAF;8;9;14.814814814814813
код GeoNames;8;8;14.814814814814813
место жительства;7;11;12.962962962962962
код Freebase;7;7;12.962962962962962
адрес;6;7;11.11111111111111
ответственность несёт;6;6;11.11111111111111
почтовый индекс;6;6;11.11111111111111
используется как/для/в;5;18;9.25925925925926
площадь;5;10;9.25925925925926
описан на сайте;5;9;9.25925925925926
архитектор;5;8;9.25925925925926
архитектурный стиль;5;6;9.25925925925926
высота над уровнем моря;4;4;7.4074074074074066
код BBC Your Paintings venue;4;4;7.4074074074074066
код строения Cadw;4;4;7.4074074074074066
расположение штаб-квартиры;4;4;7.4074074074074066
обитатель;3;19;5.555555555555555
категория объединяет темы;3;6;5.555555555555555
расположен на улице;3;5;5.555555555555555
идентификатор объекта в картах Google;3;4;5.555555555555555
код NRHP;3;4;5.555555555555555
Parks & Gardens UK Record ID;3;3;5.555555555555555
archINFORM project ID;3;3;5.555555555555555
код GND;3;3;5.555555555555555
код LCNAF;3;3;5.555555555555555
код темы Quora;3;3;5.555555555555555
общая тема категории;3;3;5.555555555555555
основная категория по теме;3;3;5.555555555555555
место погребения;2;8;3.7037037037037033
Open Library subject ID;2;7;3.7037037037037033
названо в честь;2;5;3.7037037037037033
часовой пояс;2;4;3.7037037037037033
численность населения;2;4;3.7037037037037033
URL;2;3;3.7037037037037033
выдающееся произведение;2;3;3.7037037037037033
столица;2;3;3.7037037037037033
хранится в коллекции;2;3;3.7037037037037033
является столицей;2;3;3.7037037037037033
Vision of Britain place ID;2;2;3.7037037037037033
Who's on First ID;2;2;3.7037037037037033
галерея на Викискладе;2;2;3.7037037037037033
дата официального открытия;2;2;3.7037037037037033
заказчик произведения;2;2;3.7037037037037033
идентификатор Répertoire du patrimoine culturel du Québec;2;2;3.7037037037037033
изображение флага;2;2;3.7037037037037033
код BabelNet;2;2;3.7037037037037033
код NLI;2;2;3.7037037037037033
код ОКТМО;2;2;3.7037037037037033
код в Europeana;2;2;3.7037037037037033
код в энциклопедии «Британника онлайн»;2;2;3.7037037037037033
код места в Foursquare;2;2;3.7037037037037033
находится на берегу водоёма;2;2;3.7037037037037033
основатель;2;2;3.7037037037037033
официальная резиденция;2;2;3.7037037037037033
страница учреждения на Викискладе;2;2;3.7037037037037033
учётная запись Facebook;2;2;3.7037037037037033
учётная запись в Instagram;2;2;3.7037037037037033
код Canmore;1;36;1.8518518518518516
код канала YouTube;1;4;1.8518518518518516
код TGN;1;3;1.8518518518518516
сделано из;1;3;1.8518518518518516
идентификатор Rijksmonument;1;2;1.8518518518518516
код места в MusicBrainz;1;2;1.8518518518518516
код организации на C-SPAN;1;2;1.8518518518518516
код топонима в Квебеке;1;2;1.8518518518518516
не путать с;1;2;1.8518518518518516
Athenaeum museum ID;1;1;1.8518518518518516
Atlas Obscura identifier;1;1;1.8518518518518516
National Library of Wales Authority ID;1;1;1.8518518518518516
Uppsala University Alvin ID;1;1;1.8518518518518516
Uppslagsverket Finland ID;1;1;1.8518518518518516
Virginia Landmarks Register ID;1;1;1.8518518518518516
WOEID;1;1;1.8518518518518516
WorldCat Identities ID;1;1;1.8518518518518516
eBird hotspot ID;1;1;1.8518518518518516
в точности соответствует;1;1;1.8518518518518516
идентификатор Historic Places;1;1;1.8518518518518516
идентификатор Structurae;1;1;1.8518518518518516
изображается на;1;1;1.8518518518518516
изображение герба;1;1;1.8518518518518516
изображение памятной доски;1;1;1.8518518518518516
история происходит в месте;1;1;1.8518518518518516
карта местонахождения;1;1;1.8518518518518516
категория Викисклада для интерьера элемента;1;1;1.8518518518518516
категория для людей, похороненных здесь;1;1;1.8518518518518516
категория для людей, родившихся здесь;1;1;1.8518518518518516
категория для людей, связанных с местностью;1;1;1.8518518518518516
категория для людей, умерших здесь;1;1;1.8518518518518516
категория карт на Викискладе;1;1;1.8518518518518516
ключевое событие;1;1;1.8518518518518516
код EMLO location;1;1;1.8518518518518516
код FAST;1;1;1.8518518518518516
код GNIS;1;1;1.8518518518518516
код Historic Scotland;1;1;1.8518518518518516
код ISNI;1;1;1.8518518518518516
код LAC;1;1;1.8518518518518516
код NE.se;1;1;1.8518518518518516
код TripAdvisor;1;1;1.8518518518518516
код US National Archives;1;1;1.8518518518518516
код Yelp;1;1;1.8518518518518516
код kulturnoe-nasledie.ru;1;1;1.8518518518518516
код Всемирного наследия ЮНЕСКО;1;1;1.8518518518518516
код КОАТУУ;1;1;1.8518518518518516
код ОКАТО;1;1;1.8518518518518516
код в Предварительном списке Всемирного наследия;1;1;1.8518518518518516
код в проекте SNAC;1;1;1.8518518518518516
код места в Instagram;1;1;1.8518518518518516
количество этажей;1;1;1.8518518518518516
критерий Всемирного наследия;1;1;1.8518518518518516
материнская компания (организация, учреждение);1;1;1.8518518518518516
местный телефонный код;1;1;1.8518518518518516
место активности;1;1;1.8518518518518516
место содержания под стражей;1;1;1.8518518518518516
название на языке оригинала;1;1;1.8518518518518516
номер в списке Английского наследия;1;1;1.8518518518518516
номер телефона;1;1;1.8518518518518516
оператор;1;1;1.8518518518518516
основная строительная организация;1;1;1.8518518518518516
пассажиропоток;1;1;1.8518518518518516
первое письменное упоминание;1;1;1.8518518518518516
пример использования свойства;1;1;1.8518518518518516
регистрационный номер ЕГРОКН;1;1;1.8518518518518516
собрание работ;1;1;1.8518518518518516
