prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;10;20;100.0
географические координаты;10;10;100.0
государство;10;10;100.0
административно-территориальная единица;8;19;80.0
изображение;8;9;80.0
категория на Викискладе;6;6;60.0
площадь;6;6;60.0
состоит из;4;8;40.0
названо в честь;4;7;40.0
код Ramsar Sites Information Service;4;4;40.0
статус наследия;4;4;40.0
WDPA;3;3;30.0
дата основания/создания/возникновения;3;3;30.0
категория защищённых зон МСОП;3;3;30.0
код Freebase;3;3;30.0
официальный сайт;3;3;30.0
часть от;3;3;30.0
находится в охранной зоне;2;3;20.0
находится в пределах природно-географического объекта;2;3;20.0
карта местонахождения;2;2;20.0
код VIAF;2;2;20.0
соединяется с;2;2;20.0
основная тема;1;6;10.0
не путать с;1;3;10.0
указания, как добраться;1;3;10.0
местонахождение;1;2;10.0
Atlas Obscura identifier;1;1;10.0
ID отношения в OpenStreetMap;1;1;10.0
URL биосферного заповедника ЮНЕСКО;1;1;10.0
баннер Викигида;1;1;10.0
галерея на Викискладе;1;1;10.0
значимое место;1;1;10.0
каталожный код;1;1;10.0
категория карт на Викискладе;1;1;10.0
категория объединяет темы;1;1;10.0
код в энциклопедии «Британника онлайн»;1;1;10.0
место изготовления;1;1;10.0
место смерти;1;1;10.0
наивысшая точка;1;1;10.0
общая тема категории;1;1;10.0
оператор;1;1;10.0
основная категория по теме;1;1;10.0
произношение (звуковой файл);1;1;10.0
