prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;10;14;100.0
государство;10;10;100.0
это частный случай понятия;10;10;100.0
географические координаты;8;8;80.0
изображение;7;7;70.0
категория на Викискладе;5;5;50.0
дата окончания;3;3;30.0
длина;3;3;30.0
заменил;3;3;30.0
заменён на;3;3;30.0
ширина;3;3;30.0
дата основания/создания/возникновения;2;2;20.0
дата прекращения существования;2;2;20.0
карта местонахождения;2;2;20.0
названо в честь;2;2;20.0
не путать с;2;2;20.0
место активности;1;1;10.0
произношение (звуковой файл);1;1;10.0
