prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;100;149;101.01010101010101
государство;99;99;100.0
географические координаты;98;104;98.98989898989899
административно-территориальная единица;95;98;95.95959595959596
изображение;94;100;94.94949494949495
категория на Викискладе;84;84;84.84848484848484
статус наследия;75;133;75.75757575757575
часть от;67;108;67.67676767676768
состоит из;65;105;65.65656565656566
местонахождение;55;190;55.55555555555556
адрес;49;54;49.494949494949495
идентификатор Rijksmonument;30;33;30.303030303030305
код в Europeana;29;30;29.292929292929294
дата основания/создания/возникновения;28;28;28.28282828282828
официальный сайт;26;27;26.262626262626267
почтовый индекс;23;23;23.232323232323232
код Freebase;22;22;22.22222222222222
код VIAF;17;19;17.17171717171717
расположен на улице;17;19;17.17171717171717
код «Вики любит памятники»;16;16;16.161616161616163
площадь;14;19;14.14141414141414
Polish cultural heritage register number;12;13;12.121212121212121
INSPIRE ID;12;12;12.121212121212121
код GeoNames;12;12;12.121212121212121
названо в честь;9;11;9.090909090909092
основная тема;8;43;8.080808080808081
описан на сайте;8;22;8.080808080808081
используется как/для/в;8;21;8.080808080808081
владеет;8;10;8.080808080808081
архитектор;8;9;8.080808080808081
владельцем является;8;8;8.080808080808081
галерея на Викискладе;8;8;8.080808080808081
общая тема категории;8;8;8.080808080808081
основная категория по теме;8;8;8.080808080808081
ключевое событие;7;13;7.07070707070707
код Всемирного наследия ЮНЕСКО;7;9;7.07070707070707
выдающееся произведение;7;8;7.07070707070707
код Mérimée;7;8;7.07070707070707
код LCNAF;7;7;7.07070707070707
архитектурный стиль;6;8;6.0606060606060606
код GND;6;7;6.0606060606060606
код TripAdvisor;6;6;6.0606060606060606
код в энциклопедии «Британника онлайн»;6;6;6.0606060606060606
идентификатор объекта в картах Google;5;5;5.05050505050505
код в Большой каталанской энциклопедии;5;5;5.05050505050505
код темы Quora;5;5;5.05050505050505
пример использования свойства;5;5;5.05050505050505
изображённый объект;4;70;4.040404040404041
описывается в источниках;4;13;4.040404040404041
имеет границы с;4;7;4.040404040404041
BGCI garden ID;4;4;4.040404040404041
ID отношения в OpenStreetMap;4;4;4.040404040404041
Parks & Gardens UK Record ID;4;4;4.040404040404041
дата официального открытия;4;4;4.040404040404041
код в регистре Национального наследия Ирана;4;4;4.040404040404041
название на языке оригинала;4;4;4.040404040404041
основатель;4;4;4.040404040404041
указания, как добраться;4;4;4.040404040404041
учётная запись Facebook;4;4;4.040404040404041
критерий Всемирного наследия;3;12;3.0303030303030303
находится в пределах природно-географического объекта;3;8;3.0303030303030303
место рождения;3;5;3.0303030303030303
идентификатор Bien de Interés Cultural;3;4;3.0303030303030303
идентификатор Historic Places;3;4;3.0303030303030303
изображение памятной доски;3;4;3.0303030303030303
archINFORM project ID;3;3;3.0303030303030303
код Национальной исторической достопримечательности Канады;3;3;3.0303030303030303
код места в Foursquare;3;3;3.0303030303030303
оператор;3;3;3.0303030303030303
произношение (звуковой файл);3;3;3.0303030303030303
код Canmore;2;45;2.0202020202020203
код Historic Scotland;2;15;2.0202020202020203
обитатель;2;7;2.0202020202020203
Songkick venue ID;2;3;2.0202020202020203
место жительства;2;3;2.0202020202020203
подкласс от;2;3;2.0202020202020203
Architectuurgids building ID;2;2;2.0202020202020203
Michelin Voyages ID;2;2;2.0202020202020203
Moroccan cultural heritage ID;2;2;2.0202020202020203
Who's on First ID;2;2;2.0202020202020203
зимнее изображение;2;2;2.0202020202020203
идентификатор Répertoire du patrimoine culturel du Québec;2;2;2.0202020202020203
идентификатор Structurae;2;2;2.0202020202020203
идентификатор видео YouTube;2;2;2.0202020202020203
карта местонахождения;2;2;2.0202020202020203
код BNF;2;2;2.0202020202020203
код BabelNet;2;2;2.0202020202020203
