prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;10;313;100.0
ISO 3166-2;10;10;100.0
административно делится на;10;10;100.0
географические координаты;10;10;100.0
государство;10;10;100.0
категория на Викискладе;10;10;100.0
код Freebase;10;10;100.0
общая тема категории;10;10;100.0
основная категория по теме;10;10;100.0
это частный случай понятия;10;10;100.0
глава правительства;9;12;90.0
площадь;9;9;90.0
столица;9;9;90.0
численность населения;8;9;80.0
название на языке оригинала;7;7;70.0
является столицей;7;7;70.0
изображение;6;6;60.0
карта местонахождения;6;6;60.0
официальное название;6;6;60.0
категория объединяет темы;5;6;50.0
категория для людей, связанных с местностью;5;5;50.0
используемый язык;4;5;40.0
код GeoNames;4;5;40.0
происходит из;4;5;40.0
место в MusicBrainz;4;4;40.0
место рождения;3;7;30.0
часовой пояс;3;6;30.0
юрисдикция распространяется на;3;3;30.0
часть от;2;3;20.0
код BabelNet;2;2;20.0
ID отношения в OpenStreetMap;1;1;10.0
Израильский муниципальный код;1;1;10.0
высота над уровнем моря;1;1;10.0
дата основания/создания/возникновения;1;1;10.0
десятичная классификация Дьюи;1;1;10.0
изображение герба;1;1;10.0
категория для людей, родившихся здесь;1;1;10.0
местонахождение;1;1;10.0
официальный сайт;1;1;10.0
подробная карта;1;1;10.0
расположение штаб-квартиры;1;1;10.0
