prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;10;15;100.0
государство;10;10;100.0
географические координаты;9;11;90.0
административно-территориальная единица;8;11;80.0
водосборный бассейн;5;5;50.0
впадает в;5;5;50.0
код GeoNames;5;5;50.0
приток;5;5;50.0
изображение;4;4;40.0
исток водотока;3;3;30.0
код GNS;3;3;30.0
находится на берегу водоёма;2;3;20.0
ID отношения в OpenStreetMap;2;2;20.0
высота над уровнем моря;2;2;20.0
длина;2;2;20.0
категория на Викискладе;2;2;20.0
код ГВР;2;2;20.0
находится в пределах природно-географического объекта;2;2;20.0
проходит над/под;2;2;20.0
статус наследия;2;2;20.0
описывается в источниках;1;3;10.0
код в Большой каталанской энциклопедии;1;2;10.0
New Zealand Heritage List number;1;1;10.0
вытекающие из озера реки;1;1;10.0
дата основания/создания/возникновения;1;1;10.0
местонахождение;1;1;10.0
названо в честь;1;1;10.0
площадь бассейна;1;1;10.0
самая восточная точка;1;1;10.0
самая западная точка;1;1;10.0
часть от;1;1;10.0
