prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;100;208;100.0
государство;96;97;96.0
административно-территориальная единица;89;894;89.0
географические координаты;63;79;63.0
площадь;54;90;54.0
численность населения;39;79;39.0
категория на Викискладе;35;35;35.0
изображение;33;38;33.0
высота над уровнем моря;29;29;28.999999999999996
Indian census area code (2011);27;29;27.0
почтовый индекс;27;27;27.0
женское население;25;56;25.0
мужское население;25;56;25.0
часовой пояс;25;31;25.0
место рождения;24;70;24.0
число домохозяйств;24;54;24.0
Who's on First ID;24;24;24.0
общая тема категории;23;23;23.0
основная категория по теме;23;23;23.0
карта местонахождения;20;27;20.0
местонахождение;18;44;18.0
код Freebase;18;18;18.0
код GeoNames;17;17;17.0
код GNIS;15;15;15.0
часть от;14;581;14.000000000000002
код VIAF;13;14;13.0
баннер Викигида;12;12;12.0
дата основания/создания/возникновения;11;11;11.0
имеет границы с;10;37;10.0
место смерти;10;16;10.0
FIPS 55-3 (места в США);10;10;10.0
столица;10;10;10.0
административно делится на;9;15;9.0
названо в честь;9;9;9.0
идентификатор местоположения ArchINFORM;8;8;8.0
код LCNAF;8;8;8.0
код темы Quora;8;8;8.0
название на языке оригинала;8;8;8.0
официальный сайт;8;8;8.0
код в Большой каталанской энциклопедии;7;7;7.000000000000001
местный телефонный код;7;7;7.000000000000001
происходит из;6;7;6.0
является столицей;6;6;6.0
состоит из;5;42;5.0
dmoz;5;5;5.0
код TGN;5;5;5.0
основная тема;4;12;4.0
официальное название;4;8;4.0
категория объединяет темы;4;6;4.0
код GND;4;4;4.0
код автомобильного номера;4;4;4.0
код тезауруса PACTOLS;4;4;4.0
находится в пределах природно-географического объекта;3;88;3.0
находится на берегу водоёма;3;12;3.0
изображение флага;3;4;3.0
код BabelNet;3;3;3.0
самая восточная точка;3;3;3.0
самая западная точка;3;3;3.0
самая северная точка;3;3;3.0
самая южная точка;3;3;3.0
часть света;3;3;3.0
городское население;2;16;2.0
сельское население;2;16;2.0
используемый язык;2;4;2.0
официальная религия;2;4;2.0
изображение герба;2;3;2.0
ответственность несёт;2;3;2.0
FIPS 10-4 (страны и регионы);2;2;2.0
ISO 3166-2;2;2;2.0
Indian census area code (2001);2;2;2.0
WOEID;2;2;2.0
глубочайшая точка;2;2;2.0
денежная единица;2;2;2.0
идентификатор ROR;2;2;2.0
категория карт на Викискладе;2;2;2.0
код BNF;2;2;2.0
код NKC;2;2;2.0
код YSO;2;2;2.0
код grid global research;2;2;2.0
код в энциклопедии «Британника онлайн»;2;2;2.0
код места SIMC;2;2;2.0
наивысшая точка;2;2;2.0
не путать с;2;2;2.0
расположение штаб-квартиры;2;2;2.0
этнохороним;2;2;2.0
юрисдикция распространяется на;2;2;2.0
ключевое событие;1;20;1.0
кухня;1;13;1.0
содержит;1;9;1.0
прозвище;1;5;1.0
предыдущее по порядку;1;4;1.0
число посетителей в год;1;4;1.0
исполнительная власть;1;2;1.0
код SUDOC;1;2;1.0
описывается в источниках;1;2;1.0
подкласс от;1;2;1.0
Australian War Memorial ID;1;1;1.0
ID отношения в OpenStreetMap;1;1;1.0
WorldCat Identities ID;1;1;1.0
владельцем является;1;1;1.0
глава правительства;1;1;1.0
дата вывода из эксплуатации;1;1;1.0
дата начала;1;1;1.0
дата принятия в эксплуатацию;1;1;1.0
десятичная классификация Дьюи;1;1;1.0
длина;1;1;1.0
законодательный орган;1;1;1.0
занимает ту же территорию с;1;1;1.0
зона обслуживания;1;1;1.0
идентификатор Ringgold;1;1;1.0
история происходит в месте;1;1;1.0
категория для людей, связанных с местностью;1;1;1.0
кем названо;1;1;1.0
классификация климата Кёппена;1;1;1.0
код FAST;1;1;1.0
код GNS;1;1;1.0
код ISNI;1;1;1.0
код NE.se;1;1;1.0
код NLI;1;1;1.0
код SIPA;1;1;1.0
код КОАТУУ;1;1;1.0
код в Большой российской энциклопедии онлайн;1;1;1.0
код индонезийского поселения;1;1;1.0
место в MusicBrainz;1;1;1.0
место жительства;1;1;1.0
место обнаружения;1;1;1.0
место погребения;1;1;1.0
на территорию претендует;1;1;1.0
общий объём импорта;1;1;1.0
общий объём экспорта;1;1;1.0
основная тема портала Викимедиа;1;1;1.0
подробная карта;1;1;1.0
позиционная карта;1;1;1.0
портал Викимедиа;1;1;1.0
постоянный дубликат;1;1;1.0
представляет страну в спорте;1;1;1.0
родной язык;1;1;1.0
руководящий орган;1;1;1.0
святой покровитель;1;1;1.0
статус наследия;1;1;1.0
тематически относится к;1;1;1.0
уровень безработицы;1;1;1.0
участник организации или клуба;1;1;1.0
