prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;10;13;100.0
географические координаты;10;10;100.0
государство;10;10;100.0
статус наследия;7;25;70.0
часть от;7;15;70.0
площадь;6;10;60.0
состоит из;6;10;60.0
код Всемирного наследия ЮНЕСКО;6;8;60.0
административно-территориальная единица;4;5;40.0
изображение;3;3;30.0
категория на Викискладе;3;3;30.0
код GeoNames;3;3;30.0
находится в пределах природно-географического объекта;2;94;20.0
код Freebase;2;2;20.0
код VIAF;2;2;20.0
находится в охранной зоне;2;2;20.0
административно делится на;1;7;10.0
критерий Всемирного наследия;1;2;10.0
Geographical Names Board of NSW ID;1;1;10.0
Who's on First ID;1;1;10.0
dmoz;1;1;10.0
баннер Викигида;1;1;10.0
высота над уровнем моря;1;1;10.0
дата основания/создания/возникновения;1;1;10.0
категория защищённых зон МСОП;1;1;10.0
ключевое событие;1;1;10.0
код LCNAF;1;1;10.0
код NDL;1;1;10.0
код TripAdvisor;1;1;10.0
код в энциклопедии «Британника онлайн»;1;1;10.0
код культурного наследия Нового Южного Уэльса;1;1;10.0
названо в честь;1;1;10.0
общая тема категории;1;1;10.0
основная категория по теме;1;1;10.0
полученные награды;1;1;10.0
соединяется с;1;1;10.0
