prop_name;prop_count;prop_count_value;prop_counter
находится на берегу водоёма;10;865;100.0
проходит над/под;10;489;100.0
впадает в;10;454;100.0
названо в честь;10;326;100.0
географические координаты;10;23;100.0
государство;10;20;100.0
изображение;10;11;100.0
приток;10;11;100.0
длина;10;10;100.0
категория на Викискладе;10;10;100.0
код Freebase;10;10;100.0
код в Большой каталанской энциклопедии;10;10;100.0
общая тема категории;10;10;100.0
площадь бассейна;10;10;100.0
это частный случай понятия;10;10;100.0
находится в пределах природно-географического объекта;9;52;90.0
основная тема;9;50;90.0
категория объединяет темы;9;30;90.0
водосборный бассейн;9;22;90.0
код GeoNames;9;9;90.0
основная категория по теме;9;9;90.0
расход воды;9;9;90.0
код VIAF;8;9;80.0
категория бассейна;8;8;80.0
код GND;8;8;80.0
местонахождение;7;41;70.0
административно-территориальная единица;7;36;70.0
описывается в источниках;7;20;70.0
исток водотока;7;19;70.0
впадающие в озеро реки;7;18;70.0
ID отношения в OpenStreetMap;7;7;70.0
код LCNAF;7;7;70.0
код Цифрового атласа Римской империи;7;7;70.0
код в энциклопедии «Британника онлайн»;7;7;70.0
вытекающие из озера реки;6;14;60.0
French Vikidia ID;6;7;60.0
галерея на Викискладе;6;6;60.0
код темы Quora;6;6;60.0
часть света;6;6;60.0
изображённый объект;5;390;50.0
бассейн объекта в странах;5;9;50.0
код NKC;5;6;50.0
карта местонахождения;5;5;50.0
код BNF;5;5;50.0
код в Большой российской энциклопедии онлайн;5;5;50.0
место смерти;4;8;40.0
значение в OmegaWiki;4;4;40.0
код SANDRE;4;4;40.0
часть от;3;12;30.0
глубочайшая точка;3;5;30.0
код SUDOC;3;4;30.0
баннер Викигида;3;3;30.0
карта этой дороги;3;3;30.0
категория карт на Викискладе;3;3;30.0
место рождения;3;3;30.0
водоём на реке;2;4;20.0
Basque Vikidia ID;2;2;20.0
идентификатор Dizionario di Storia;2;2;20.0
история происходит в месте;2;2;20.0
код BabelNet;2;2;20.0
код Comic Vine;2;2;20.0
код NDL;2;2;20.0
код US National Archives;2;2;20.0
код в Encyclopædia Universalis;2;2;20.0
код в Большой норвежской энциклопедии;2;2;20.0
код в Ларуссе;2;2;20.0
код тезауруса PACTOLS;2;2;20.0
произношение (звуковой файл);2;2;20.0
расположено на линии;2;2;20.0
FANTOIR code;1;13;10.0
Речной рукав;1;3;10.0
пример использования свойства;1;3;10.0
место обнаружения;1;2;10.0
несёт на себе;1;2;10.0
продюсер;1;2;10.0
соответствующий список;1;2;10.0
English Vikidia ID;1;1;10.0
Great Encyclopedia of Navarre ID;1;1;10.0
Italian Vikidia ID;1;1;10.0
LAWA waterbody ID;1;1;10.0
Who's on First ID;1;1;10.0
вторая фамилия в испанском имени;1;1;10.0
гидрографический код GKZ;1;1;10.0
зона обслуживания;1;1;10.0
идентификатор HDS;1;1;10.0
имеет границей;1;1;10.0
использует;1;1;10.0
код GNS;1;1;10.0
код ISNI;1;1;10.0
код Pleiades;1;1;10.0
код SELIBR;1;1;10.0
код TGN;1;1;10.0
код UK Parliament thesaurus;1;1;10.0
код YSO;1;1;10.0
код в Большой арагонской энциклопедии;1;1;10.0
код в Итальянской энциклопедии онлайн;1;1;10.0
код онлайн-версии Энциклопедии Брокгауз;1;1;10.0
код статьи Klexikon;1;1;10.0
конечная;1;1;10.0
место изготовления;1;1;10.0
место погребения;1;1;10.0
место съёмок;1;1;10.0
название на языке оригинала;1;1;10.0
не путать с;1;1;10.0
основная тема шаблона;1;1;10.0
основной шаблон по теме;1;1;10.0
рабочий список проекта Викимедиа;1;1;10.0
состоит из;1;1;10.0
тематически относится к;1;1;10.0
файл KML;1;1;10.0
число Стралера;1;1;10.0
элемент для смысла;1;1;10.0
