prop_name;prop_count;prop_count_value;prop_counter
географические координаты;72;73;102.85714285714285
государство;72;72;102.85714285714285
код GeoNames;72;72;102.85714285714285
это частный случай понятия;72;72;102.85714285714285
административно-территориальная единица;70;74;100.0
код GNS;70;70;100.0
высота над уровнем моря;56;56;80.0
код VIAF;7;7;10.0
код LCNAF;4;4;5.714285714285714
изображение;3;3;4.285714285714286
находится на берегу водоёма;2;9;2.857142857142857
Gazetteer for Scotland place ID;1;2;1.4285714285714286
вертикальная глубина;1;1;1.4285714285714286
карта местонахождения;1;1;1.4285714285714286
категория на Викискладе;1;1;1.4285714285714286
код в Большой каталанской энциклопедии;1;1;1.4285714285714286
местонахождение;1;1;1.4285714285714286
названо в честь;1;1;1.4285714285714286
проходит над/под;1;1;1.4285714285714286
