prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;3;1893;100.0
государство;3;19;100.0
это частный случай понятия;3;18;100.0
географические координаты;3;3;100.0
изображение;3;3;100.0
место рождения;2;6038;66.66666666666666
место смерти;2;2974;66.66666666666666
расположение штаб-квартиры;2;669;66.66666666666666
история происходит в месте;2;424;66.66666666666666
место погребения;2;235;66.66666666666666
местонахождение;2;217;66.66666666666666
место жительства;2;212;66.66666666666666
место съёмок;2;157;66.66666666666666
место создания;2;104;66.66666666666666
место активности;2;90;66.66666666666666
город-побратим;2;78;66.66666666666666
категория объединяет темы;2;53;66.66666666666666
численность населения;2;41;66.66666666666666
юрисдикция распространяется на;2;23;66.66666666666666
основная тема;2;17;66.66666666666666
место публикации;2;15;66.66666666666666
изображённый объект;2;14;66.66666666666666
столица;2;11;66.66666666666666
место изготовления;2;10;66.66666666666666
обслуживаемый город;2;7;66.66666666666666
глава правительства;2;6;66.66666666666666
часть от;2;5;66.66666666666666
этнохороним;2;5;66.66666666666666
ключевое событие;2;4;66.66666666666666
код GeoNames;2;4;66.66666666666666
название на языке оригинала;2;4;66.66666666666666
является столицей;2;4;66.66666666666666
карта местонахождения;2;3;66.66666666666666
код в энциклопедии «Британника онлайн»;2;3;66.66666666666666
официальный сайт;2;3;66.66666666666666
постоянный дубликат;2;3;66.66666666666666
тематически относится к;2;3;66.66666666666666
часть света;2;3;66.66666666666666
Basque Vikidia ID;2;2;66.66666666666666
French Vikidia ID;2;2;66.66666666666666
ID отношения в OpenStreetMap;2;2;66.66666666666666
Who's on First ID;2;2;66.66666666666666
dmoz;2;2;66.66666666666666
баннер Викигида;2;2;66.66666666666666
высота над уровнем моря;2;2;66.66666666666666
галерея на Викискладе;2;2;66.66666666666666
десятичная классификация Дьюи;2;2;66.66666666666666
должность главы правительства;2;2;66.66666666666666
занимает ту же территорию с;2;2;66.66666666666666
значение в OmegaWiki;2;2;66.66666666666666
идентификатор Dizionario di Storia;2;2;66.66666666666666
идентификатор местоположения ArchINFORM;2;2;66.66666666666666
история темы;2;2;66.66666666666666
категория для людей, родившихся здесь;2;2;66.66666666666666
категория для людей, связанных с местностью;2;2;66.66666666666666
категория для людей, умерших здесь;2;2;66.66666666666666
категория карт на Викискладе;2;2;66.66666666666666
категория на Викискладе;2;2;66.66666666666666
категория фильмов, снятых в этом месте;2;2;66.66666666666666
код BNF;2;2;66.66666666666666
код Freebase;2;2;66.66666666666666
код GND;2;2;66.66666666666666
код ISNI;2;2;66.66666666666666
код LCNAF;2;2;66.66666666666666
код NDL;2;2;66.66666666666666
код SELIBR;2;2;66.66666666666666
код SUDOC;2;2;66.66666666666666
код TGN;2;2;66.66666666666666
код VIAF;2;2;66.66666666666666
код YSO;2;2;66.66666666666666
код в Encyclopædia Universalis;2;2;66.66666666666666
код в Большой российской энциклопедии онлайн;2;2;66.66666666666666
код места в Facebook;2;2;66.66666666666666
код статьи Klexikon;2;2;66.66666666666666
код темы Quora;2;2;66.66666666666666
лицензия на вещание в;2;2;66.66666666666666
место в MusicBrainz;2;2;66.66666666666666
общая тема категории;2;2;66.66666666666666
опубликовано в;2;2;66.66666666666666
основная категория по теме;2;2;66.66666666666666
официальное название;2;2;66.66666666666666
площадь;2;2;66.66666666666666
рабочий список проекта Викимедиа;2;2;66.66666666666666
сабреддит;2;2;66.66666666666666
часовой пояс;2;2;66.66666666666666
зона обслуживания;1;126;33.33333333333333
владельцем является;1;54;33.33333333333333
порт приписки;1;42;33.33333333333333
происходит из;1;19;33.33333333333333
используемый язык;1;18;33.33333333333333
пункт назначения;1;14;33.33333333333333
названо в честь;1;12;33.33333333333333
начало пути;1;11;33.33333333333333
основной порт;1;9;33.33333333333333
городское население;1;6;33.33333333333333
сельское население;1;6;33.33333333333333
учётная запись в Твиттере;1;6;33.33333333333333
организатор;1;5;33.33333333333333
имеет границы с;1;4;33.33333333333333
находится на берегу водоёма;1;4;33.33333333333333
описывается в источниках;1;4;33.33333333333333
официальный язык;1;4;33.33333333333333
безграмотное население;1;3;33.33333333333333
грамотное население;1;3;33.33333333333333
гражданство;1;2;33.33333333333333
классификация климата Кёппена;1;2;33.33333333333333
код в Большой каталанской энциклопедии;1;2;33.33333333333333
местный телефонный код;1;2;33.33333333333333
страна происхождения;1;2;33.33333333333333
Australian War Memorial ID;1;1;33.33333333333333
English Vikidia ID;1;1;33.33333333333333
FIPS 10-4 (страны и регионы);1;1;33.33333333333333
ISO 3166-2;1;1;33.33333333333333
Indian census area code (2001);1;1;33.33333333333333
Indian census area code (2011);1;1;33.33333333333333
Italian Vikidia ID;1;1;33.33333333333333
Spanish Vikidia ID;1;1;33.33333333333333
Uppsala University Alvin ID;1;1;33.33333333333333
WOEID;1;1;33.33333333333333
административно делится на;1;1;33.33333333333333
вид в ночное время;1;1;33.33333333333333
включает населённый пункт;1;1;33.33333333333333
глава государства;1;1;33.33333333333333
дата начала;1;1;33.33333333333333
дата основания/создания/возникновения;1;1;33.33333333333333
домашний стадион;1;1;33.33333333333333
дочерние компании (организации, учреждения);1;1;33.33333333333333
женское население;1;1;33.33333333333333
за работу;1;1;33.33333333333333
законодательный орган;1;1;33.33333333333333
заменён на;1;1;33.33333333333333
значимое место;1;1;33.33333333333333
идентификатор Giant Bomb;1;1;33.33333333333333
изображение герба;1;1;33.33333333333333
изображение флага;1;1;33.33333333333333
исполнительная власть;1;1;33.33333333333333
категория для людей, похороненных здесь;1;1;33.33333333333333
код BAV;1;1;33.33333333333333
код BNE;1;1;33.33333333333333
код BabelNet;1;1;33.33333333333333
код Comic Vine;1;1;33.33333333333333
код EMLO location;1;1;33.33333333333333
код NKC;1;1;33.33333333333333
код NLI;1;1;33.33333333333333
код TDV İslam Ansiklopedisi;1;1;33.33333333333333
код UK Parliament thesaurus;1;1;33.33333333333333
код US National Archives;1;1;33.33333333333333
код автомобильного номера;1;1;33.33333333333333
код в Nomisma.org;1;1;33.33333333333333
