prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;10;15;100.0
географические координаты;9;10;90.0
государство;9;9;90.0
административно-территориальная единица;8;17;80.0
категория на Викискладе;7;7;70.0
изображение;6;6;60.0
высота над уровнем моря;4;4;40.0
код Freebase;4;4;40.0
основная тема;3;38;30.0
местонахождение;2;7;20.0
находится в пределах природно-географического объекта;2;6;20.0
названо в честь;2;4;20.0
dmoz;2;2;20.0
баннер Викигида;2;2;20.0
дата основания/создания/возникновения;2;2;20.0
длина;2;2;20.0
значимое место;2;2;20.0
категория карт на Викискладе;2;2;20.0
категория объединяет темы;2;2;20.0
код LCNAF;2;2;20.0
код NKC;2;2;20.0
код VIAF;2;2;20.0
код в энциклопедии «Британника онлайн»;2;2;20.0
место рождения;2;2;20.0
наивысшая точка;2;2;20.0
находится в охранной зоне;2;2;20.0
общая тема категории;2;2;20.0
основная категория по теме;2;2;20.0
площадь;2;2;20.0
сделано из;2;2;20.0
ширина;2;2;20.0
история происходит в месте;1;3;10.0
состоит из;1;2;10.0
часть от;1;2;10.0
French Vikidia ID;1;1;10.0
TOID;1;1;10.0
Vision of Britain place ID;1;1;10.0
аудиозапись прочитанного текста;1;1;10.0
вице-графство;1;1;10.0
галерея на Викискладе;1;1;10.0
изображённый объект;1;1;10.0
исток водотока;1;1;10.0
категория защищённых зон МСОП;1;1;10.0
код BabelNet;1;1;10.0
код Comic Vine;1;1;10.0
код GeoNames;1;1;10.0
код Ramsar Sites Information Service;1;1;10.0
код TGN;1;1;10.0
код темы Quora;1;1;10.0
открывает вид на;1;1;10.0
официальный сайт;1;1;10.0
родительская вершина;1;1;10.0
часовой пояс;1;1;10.0
