prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;11;17;100.0
географические координаты;11;11;100.0
код Gazetteer of Planetary Nomenclature;11;11;100.0
на астрономическом теле;11;11;100.0
длина;10;10;90.9090909090909
категория на Викискладе;10;10;90.9090909090909
местонахождение;10;10;90.9090909090909
изображение;9;9;81.81818181818183
код Freebase;5;5;45.45454545454545
диаметр;1;1;9.090909090909092
код LCNAF;1;1;9.090909090909092
код VIAF;1;1;9.090909090909092
названо в честь;1;1;9.090909090909092
первооткрыватель или изобретатель;1;1;9.090909090909092
