prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;38;55;100.0
это частный случай понятия;38;45;100.0
государство;38;38;100.0
географические координаты;29;32;76.31578947368422
часть от;22;25;57.89473684210527
изображение;21;25;55.26315789473685
категория на Викискладе;21;21;55.26315789473685
статус наследия;19;23;50.0
источник дополнительных внешних данных;18;36;47.368421052631575
соединяется с;8;19;21.052631578947366
названо в честь;8;12;21.052631578947366
местонахождение;7;7;18.421052631578945
расположен на улице;6;12;15.789473684210526
FANTOIR code;4;4;10.526315789473683
проходит над/под;4;4;10.526315789473683
код топонима в Квебеке;3;11;7.894736842105263
дата основания/создания/возникновения;3;3;7.894736842105263
длина;3;3;7.894736842105263
код VIAF;3;3;7.894736842105263
общая тема категории;3;3;7.894736842105263
основная категория по теме;3;3;7.894736842105263
парижский цифровой код;3;3;7.894736842105263
почтовый индекс;3;3;7.894736842105263
ширина;3;3;7.894736842105263
имеет границы с;2;5;5.263157894736842
изображение дорожного знака с названием населённого пункта;2;2;5.263157894736842
состоит из;2;2;5.263157894736842
код улицы;1;2;2.631578947368421
конечная;1;2;2.631578947368421
площадь;1;2;2.631578947368421
ASCE Historical Civil Engineering Landmark ID;1;1;2.631578947368421
ID отношения в OpenStreetMap;1;1;2.631578947368421
archINFORM project ID;1;1;2.631578947368421
галерея на Викискладе;1;1;2.631578947368421
горный хребет;1;1;2.631578947368421
идентификатор Structurae;1;1;2.631578947368421
код GeoNames;1;1;2.631578947368421
код NRHP;1;1;2.631578947368421
код Всемирного наследия ЮНЕСКО;1;1;2.631578947368421
код в энциклопедии «Британника онлайн»;1;1;2.631578947368421
наивысшая точка;1;1;2.631578947368421
находится в охранной зоне;1;1;2.631578947368421
находится на берегу водоёма;1;1;2.631578947368421
несёт на себе;1;1;2.631578947368421
описан на сайте;1;1;2.631578947368421
официальный сайт;1;1;2.631578947368421
первооткрыватель или изобретатель;1;1;2.631578947368421
сделано из;1;1;2.631578947368421
