prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;10;32;100.0
это частный случай понятия;10;25;100.0
географические координаты;10;13;100.0
изображение;10;12;100.0
государство;10;10;100.0
категория на Викискладе;9;9;90.0
местонахождение;6;29;60.0
расположен на улице;6;18;60.0
код Freebase;5;5;50.0
названо в честь;5;5;50.0
соединяется с;4;21;40.0
часть от;4;8;40.0
изображение дорожного знака с названием населённого пункта;4;4;40.0
общая тема категории;4;4;40.0
основная категория по теме;4;4;40.0
длина;3;3;30.0
код VIAF;3;3;30.0
состоит из;2;6;20.0
код улицы;2;4;20.0
история происходит в месте;2;3;20.0
ID отношения в OpenStreetMap;2;2;20.0
SUCA code;2;2;20.0
вид в ночное время;2;2;20.0
изображённый объект;2;2;20.0
почтовый индекс;2;2;20.0
имеет границы с;1;9;10.0
место жительства;1;4;10.0
конечная;1;2;10.0
официальное название;1;2;10.0
München Wiki article ID;1;1;10.0
Who's on First ID;1;1;10.0
административно делится на;1;1;10.0
адрес (УСТАРЕЛО);1;1;10.0
баннер Викигида;1;1;10.0
дата основания/создания/возникновения;1;1;10.0
зимнее изображение;1;1;10.0
код GND;1;1;10.0
код GeoNames;1;1;10.0
код LCNAF;1;1;10.0
код NE.se;1;1;10.0
код «Вики любит памятники»;1;1;10.0
код в Большой каталанской энциклопедии;1;1;10.0
код в энциклопедии «Британника онлайн»;1;1;10.0
код места в MusicBrainz;1;1;10.0
место съёмок;1;1;10.0
не путать с;1;1;10.0
ответственность несёт;1;1;10.0
официальный сайт;1;1;10.0
статус наследия;1;1;10.0
часовой пояс;1;1;10.0
