prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;13;22;100.0
географические координаты;13;14;100.0
административно-территориальная единица;13;13;100.0
государство;13;13;100.0
изображение;13;13;100.0
категория на Викискладе;13;13;100.0
статус наследия;9;12;69.23076923076923
идентификатор Structurae;8;8;61.53846153846154
код GeoNames;5;5;38.46153846153847
номер в списке Английского наследия;5;5;38.46153846153847
Carthalia ID;4;5;30.76923076923077
Theatres Trust Database ID;4;4;30.76923076923077
дата официального открытия;4;4;30.76923076923077
код Cinema Treasures;4;4;30.76923076923077
код Freebase;4;4;30.76923076923077
код темы Quora;4;4;30.76923076923077
EUTA theatre ID;3;3;23.076923076923077
дата основания/создания/возникновения;3;3;23.076923076923077
официальный сайт;3;3;23.076923076923077
часть от;3;3;23.076923076923077
изображённый объект;2;12;15.384615384615385
Victorian Heritage Database ID;2;6;15.384615384615385
местонахождение;2;5;15.384615384615385
основная тема;2;5;15.384615384615385
архитектор;2;3;15.384615384615385
VICNAMES Place ID;2;2;15.384615384615385
Victorian Heritage Register ID;2;2;15.384615384615385
адрес;2;2;15.384615384615385
код строения Cadw;2;2;15.384615384615385
состоит из;2;2;15.384615384615385
железнодорожная линия;1;4;7.6923076923076925
следующий остановочный пункт;1;2;7.6923076923076925
учётная запись в Твиттере;1;2;7.6923076923076925
адрес (УСТАРЕЛО);1;1;7.6923076923076925
вид в ночное время;1;1;7.6923076923076925
входит в состав списка памятников культурного наследия;1;1;7.6923076923076925
выдающееся произведение;1;1;7.6923076923076925
дата официального закрытия;1;1;7.6923076923076925
длина;1;1;7.6923076923076925
идентификатор ROR;1;1;7.6923076923076925
код LCNAF;1;1;7.6923076923076925
код VIAF;1;1;7.6923076923076925
код grid global research;1;1;7.6923076923076925
код театра Theatricalia;1;1;7.6923076923076925
место съёмок;1;1;7.6923076923076925
названо в честь;1;1;7.6923076923076925
находится на берегу водоёма;1;1;7.6923076923076925
проектировщик;1;1;7.6923076923076925
страна происхождения;1;1;7.6923076923076925
часовой пояс;1;1;7.6923076923076925
№ комиссии по благотворительности;1;1;7.6923076923076925
