prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;100;139;100.0
географические координаты;100;136;100.0
государство;99;99;99.0
код GeoNames;97;102;97.0
административно-территориальная единица;95;116;95.0
высота над уровнем моря;76;77;76.0
код GNS;35;35;35.0
изображение;32;32;32.0
категория на Викискладе;23;23;23.0
находится на берегу водоёма;22;23;22.0
находится в пределах природно-географического объекта;19;27;19.0
код VIAF;18;18;18.0
код Freebase;15;15;15.0
код LCNAF;14;14;14.000000000000002
код GNIS;13;13;13.0
названо в честь;13;13;13.0
численность населения;11;31;11.0
Who's on First ID;10;10;10.0
Australian Statistical Geography 2016 ID;9;9;9.0
Norwegian Polar Institute place name ID;9;9;9.0
место смерти;8;8;8.0
не путать с;7;9;7.000000000000001
статус наследия;7;8;7.000000000000001
местонахождение;7;7;7.000000000000001
дата основания/создания/возникновения;6;6;6.0
код US National Archives;6;6;6.0
имя;5;11;5.0
код TGN;5;5;5.0
место рождения;5;5;5.0
женское население;4;12;4.0
мужское население;4;12;4.0
Australian Statistical Geography 2011 ID;4;5;4.0
Dictionary of Sydney ID;4;4;4.0
ID отношения в OpenStreetMap;4;4;4.0
высота лампы маяка;4;4;4.0
код в Большой каталанской энциклопедии;4;4;4.0
код маяка NGA;4;4;4.0
код маяка Великобритании;4;4;4.0
код темы Quora;4;4;4.0
находится в охранной зоне;4;4;4.0
световая характеристика маяка;4;4;4.0
площадь;3;6;3.0
состоит из;3;5;3.0
Geographical Names Board of NSW ID;3;4;3.0
высота/рост;3;3;3.0
дальность видимости маяка;3;3;3.0
код административной единицы Индонезии;3;3;3.0
почтовый индекс;3;3;3.0
часовой пояс;3;3;3.0
часть от;3;3;3.0
баннер Викигида;2;2;2.0
галерея на Викискладе;2;2;2.0
идентификатор Historic Places;2;2;2.0
изображённый объект;2;2;2.0
категория защищённых зон МСОП;2;2;2.0
код в Большой норвежской энциклопедии;2;2;2.0
код индонезийского поселения;2;2;2.0
общая тема категории;2;2;2.0
основная категория по теме;2;2;2.0
полученные награды;1;6;1.0
Queensland place ID;1;2;1.0
начало пути;1;2;1.0
ARLHS Lighthouse ID;1;1;1.0
Bulgarian Antarctic Gazetteer ID;1;1;1.0
Finnish archaeological heritage ID;1;1;1.0
Michelin Voyages ID;1;1;1.0
National Natural Landmarks site ID;1;1;1.0
New Zealand Gazetteer place ID;1;1;1.0
SCAR Composite Gazetteer place ID;1;1;1.0
SSB urban settlement number;1;1;1.0
WDPA;1;1;1.0
eBird hotspot ID;1;1;1.0
административно делится на;1;1;1.0
владельцем является;1;1;1.0
идентификатор Kulturminne;1;1;1.0
идентификатор объекта в картах Google;1;1;1.0
карта местонахождения;1;1;1.0
код Conservatoire du littoral;1;1;1.0
код INPN;1;1;1.0
код NE.se;1;1;1.0
код NRHP;1;1;1.0
код heritagefoundation.ca;1;1;1.0
код Национальной исторической достопримечательности Канады;1;1;1.0
код в энциклопедии «Британника онлайн»;1;1;1.0
код места в Facebook;1;1;1.0
место погребения;1;1;1.0
место съёмок;1;1;1.0
официальное название;1;1;1.0
официальный сайт;1;1;1.0
постоянный дубликат;1;1;1.0
пункт назначения;1;1;1.0
реестровый код культурного наследия Словении;1;1;1.0
сектор видимости;1;1;1.0
уникальный код CGNDB;1;1;1.0
часть света;1;1;1.0
эра;1;1;1.0
