prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;59;2455;100.0
это частный случай понятия;59;200;100.0
географические координаты;59;69;100.0
код GeoNames;59;60;100.0
BAG-код для нидерландских городов;59;59;100.0
государство;59;59;100.0
часовой пояс;59;59;100.0
место рождения;58;1558;98.30508474576271
категория на Викискладе;57;57;96.61016949152543
Who's on First ID;56;56;94.91525423728814
местонахождение;55;19147;93.22033898305084
место смерти;46;464;77.96610169491525
список памятников;46;59;77.96610169491525
изображение герба;45;45;76.27118644067797
код VIAF;43;44;72.88135593220339
расположение конечной точки;42;78;71.1864406779661
изображение;41;45;69.49152542372882
почтовый индекс;41;44;69.49152542372882
изображение флага;40;40;67.79661016949152
код Freebase;40;40;67.79661016949152
этнохороним;36;45;61.016949152542374
расположение штаб-квартиры;35;106;59.32203389830508
численность населения;34;1513;57.6271186440678
описание герба;33;33;55.932203389830505
Amsterdam code;31;31;52.54237288135594
код муниципалитета CBS;30;30;50.847457627118644
включает населённый пункт;29;74;49.152542372881356
карта местонахождения;29;38;49.152542372881356
WOEID;29;29;49.152542372881356
категория объединяет темы;27;78;45.76271186440678
место жительства;27;46;45.76271186440678
код LCNAF;27;27;45.76271186440678
произношение (звуковой файл);27;27;45.76271186440678
названо в честь;23;56;38.983050847457626
общая тема категории;23;23;38.983050847457626
основная категория по теме;23;23;38.983050847457626
место активности;21;163;35.59322033898305
описание флага;21;21;35.59322033898305
ID отношения в OpenStreetMap;20;22;33.89830508474576
категория карт на Викискладе;20;20;33.89830508474576
имеет границы с;19;55;32.20338983050847
официальный сайт;19;19;32.20338983050847
код темы Quora;18;18;30.508474576271187
юрисдикция распространяется на;17;19;28.8135593220339
баннер Викигида;17;17;28.8135593220339
категория для людей, родившихся здесь;17;17;28.8135593220339
административно делится на;16;16;27.11864406779661
код EMLO location;16;16;27.11864406779661
код GND;16;16;27.11864406779661
площадь;16;16;27.11864406779661
столица;14;16;23.728813559322035
место в MusicBrainz;14;14;23.728813559322035
является столицей;14;14;23.728813559322035
категория для людей, связанных с местностью;13;13;22.033898305084744
начало пути;12;39;20.33898305084746
высота над уровнем моря;11;11;18.64406779661017
код в Большой каталанской энциклопедии;11;11;18.64406779661017
местный телефонный код;11;11;18.64406779661017
пункт назначения;10;32;16.94915254237288
место создания;10;15;16.94915254237288
код GAMEO;10;10;16.94915254237288
категория для людей, умерших здесь;9;9;15.254237288135593
галерея на Викискладе;8;8;13.559322033898304
идентификатор местоположения ArchINFORM;8;8;13.559322033898304
число домохозяйств;7;42;11.864406779661017
город-побратим;7;9;11.864406779661017
находится на берегу водоёма;7;7;11.864406779661017
ключевое событие;6;14;10.16949152542373
заменён на;6;7;10.16949152542373
изображённый объект;6;7;10.16949152542373
аудиозапись прочитанного текста;6;6;10.16949152542373
код BNF;6;6;10.16949152542373
код NKC;6;6;10.16949152542373
описывается в источниках;5;6;8.47457627118644
место погребения;5;5;8.47457627118644
не путать с;5;5;8.47457627118644
основная тема;5;5;8.47457627118644
состоит из;4;7;6.779661016949152
основной порт;4;6;6.779661016949152
заменил;4;4;6.779661016949152
через;4;4;6.779661016949152
код BabelNet;3;3;5.084745762711865
код в энциклопедии «Британника онлайн»;3;3;5.084745762711865
находится в пределах природно-географического объекта;3;3;5.084745762711865
официальное название;3;3;5.084745762711865
основные направления;2;3;3.389830508474576
dmoz;2;2;3.389830508474576
владеет;2;2;3.389830508474576
владельцем является;2;2;3.389830508474576
глава правительства;2;2;3.389830508474576
дата основания/создания/возникновения;2;2;3.389830508474576
дата прекращения существования;2;2;3.389830508474576
изображение дорожного знака с названием населённого пункта;2;2;3.389830508474576
история темы;2;2;3.389830508474576
конечная;2;2;3.389830508474576
место публикации;2;2;3.389830508474576
обслуживаемый город;2;2;3.389830508474576
тематически относится к;2;2;3.389830508474576
порт приписки;1;36;1.694915254237288
исток водотока;1;2;1.694915254237288
WorldCat Identities ID;1;1;1.694915254237288
аудиофайл;1;1;1.694915254237288
записано на;1;1;1.694915254237288
значимое место;1;1;1.694915254237288
зона обслуживания;1;1;1.694915254237288
идентификатор Directory of Open Access Journals;1;1;1.694915254237288
изображение памятной доски;1;1;1.694915254237288
история происходит в месте;1;1;1.694915254237288
каталожный код;1;1;1.694915254237288
код GNS;1;1;1.694915254237288
код Pleiades;1;1;1.694915254237288
код TGN;1;1;1.694915254237288
код онлайн-версии Энциклопедии Брокгауз;1;1;1.694915254237288
место съёмок;1;1;1.694915254237288
название на языке оригинала;1;1;1.694915254237288
ответственность несёт;1;1;1.694915254237288
процент водной поверхности;1;1;1.694915254237288
страна происхождения;1;1;1.694915254237288
фамилия;1;1;1.694915254237288
эксклав от;1;1;1.694915254237288
этническая группа;1;1;1.694915254237288
