prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;10;21221;100.0
используемый язык;10;69;100.0
численность населения;10;60;100.0
имеет границы с;10;53;100.0
административно делится на;10;52;100.0
код GSS (2011);10;14;100.0
это частный случай понятия;10;12;100.0
код GeoNames;10;11;100.0
TOID;10;10;100.0
Who's on First ID;10;10;100.0
географические координаты;10;10;100.0
геоданные;10;10;100.0
государство;10;10;100.0
код в энциклопедии «Британника онлайн»;10;10;100.0
площадь;10;10;100.0
руководящий орган;10;10;100.0
категория объединяет темы;9;134;90.0
официальный сайт;9;23;90.0
зона обслуживания;9;16;90.0
юрисдикция распространяется на;9;14;90.0
ISO 3166-2;9;12;90.0
FIPS 10-4 (страны и регионы);9;9;90.0
WOEID;9;9;90.0
dmoz;9;9;90.0
карта местонахождения;9;9;90.0
категория для людей, связанных с местностью;9;9;90.0
категория на Викискладе;9;9;90.0
место в MusicBrainz;9;9;90.0
основная категория по теме;9;9;90.0
место рождения;8;155;80.0
изображённый объект;8;33;80.0
находится на берегу водоёма;8;16;80.0
категория для людей, родившихся здесь;8;8;80.0
категория карт на Викискладе;8;8;80.0
код Freebase;8;8;80.0
код LCNAF;8;8;80.0
общая тема категории;8;8;80.0
основная тема;7;42;70.0
место смерти;7;31;70.0
баннер Викигида;7;7;70.0
идентификатор местоположения ArchINFORM;7;7;70.0
изображение;7;7;70.0
изображение герба;7;7;70.0
место жительства;6;16;60.0
не путать с;6;7;60.0
текст девиза;6;7;60.0
местонахождение;5;18;50.0
ID отношения в OpenStreetMap;5;5;50.0
соответствующий список;4;21;40.0
место публикации;4;19;40.0
столица;4;5;40.0
является столицей;4;5;40.0
дата основания/создания/возникновения;4;4;40.0
заменён на;4;4;40.0
категория фильмов, снятых в этом месте;4;4;40.0
код BabelNet;4;4;40.0
код темы Quora;4;4;40.0
описывается в источниках;3;6;30.0
расположение штаб-квартиры;3;6;30.0
гражданство;3;4;30.0
заменил;3;4;30.0
Vision of Britain place ID;3;3;30.0
код EMLO location;3;3;30.0
код VIAF;3;3;30.0
названо в честь;3;3;30.0
включает населённый пункт;2;8;20.0
наивысшая точка;2;3;20.0
следующее по порядку;2;3;20.0
история происходит в месте;2;2;20.0
категория для людей, похороненных здесь;2;2;20.0
категория для людей, умерших здесь;2;2;20.0
код GND;2;2;20.0
код в Большой каталанской энциклопедии;2;2;20.0
место создания;2;2;20.0
название на языке оригинала;2;2;20.0
находится в пределах природно-географического объекта;2;2;20.0
территория перекрывается с;2;2;20.0
список памятников;1;4;10.0
область деятельности;1;2;10.0
официальное название;1;2;10.0
туристический центр;1;2;10.0
архивы хранятся в;1;1;10.0
глава правительства;1;1;10.0
должность главы правительства;1;1;10.0
законодательный орган;1;1;10.0
изображение флага;1;1;10.0
исполнительная власть;1;1;10.0
код BBC Things;1;1;10.0
код FAST;1;1;10.0
код NUTS;1;1;10.0
коллаж;1;1;10.0
место активности;1;1;10.0
место обнаружения;1;1;10.0
место съёмок;1;1;10.0
подкласс от;1;1;10.0
постоянный дубликат;1;1;10.0
произношение (звуковой файл);1;1;10.0
состоит из;1;1;10.0
страна происхождения;1;1;10.0
