prop_name;prop_count;prop_count_value;prop_counter
географические координаты;50;58;100.0
это частный случай понятия;50;57;100.0
государство;47;47;94.0
административно-территориальная единица;44;48;88.0
код GeoNames;43;43;86.0
высота над уровнем моря;31;31;62.0
код GNS;24;24;48.0
изображение;21;23;42.0
категория на Викискладе;16;16;32.0
находится в пределах природно-географического объекта;13;15;26.0
код Freebase;8;8;16.0
находится на берегу водоёма;6;6;12.0
код VIAF;5;5;10.0
часть света;5;5;10.0
код Цифрового атласа Римской империи;4;4;8.0
названо в честь;4;4;8.0
SCAR Composite Gazetteer place ID;3;3;6.0
антарктический код GNIS;3;3;6.0
код LCNAF;3;3;6.0
статус наследия;3;3;6.0
место смерти;2;9;4.0
место рождения;2;4;4.0
Norwegian Polar Institute place name ID;2;2;4.0
горный хребет;2;2;4.0
значимое место;2;2;4.0
код Pleiades;2;2;4.0
код в энциклопедии «Британника онлайн»;2;2;4.0
основная тема;2;2;4.0
состоит из;2;2;4.0
числовой код SSR для названия;2;2;4.0
описывается в источниках;1;5;2.0
адрес;1;2;2.0
часовой пояс;1;2;2.0
National Natural Landmarks site ID;1;1;2.0
PLIA ID;1;1;2.0
Réserves naturelles de France ID;1;1;2.0
WDPA;1;1;2.0
владеет;1;1;2.0
владельцем является;1;1;2.0
дата основания/создания/возникновения;1;1;2.0
датский код населённого пункта;1;1;2.0
идентификатор Historic Places;1;1;2.0
идентификатор местоположения ArchINFORM;1;1;2.0
изображённый объект;1;1;2.0
карта местонахождения;1;1;2.0
категория для людей, умерших здесь;1;1;2.0
категория защищённых зон МСОП;1;1;2.0
категория объединяет темы;1;1;2.0
код BabelNet;1;1;2.0
код INPN;1;1;2.0
код Mérimée;1;1;2.0
код Peakbagger;1;1;2.0
код Католической энциклопедии;1;1;2.0
код Национальной исторической достопримечательности Канады;1;1;2.0
код темы Quora;1;1;2.0
местный телефонный код;1;1;2.0
находится в охранной зоне;1;1;2.0
не путать с;1;1;2.0
оператор;1;1;2.0
основатель;1;1;2.0
основополагающий текст;1;1;2.0
официальный сайт;1;1;2.0
площадь;1;1;2.0
полученные награды;1;1;2.0
продюсер;1;1;2.0
сделано из;1;1;2.0
часть от;1;1;2.0
эра;1;1;2.0
