prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;10;4069;100.0
используемый язык;10;929;100.0
происходит из;10;917;100.0
административно делится на;10;12;100.0
географические координаты;10;11;100.0
FIPS 10-4 (страны и регионы);10;10;100.0
ISO 3166-2;10;10;100.0
Who's on First ID;10;10;100.0
государство;10;10;100.0
изображение флага;10;10;100.0
карта местонахождения;10;10;100.0
код Freebase;10;10;100.0
код GeoNames;10;10;100.0
код TGN;10;10;100.0
общая тема категории;10;10;100.0
основная категория по теме;10;10;100.0
столица;10;10;100.0
это частный случай понятия;10;10;100.0
имеет границы с;9;36;90.0
площадь;9;9;90.0
является столицей;9;9;90.0
код в Большой каталанской энциклопедии;8;8;80.0
категория на Викискладе;6;6;60.0
место рождения;5;6;50.0
код US National Archives;4;4;40.0
изображение;3;3;30.0
место в MusicBrainz;3;3;30.0
часовой пояс;3;3;30.0
код NKC;2;2;20.0
код в энциклопедии «Британника онлайн»;2;2;20.0
dmoz;1;1;10.0
глава правительства;1;1;10.0
категория карт на Викискладе;1;1;10.0
категория объединяет темы;1;1;10.0
код BabelNet;1;1;10.0
код NE.se;1;1;10.0
код VIAF;1;1;10.0
место смерти;1;1;10.0
местонахождение;1;1;10.0
название на языке оригинала;1;1;10.0
численность населения;1;1;10.0
