prop_name;prop_count;prop_count_value;prop_counter
административно-территориальная единица;10;1972;100.0
имеет границы с;10;22;100.0
FIPS 10-4 (страны и регионы);10;13;100.0
изображение;10;11;100.0
официальный сайт;10;11;100.0
ISO 3166-2;10;10;100.0
Who's on First ID;10;10;100.0
административно делится на;10;10;100.0
географические координаты;10;10;100.0
государство;10;10;100.0
карта местонахождения;10;10;100.0
категория на Викискладе;10;10;100.0
код GeoNames;10;10;100.0
код VIAF;10;10;100.0
общая тема категории;10;10;100.0
основная категория по теме;10;10;100.0
площадь;10;10;100.0
столица;10;10;100.0
это частный случай понятия;10;10;100.0
является столицей;10;10;100.0
место рождения;9;189;90.0
используемый язык;9;63;90.0
происходит из;9;58;90.0
код Freebase;9;9;90.0
код LCNAF;9;9;90.0
местный телефонный код;8;11;80.0
высота над уровнем моря;8;8;80.0
категория объединяет темы;7;13;70.0
код в Большой каталанской энциклопедии;5;5;50.0
место смерти;4;29;40.0
dmoz;4;4;40.0
категория для людей, связанных с местностью;4;4;40.0
код BNF;4;4;40.0
код TGN;4;4;40.0
владельцем является;3;3;30.0
название на языке оригинала;3;3;30.0
часовой пояс;3;3;30.0
местонахождение;2;5;20.0
место жительства;2;3;20.0
владеет;2;2;20.0
категория для людей, родившихся здесь;2;2;20.0
код GND;2;2;20.0
код темы Quora;2;2;20.0
место в MusicBrainz;2;2;20.0
WorldCat Identities ID;1;1;10.0
аудиофайл;1;1;10.0
глава правительства;1;1;10.0
дата основания/создания/возникновения;1;1;10.0
изображение герба;1;1;10.0
исток водотока;1;1;10.0
история происходит в месте;1;1;10.0
категория карт на Викискладе;1;1;10.0
код BabelNet;1;1;10.0
код US National Archives;1;1;10.0
на территорию претендует;1;1;10.0
официальное название;1;1;10.0
позиционная карта;1;1;10.0
почтовый индекс;1;1;10.0
часть от;1;1;10.0
численность населения;1;1;10.0
этнохороним;1;1;10.0
