prop_name;prop_count;prop_count_value;prop_counter
место рождения;4;304;100.0
административно-территориальная единица;4;233;100.0
место смерти;4;183;100.0
юрисдикция распространяется на;4;63;100.0
местонахождение;4;60;100.0
категория объединяет темы;4;29;100.0
владельцем является;4;20;100.0
владеет;4;18;100.0
основная тема;4;15;100.0
имеет границы с;4;14;100.0
происходит из;4;8;100.0
состоит из;4;8;100.0
часть от;4;8;100.0
численность населения;4;7;100.0
используемый язык;4;6;100.0
официальный язык;4;6;100.0
столица;4;6;100.0
глава правительства;4;5;100.0
карта местонахождения;4;5;100.0
код в энциклопедии «Британника онлайн»;4;5;100.0
официальный сайт;4;5;100.0
это частный случай понятия;4;5;100.0
ID отношения в OpenStreetMap;4;4;100.0
ISO 3166-2;4;4;100.0
административно делится на;4;4;100.0
географические координаты;4;4;100.0
государство;4;4;100.0
дата основания/создания/возникновения;4;4;100.0
изображение герба;4;4;100.0
изображение флага;4;4;100.0
категория для людей, умерших здесь;4;4;100.0
категория на Викискладе;4;4;100.0
код GeoNames;4;4;100.0
общая тема категории;4;4;100.0
основная категория по теме;4;4;100.0
площадь;4;4;100.0
этнохороним;3;12;75.0
названо в честь;3;11;75.0
зона обслуживания;3;7;75.0
описывается в источниках;3;5;75.0
анклав в;3;4;75.0
код BNF;3;4;75.0
название на языке оригинала;3;4;75.0
French Vikidia ID;3;3;75.0
баннер Викигида;3;3;75.0
должность главы правительства;3;3;75.0
ежегодное количество свадеб;3;3;75.0
законодательный орган;3;3;75.0
идентификатор местоположения ArchINFORM;3;3;75.0
изображение;3;3;75.0
категория для людей, похороненных здесь;3;3;75.0
категория для людей, родившихся здесь;3;3;75.0
категория карт на Викискладе;3;3;75.0
код BabelNet;3;3;75.0
код Freebase;3;3;75.0
код GND;3;3;75.0
код NIS/INS;3;3;75.0
код NUTS;3;3;75.0
код TGN;3;3;75.0
код VIAF;3;3;75.0
место в MusicBrainz;3;3;75.0
описание флага;3;3;75.0
основная тема портала Викимедиа;3;3;75.0
официальное название;3;3;75.0
часть света;3;3;75.0
является столицей;3;3;75.0
гражданство;2;32;50.0
место жительства;2;30;50.0
место создания;2;11;50.0
место изготовления;2;7;50.0
страна происхождения;2;6;50.0
история происходит в месте;2;5;50.0
высота над уровнем моря;2;3;50.0
место погребения;2;3;50.0
не путать с;2;3;50.0
в этом списке перечисляются;2;2;50.0
галерея на Викискладе;2;2;50.0
десятичная классификация Дьюи;2;2;50.0
значение в OmegaWiki;2;2;50.0
категория для людей, связанных с местностью;2;2;50.0
код Католической энциклопедии;2;2;50.0
код в Большой каталанской энциклопедии;2;2;50.0
код темы Quora;2;2;50.0
лицензия на вещание в;2;2;50.0
находится в пределах природно-географического объекта;2;2;50.0
портал Викимедиа;2;2;50.0
тематически относится к;2;2;50.0
часовой пояс;2;2;50.0
эксклав от;2;2;50.0
расположение штаб-квартиры;1;152;25.0
город-побратим;1;4;25.0
изображённый объект;1;3;25.0
место активности;1;3;25.0
обслуживаемый город;1;2;25.0
FIPS 10-4 (страны и регионы);1;1;25.0
Who's on First ID;1;1;25.0
dmoz;1;1;25.0
геоданные;1;1;25.0
гимн;1;1;25.0
идентификатор Dizionario di Storia;1;1;25.0
идентификатор Ringgold;1;1;25.0
исполнительная власть;1;1;25.0
источник материала;1;1;25.0
категория фильмов, снятых в этом месте;1;1;25.0
код EMLO location;1;1;25.0
код GAMEO;1;1;25.0
код ISNI;1;1;25.0
код LCNAF;1;1;25.0
код NE.se;1;1;25.0
код SUDOC;1;1;25.0
код YSO;1;1;25.0
код автора на Babelio;1;1;25.0
код места в Facebook;1;1;25.0
код онлайн-версии Энциклопедии Брокгауз;1;1;25.0
коллаж;1;1;25.0
короткое название;1;1;25.0
местный телефонный код;1;1;25.0
наивысшая точка;1;1;25.0
находится в пользовании у;1;1;25.0
описание герба;1;1;25.0
основная тема шаблона;1;1;25.0
основной шаблон по теме;1;1;25.0
позиционная карта;1;1;25.0
предположительно одно и то же с;1;1;25.0
представляет;1;1;25.0
предыдущее по порядку;1;1;25.0
производящая компания;1;1;25.0
произношение (звуковой файл);1;1;25.0
рабочий список проекта Викимедиа;1;1;25.0
сабреддит;1;1;25.0
следующее по порядку;1;1;25.0
состоит из представителей класса;1;1;25.0
список памятников;1;1;25.0
туристический центр;1;1;25.0
