prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;10;17;100.0
дата основания/создания/возникновения;7;7;70.0
отношение к религии;6;154;60.0
основатель;6;12;60.0
код VIAF;6;8;60.0
государство;6;6;60.0
код Freebase;6;6;60.0
монашеский орден;5;11;50.0
код GND;5;5;50.0
официальный сайт;5;5;50.0
код в энциклопедии «Британника онлайн»;4;6;40.0
общая тема категории;4;6;40.0
код BNF;4;4;40.0
код ISNI;4;4;40.0
код LCNAF;4;4;40.0
код SUDOC;4;4;40.0
описывается в источниках;3;7;30.0
основная тема;3;7;30.0
расположение штаб-квартиры;3;6;30.0
категория на Викискладе;3;3;30.0
названо в честь;3;3;30.0
тематически относится к;2;5;20.0
административно-территориальная единица;2;2;20.0
архивы хранятся в;2;2;20.0
дата прекращения существования;2;2;20.0
изображение;2;2;20.0
код NKC;2;2;20.0
код темы Quora;2;2;20.0
не путать с;2;2;20.0
организационно-правовая форма;2;2;20.0
основная категория по теме;2;2;20.0
официальное название;2;2;20.0
род занятий;2;2;20.0
часть от;2;2;20.0
участник организации или клуба;1;29;10.0
название на языке оригинала;1;15;10.0
владеет;1;3;10.0
владельцем является;1;3;10.0
полученные награды;1;3;10.0
код в Большой каталанской энциклопедии;1;2;10.0
состоит из;1;2;10.0
Czech Registration ID;1;1;10.0
Dictionary of Sydney ID;1;1;10.0
Handbook of Texas ID;1;1;10.0
New Georgia Encyclopedia ID;1;1;10.0
The First Amendment Encyclopedia ID;1;1;10.0
WorldCat Identities ID;1;1;10.0
автор;1;1;10.0
галерея на Викискладе;1;1;10.0
географические координаты;1;1;10.0
епархия;1;1;10.0
жанр;1;1;10.0
заказчик произведения;1;1;10.0
заменил;1;1;10.0
идентификатор Dizionario di Storia;1;1;10.0
идентификатор ROR;1;1;10.0
издатель;1;1;10.0
изображённый объект;1;1;10.0
испытал влияние от;1;1;10.0
код ASC Leiden Thesaurus;1;1;10.0
код BNCF;1;1;10.0
код BNE;1;1;10.0
код NDL;1;1;10.0
код US National Archives;1;1;10.0
код archINFORM;1;1;10.0
код grid global research;1;1;10.0
код Католической энциклопедии;1;1;10.0
код в Encyclopædia Universalis;1;1;10.0
код в Большой норвежской энциклопедии;1;1;10.0
код в Итальянской энциклопедии онлайн;1;1;10.0
код в проекте SNAC;1;1;10.0
обитатель;1;1;10.0
область деятельности;1;1;10.0
ответственность несёт;1;1;10.0
подкласс от;1;1;10.0
предыдущее по порядку;1;1;10.0
принадлежит к;1;1;10.0
состоит из представителей класса;1;1;10.0
тег или ключ OpenStreetMap;1;1;10.0
тема JSTOR;1;1;10.0
учебное заведение;1;1;10.0
учётная запись Facebook;1;1;10.0
художественное направление;1;1;10.0
целевая аудитория;1;1;10.0
