prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;10;40;100.0
административно-территориальная единица;10;11;100.0
географические координаты;10;10;100.0
государство;10;10;100.0
изображение;9;9;90.0
категория на Викискладе;9;9;90.0
Bavarian geotope ID;8;8;80.0
статус наследия;5;6;50.0
официальный сайт;3;3;30.0
полученные награды;3;3;30.0
горный хребет;2;2;20.0
дата основания/создания/возникновения;1;1;10.0
код BabelNet;1;1;10.0
код GNS;1;1;10.0
код GeoNames;1;1;10.0
находится в пределах природно-географического объекта;1;1;10.0
сделано из;1;1;10.0
