prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;100;155;100.0
государство;99;101;99.0
местонахождение;86;2336;86.0
географические координаты;82;85;82.0
вид спорта;78;105;78.0
административно-территориальная единица;74;79;74.0
домашний стадион;71;2289;71.0
изображение;70;72;70.0
категория на Викискладе;69;69;69.0
дата официального открытия;53;54;53.0
обитатель;49;97;49.0
вместимость;47;52;47.0
дата основания/создания/возникновения;37;38;37.0
код Freebase;37;37;37.0
официальный сайт;31;34;31.0
владельцем является;31;31;31.0
владеет;19;19;19.0
архитектор;18;21;18.0
код места в MusicBrainz;18;18;18.0
оператор;16;20;16.0
адрес;15;16;15.0
код GeoNames;14;14;14.000000000000002
часть от;12;18;12.0
код VIAF;12;12;12.0
код темы Quora;11;11;11.0
состоит из;10;14;10.0
расположение штаб-квартиры;8;10;8.0
ключевое событие;7;48;7.000000000000001
выдающееся произведение;7;7;7.000000000000001
код стадиона на StadiumDB;7;7;7.000000000000001
код LCNAF;6;6;6.0
почтовый индекс;6;6;6.0
категория объединяет темы;5;5;5.0
статус наследия;5;5;5.0
место съёмок;4;6;4.0
ID отношения в OpenStreetMap;4;4;4.0
Новая романизация корейского языка;4;4;4.0
адрес (УСТАРЕЛО);4;4;4.0
идентификатор Structurae;4;4;4.0
код BabelNet;4;4;4.0
код ISNI;4;4;4.0
названо в честь;4;4;4.0
учебное заведение;3;24;3.0
официальное название;3;8;3.0
учётная запись в Твиттере;3;4;3.0
Carthalia ID;3;3;3.0
дата прекращения существования;3;3;3.0
идентификатор Ringgold;3;3;3.0
код для сущности Wolfram Language;3;3;3.0
общая тема категории;3;3;3.0
основная категория по теме;3;3;3.0
основная строительная организация;3;3;3.0
член спортивной команды;2;38;2.0
классификация Карнеги для вуза;2;10;2.0
Songkick venue ID;2;4;2.0
описан на сайте;2;4;2.0
работодатель;2;4;2.0
код GND;2;3;2.0
стоимость;2;3;2.0
Dictionary of Sydney ID;2;2;2.0
Microsoft Academic ID;2;2;2.0
Theatres Trust Database ID;2;2;2.0
setlist.fm venue ID;2;2;2.0
дата официального закрытия;2;2;2.0
записано на;2;2;2.0
идентификатор Giant Bomb;2;2;2.0
идентификатор ROR;2;2;2.0
идентификатор объекта в картах Google;2;2;2.0
категория для выпускников образовательного учреждения;2;2;2.0
код GNIS;2;2;2.0
код IPEDS;2;2;2.0
код TripAdvisor;2;2;2.0
код Yelp;2;2;2.0
код grid global research;2;2;2.0
код в Большой российской энциклопедии онлайн;2;2;2.0
код в энциклопедии «Британника онлайн»;2;2;2.0
материнская компания (организация, учреждение);2;2;2.0
место первого исполнения;2;2;2.0
название на языке оригинала;2;2;2.0
номер в списке Английского наследия;2;2;2.0
расположен на улице;2;2;2.0
часовой пояс;2;2;2.0
спонсор;1;5;1.0
код театра Theatricalia;1;2;1.0
принадлежит к;1;2;1.0
сделано из;1;2;1.0
ARCHON code;1;1;1.0
EUTA theatre ID;1;1;1.0
Flanders Arts Institute venue ID;1;1;1.0
Google Arts & Culture partner ID;1;1;1.0
IMTL.org ID;1;1;1.0
URL;1;1;1.0
World Stadium Database identifier;1;1;1.0
archINFORM project ID;1;1;1.0
conscription number;1;1;1.0
архитектурный стиль;1;1;1.0
вид в ночное время;1;1;1.0
высота над уровнем моря;1;1;1.0
длина;1;1;1.0
дочерние компании (организации, учреждения);1;1;1.0
инженер-строитель;1;1;1.0
использует объект;1;1;1.0
используется как/для/в;1;1;1.0
история выставок;1;1;1.0
категория Викисклада для интерьера элемента;1;1;1.0
категория игроков команды;1;1;1.0
квалифицирован для;1;1;1.0
код BNF;1;1;1.0
код Cinema Treasures;1;1;1.0
код DGPC;1;1;1.0
код FAST;1;1;1.0
код NKC;1;1;1.0
код NLA;1;1;1.0
код SIPA;1;1;1.0
код SUDOC;1;1;1.0
код «Вики любит памятники»;1;1;1.0
код в Национальной библиотеке Австралии (персоналии);1;1;1.0
код в Спортивной каталанской энциклопедии;1;1;1.0
код места в Foursquare;1;1;1.0
код топонима в Квебеке;1;1;1.0
короткое название;1;1;1.0
начало пути;1;1;1.0
не путать с;1;1;1.0
номер телефона;1;1;1.0
панорамный вид;1;1;1.0
план помещения;1;1;1.0
полученные награды;1;1;1.0
проектировщик;1;1;1.0
романизация Маккьюна — Райшауэра;1;1;1.0
связанная категория;1;1;1.0
смежное здание;1;1;1.0
указания, как добраться;1;1;1.0
участник организации или клуба;1;1;1.0
учётная запись Facebook;1;1;1.0
