prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;100;177;100.0
административно-территориальная единица;100;124;100.0
географические координаты;100;112;100.0
государство;100;101;100.0
изображение;99;117;99.0
категория на Викискладе;98;98;98.0
статус наследия;76;156;76.0
дата основания/создания/возникновения;58;65;57.99999999999999
код Freebase;41;41;41.0
адрес;36;68;36.0
архитектурный стиль;36;40;36.0
часть от;34;45;34.0
архитектор;33;37;33.0
высота/рост;32;38;32.0
идентификатор Structurae;28;30;28.000000000000004
местонахождение;27;40;27.0
состоит из;22;31;22.0
владельцем является;21;32;21.0
сделано из;21;25;21.0
названо в честь;21;22;21.0
код GeoNames;21;21;21.0
официальный сайт;21;21;21.0
расположен на улице;19;22;19.0
код VIAF;17;17;17.0
дата официального открытия;15;15;15.0
archINFORM project ID;14;14;14.000000000000002
количество этажей;13;13;13.0
общая тема категории;13;13;13.0
высота над уровнем моря;12;12;12.0
основная категория по теме;12;12;12.0
код Mérimée;11;13;11.0
код «Вики любит памятники»;11;12;11.0
код по Skyscraper Center;11;12;11.0
название на языке оригинала;11;12;11.0
галерея на Викискладе;10;10;10.0
ключевое событие;9;19;9.0
выдающееся произведение;9;9;9.0
код GND;9;9;9.0
почтовый индекс;9;9;9.0
DBUnico MIBACT ID;8;8;8.0
владеет;8;8;8.0
код BabelNet;8;8;8.0
код Inventari del Patrimoni Arquitectònic de Catalunya;8;8;8.0
код в энциклопедии «Британника онлайн»;8;8;8.0
используется как/для/в;7;8;7.000000000000001
код LCNAF;7;7;7.000000000000001
номер телефона;7;7;7.000000000000001
номер факса;7;7;7.000000000000001
электронная почта;7;7;7.000000000000001
изображённый объект;6;14;6.0
находится в пределах природно-географического объекта;6;7;6.0
идентификатор Bien de Interés Cultural;6;6;6.0
идентификатор Emporis;6;6;6.0
категория Викисклада для интерьера элемента;6;6;6.0
категория объединяет темы;6;6;6.0
код каталанского объекта культурного интереса;6;6;6.0
число лифтов;6;6;6.0
заказчик произведения;5;5;5.0
код NRHP;5;5;5.0
официальное название;4;8;4.0
дата прекращения существования;4;6;4.0
Czech Monument Catalogue Number;4;4;4.0
адрес (УСТАРЕЛО);4;4;4.0
идентификатор Rijksmonument;4;4;4.0
код в Большой каталанской энциклопедии;4;4;4.0
ширина;4;4;4.0
площадь;3;5;3.0
в память о;3;4;3.0
изображение интерьера;3;4;3.0
не путать с;3;4;3.0
номер в списке Английского наследия;3;4;3.0
BAG building ID;3;3;3.0
Clochers de France ID;3;3;3.0
PSS;3;3;3.0
conscription number;3;3;3.0
географический код Великобритании;3;3;3.0
дата принятия в эксплуатацию;3;3;3.0
длина;3;3;3.0
идентификатор Чешского культурного наследия;3;3;3.0
код kulturnoe-nasledie.ru;3;3;3.0
код Всемирного наследия ЮНЕСКО;3;3;3.0
код в Europeana;3;3;3.0
код здания на SkyscraperPage;3;3;3.0
код культурного наследия Баварии;3;3;3.0
находится в охранной зоне;3;3;3.0
оператор;3;3;3.0
регистрационный номер ЕГРОКН;3;3;3.0
создатель;3;3;3.0
критерий Всемирного наследия;2;7;2.0
состоит из представителей класса;2;6;2.0
идентификатор Historic Places;2;3;2.0
код обсерватории (Центр Малых планет);2;3;2.0
часовой пояс;2;3;2.0
ARLHS Lighthouse ID;2;2;2.0
Architectuurgids building ID;2;2;2.0
Atlas Obscura identifier;2;2;2.0
French Vikidia ID;2;2;2.0
ID of Inventory of the Archaeological and Paleontological Heritage of Catalonia;2;2;2.0
вид в ночное время;2;2;2.0
дата вывода из эксплуатации;2;2;2.0
дата начала;2;2;2.0
инженер-строитель;2;2;2.0
код DGPC;2;2;2.0
код GNIS;2;2;2.0
код SIPA;2;2;2.0
код Цифрового атласа Римской империи;2;2;2.0
код в регистре Национального наследия Ирана;2;2;2.0
код культурного наследия Берлина;2;2;2.0
