prop_name;prop_count;prop_count_value;prop_counter
это частный случай понятия;10;25;100.0
государство;10;10;100.0
административно-территориальная единица;7;1753;70.0
имеет границы с;7;35;70.0
численность населения;7;10;70.0
карта местонахождения;7;8;70.0
Vision of Britain place ID;6;6;60.0
находится в пределах природно-географического объекта;6;6;60.0
не путать с;5;6;50.0
юрисдикция распространяется на;5;6;50.0
изображение флага;5;5;50.0
каталожный код;5;5;50.0
создатель;5;5;50.0
геоданные;4;4;40.0
место рождения;3;157;30.0
место смерти;3;47;30.0
местонахождение;3;20;30.0
основная тема;3;12;30.0
вице-графство;3;9;30.0
место жительства;3;9;30.0
расположение штаб-квартиры;3;4;30.0
ID отношения в OpenStreetMap;3;3;30.0
географические координаты;3;3;30.0
названо в честь;3;3;30.0
описание флага;3;3;30.0
площадь;3;3;30.0
столица;3;3;30.0
часть от;3;3;30.0
категория объединяет темы;2;32;20.0
место погребения;2;8;20.0
место создания;2;3;20.0
общая тема категории;2;3;20.0
описывается в источниках;2;3;20.0
Who's on First ID;2;2;20.0
dmoz;2;2;20.0
административно делится на;2;2;20.0
баннер Викигида;2;2;20.0
дата основания/создания/возникновения;2;2;20.0
законодательный орган;2;2;20.0
изображённый объект;2;2;20.0
категория для людей, похороненных здесь;2;2;20.0
категория для людей, родившихся здесь;2;2;20.0
категория для людей, связанных с местностью;2;2;20.0
категория для людей, умерших здесь;2;2;20.0
категория карт на Викискладе;2;2;20.0
категория на Викискладе;2;2;20.0
код Freebase;2;2;20.0
код GND;2;2;20.0
код NUTS;2;2;20.0
код VIAF;2;2;20.0
место в MusicBrainz;2;2;20.0
основная категория по теме;2;2;20.0
является столицей;2;2;20.0
находится на берегу водоёма;1;3;10.0
FIPS 10-4 (страны и регионы);1;1;10.0
ISO 3166-2;1;1;10.0
TOID;1;1;10.0
заменён на;1;1;10.0
зона обслуживания;1;1;10.0
идентификатор местоположения ArchINFORM;1;1;10.0
изображение;1;1;10.0
изображение герба;1;1;10.0
категория фильмов, снятых в этом месте;1;1;10.0
код GSS (2011);1;1;10.0
код GeoNames;1;1;10.0
код LCNAF;1;1;10.0
код NKC;1;1;10.0
код в Большой каталанской энциклопедии;1;1;10.0
код в энциклопедии «Британника онлайн»;1;1;10.0
код тезауруса PACTOLS;1;1;10.0
место активности;1;1;10.0
официальный сайт;1;1;10.0
частично совпадает с;1;1;10.0
член спортивной команды;1;1;10.0
