entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q17908;Aputula;административно-территориальная единица;1;2;from
Q8039114;Wujal Wujal;Who's on First ID;1;1;from
Q8039114;Wujal Wujal;WOEID;1;1;from
Q8039114;Wujal Wujal;является столицей;1;1;from
Q8039114;Wujal Wujal;женское население;1;3;from
Q8039114;Wujal Wujal;мужское население;1;3;from
Q8039114;Wujal Wujal;код GeoNames;1;1;from
Q8039114;Wujal Wujal;почтовый индекс;1;1;from
Q8039114;Wujal Wujal;Queensland place ID;1;2;from
Q8039114;Wujal Wujal;Australian Statistical Geography 2011 ID;1;2;from
Q8039114;Wujal Wujal;Australian Statistical Geography 2016 ID;1;1;from
Q8039114;Wujal Wujal;географические координаты;1;1;from
Q8039114;Wujal Wujal;столица;1;1;to
Q8039114;Wujal Wujal;это частный случай понятия;1;1;from
Q8039114;Wujal Wujal;местонахождение;1;1;to
Q8039114;Wujal Wujal;значимое место;1;1;to
Q8039304;Wurrenranginy Community;административно-территориальная единица;1;1;from
Q8039304;Wurrenranginy Community;государство;1;1;from
Q8039304;Wurrenranginy Community;это частный случай понятия;1;1;from
Q8039304;Wurrenranginy Community;географические координаты;1;1;from
Q8047051;Yakanarra Community;административно-территориальная единица;1;1;from
Q8047051;Yakanarra Community;государство;1;1;from
Q8047051;Yakanarra Community;это частный случай понятия;1;1;from
Q8047051;Yakanarra Community;почтовый индекс;1;1;from
Q8039114;Wujal Wujal;численность населения;1;3;from
Q8039114;Wujal Wujal;изображение;1;1;from
Q8061279;Yungngora Community;код GeoNames;1;1;from
Q8030338;Wollergerberleng Community;географические координаты;1;1;from
Q7969972;Warrayu community;географические координаты;1;1;from
Q7990396;Weymul Community;административно-территориальная единица;1;1;from
Q7990396;Weymul Community;государство;1;1;from
Q7990396;Weymul Community;это частный случай понятия;1;1;from
Q7990396;Weymul Community;почтовый индекс;1;1;from
Q7990396;Weymul Community;географические координаты;1;1;from
Q8030338;Wollergerberleng Community;административно-территориальная единица;1;1;from
Q8030338;Wollergerberleng Community;государство;1;1;from
Q8030338;Wollergerberleng Community;это частный случай понятия;1;1;from
Q8030338;Wollergerberleng Community;почтовый индекс;1;1;from
Q8033768;Woolah Community;административно-территориальная единица;1;1;from
Q8039114;Wujal Wujal;государство;1;1;from
Q8033768;Woolah Community;государство;1;1;from
Q8033768;Woolah Community;это частный случай понятия;1;1;from
Q8033768;Woolah Community;почтовый индекс;1;1;from
Q8033768;Woolah Community;географические координаты;1;1;from
Q8039069;Wuggubun Community;административно-территориальная единица;1;1;from
Q8039069;Wuggubun Community;государство;1;1;from
Q8039069;Wuggubun Community;это частный случай понятия;1;1;from
Q8039069;Wuggubun Community;почтовый индекс;1;1;from
Q8039069;Wuggubun Community;географические координаты;1;1;from
Q8039114;Wujal Wujal;административно-территориальная единица;1;2;from
Q8047051;Yakanarra Community;географические координаты;1;1;from
Q8048324;Yandeyarra Community;административно-территориальная единица;1;1;from
Q8048324;Yandeyarra Community;государство;1;1;from
Q8053957;Yiyili Community;код GeoNames;1;1;from
Q8049588;Yarrunga Community;почтовый индекс;1;1;from
Q8049588;Yarrunga Community;географические координаты;1;1;from
Q8053826;Yirrallelm Community;административно-территориальная единица;1;1;from
Q8053826;Yirrallelm Community;государство;1;1;from
Q8053826;Yirrallelm Community;это частный случай понятия;1;1;from
Q8053826;Yirrallelm Community;почтовый индекс;1;1;from
Q8053826;Yirrallelm Community;географические координаты;1;1;from
Q8053957;Yiyili Community;административно-территориальная единица;1;1;from
Q8053957;Yiyili Community;государство;1;1;from
Q8053957;Yiyili Community;это частный случай понятия;1;1;from
Q8053957;Yiyili Community;почтовый индекс;1;1;from
Q8048324;Yandeyarra Community;это частный случай понятия;1;1;from
Q8053957;Yiyili Community;географические координаты;1;1;from
Q8053957;Yiyili Community;Who's on First ID;1;1;from
Q8053957;Yiyili Community;местонахождение;1;1;to
Q8060919;Yulga Jinna Community;административно-территориальная единица;1;1;from
Q8060919;Yulga Jinna Community;государство;1;1;from
Q8060919;Yulga Jinna Community;это частный случай понятия;1;1;from
Q8060919;Yulga Jinna Community;почтовый индекс;1;1;from
Q8060919;Yulga Jinna Community;географические координаты;1;1;from
Q8061279;Yungngora Community;административно-территориальная единица;1;1;from
Q8061279;Yungngora Community;государство;1;1;from
Q8049588;Yarrunga Community;это частный случай понятия;1;1;from
Q8049588;Yarrunga Community;государство;1;1;from
Q8049588;Yarrunga Community;административно-территориальная единица;1;1;from
Q8049518;Yarrabah;местонахождение;1;1;to
Q8048324;Yandeyarra Community;почтовый индекс;1;1;from
Q8048324;Yandeyarra Community;географические координаты;1;1;from
Q8049518;Yarrabah;административно-территориальная единица;1;2;from
Q8049518;Yarrabah;государство;1;1;from
Q8049518;Yarrabah;это частный случай понятия;1;1;from
Q8049518;Yarrabah;численность населения;1;3;from
Q8049518;Yarrabah;является столицей;1;1;from
Q8049518;Yarrabah;женское население;1;3;from
Q8049518;Yarrabah;мужское население;1;3;from
Q8049518;Yarrabah;код GeoNames;1;1;from
Q8049518;Yarrabah;почтовый индекс;1;1;from
Q8049518;Yarrabah;Queensland place ID;1;2;from
Q8049518;Yarrabah;категория на Викискладе;1;1;from
Q8049518;Yarrabah;Australian Statistical Geography 2011 ID;1;2;from
Q8049518;Yarrabah;Australian Statistical Geography 2016 ID;1;1;from
Q8049518;Yarrabah;географические координаты;1;1;from
Q8049518;Yarrabah;Who's on First ID;1;1;from
Q8049518;Yarrabah;место жительства;1;1;to
Q8049518;Yarrabah;место смерти;1;1;to
Q8049518;Yarrabah;место рождения;1;1;to
Q8049518;Yarrabah;столица;1;1;to
Q7969972;Warrayu community;это частный случай понятия;1;1;from
Q7969972;Warrayu community;государство;1;1;from
Q7969972;Warrayu community;административно-территориальная единица;1;1;from
Q7615107;Tjuntjuntjara;государство;1;1;from
Q7145067;Patjarr Community;это частный случай понятия;1;1;from
Q7145067;Patjarr Community;почтовый индекс;1;1;from
Q7145067;Patjarr Community;географические координаты;1;1;from
Q7145067;Patjarr Community;место жительства;1;1;to
Q7190009;Pia Wadjari Community;административно-территориальная единица;1;1;from
Q7190009;Pia Wadjari Community;государство;1;1;from
Q7190009;Pia Wadjari Community;это частный случай понятия;1;1;from
Q7190009;Pia Wadjari Community;почтовый индекс;1;1;from
Q7190009;Pia Wadjari Community;географические координаты;1;1;from
Q7615107;Tjuntjuntjara;административно-территориальная единица;1;1;from
Q7615107;Tjuntjuntjara;это частный случай понятия;1;1;from
Q7810639;Tjukurla Community;административно-территориальная единица;1;1;from
Q7615107;Tjuntjuntjara;почтовый индекс;1;1;from
Q7615107;Tjuntjuntjara;Australian Statistical Geography 2011 ID;1;1;from
Q7615107;Tjuntjuntjara;географические координаты;1;1;from
Q7653531;Swan Valley Nyungah Community;административно-территориальная единица;1;1;from
Q7653531;Swan Valley Nyungah Community;государство;1;1;from
Q7653531;Swan Valley Nyungah Community;это частный случай понятия;1;1;from
Q7810619;Tjirrkarli Community;административно-территориальная единица;1;1;from
Q7810619;Tjirrkarli Community;государство;1;1;from
Q7810619;Tjirrkarli Community;это частный случай понятия;1;1;from
Q7810619;Tjirrkarli Community;почтовый индекс;1;1;from
Q7145067;Patjarr Community;государство;1;1;from
Q7145067;Patjarr Community;административно-территориальная единица;1;1;from
Q7139345;Parnpajinya community;географические координаты;1;1;from
Q7139345;Parnpajinya community;это частный случай понятия;1;1;from
Q7095336;Oombulgurri Community;код GeoNames;1;1;from
Q7095336;Oombulgurri Community;почтовый индекс;1;1;from
Q7095336;Oombulgurri Community;Australian Statistical Geography 2011 ID;1;1;from
Q7095336;Oombulgurri Community;Australian Statistical Geography 2016 ID;1;1;from
Q7095336;Oombulgurri Community;дата основания/создания/возникновения;1;1;from
Q7095336;Oombulgurri Community;географические координаты;1;1;from
Q7130498;Pandanus Park Community;административно-территориальная единица;1;1;from
Q7130498;Pandanus Park Community;государство;1;1;from
Q7130498;Pandanus Park Community;это частный случай понятия;1;1;from
Q7130498;Pandanus Park Community;почтовый индекс;1;1;from
Q7130498;Pandanus Park Community;Australian Statistical Geography 2016 ID;1;1;from
Q7130498;Pandanus Park Community;географические координаты;1;1;from
Q7133222;Papulankutja Community;административно-территориальная единица;1;1;from
Q7133222;Papulankutja Community;государство;1;1;from
Q7133222;Papulankutja Community;это частный случай понятия;1;1;from
Q7133222;Papulankutja Community;почтовый индекс;1;1;from
Q7133222;Papulankutja Community;Australian Statistical Geography 2011 ID;1;1;from
Q7133222;Papulankutja Community;географические координаты;1;1;from
Q7133222;Papulankutja Community;место рождения;1;1;to
Q7139345;Parnpajinya community;административно-территориальная единица;1;1;from
Q7139345;Parnpajinya community;государство;1;1;from
Q7810619;Tjirrkarli Community;географические координаты;1;1;from
Q7810639;Tjukurla Community;государство;1;1;from
Q7969928;Warralong Community;географические координаты;1;1;from
Q7969653;Warmun Community;часть от;1;1;from
Q7968786;Warakurna;Australian Statistical Geography 2016 ID;1;2;from
Q7968786;Warakurna;географические координаты;1;1;from
Q7969653;Warmun Community;административно-территориальная единица;1;2;from
Q7969653;Warmun Community;государство;1;1;from
Q7969653;Warmun Community;это частный случай понятия;1;2;from
Q7969653;Warmun Community;численность населения;1;3;from
Q7969653;Warmun Community;женское население;1;3;from
Q7969653;Warmun Community;мужское население;1;3;from
Q7969653;Warmun Community;код GeoNames;1;1;from
Q7969653;Warmun Community;почтовый индекс;1;1;from
Q7969653;Warmun Community;Australian Statistical Geography 2011 ID;1;4;from
Q7810639;Tjukurla Community;это частный случай понятия;1;1;from
Q7969653;Warmun Community;Australian Statistical Geography 2016 ID;1;1;from
Q7969653;Warmun Community;географические координаты;1;1;from
Q7969653;Warmun Community;Who's on First ID;1;1;from
Q7969653;Warmun Community;dmoz;1;1;from
Q7969653;Warmun Community;место рождения;1;1;to
Q7969653;Warmun Community;место активности;1;3;to
Q7969928;Warralong Community;административно-территориальная единица;1;1;from
Q7969928;Warralong Community;государство;1;1;from
Q7969928;Warralong Community;это частный случай понятия;1;1;from
Q7969928;Warralong Community;почтовый индекс;1;1;from
Q7968786;Warakurna;почтовый индекс;1;1;from
Q7968786;Warakurna;численность населения;1;3;from
Q7968786;Warakurna;это частный случай понятия;1;1;from
Q7968786;Warakurna;государство;1;1;from
Q7810639;Tjukurla Community;почтовый индекс;1;1;from
Q7810639;Tjukurla Community;географические координаты;1;1;from
Q7960845;Wakathuni Community;административно-территориальная единица;1;1;from
Q7960845;Wakathuni Community;государство;1;1;from
Q7960845;Wakathuni Community;это частный случай понятия;1;1;from
Q7960845;Wakathuni Community;почтовый индекс;1;1;from
Q7960845;Wakathuni Community;географические координаты;1;1;from
Q7967065;Wanarn Community;административно-территориальная единица;1;1;from
Q7967065;Wanarn Community;государство;1;1;from
Q7967065;Wanarn Community;это частный случай понятия;1;1;from
Q7967065;Wanarn Community;почтовый индекс;1;1;from
Q7967065;Wanarn Community;Australian Statistical Geography 2016 ID;1;1;from
Q7967065;Wanarn Community;географические координаты;1;1;from
Q7967065;Wanarn Community;место рождения;1;1;to
Q7967169;Wandanooka community;административно-территориальная единица;1;1;from
Q7967169;Wandanooka community;государство;1;1;from
Q7967169;Wandanooka community;это частный случай понятия;1;1;from
Q7967169;Wandanooka community;код GeoNames;1;1;from
Q7967169;Wandanooka community;географические координаты;1;1;from
Q7967169;Wandanooka community;Who's on First ID;1;1;from
Q7968786;Warakurna;административно-территориальная единица;1;1;from
Q8061279;Yungngora Community;это частный случай понятия;1;1;from
Q8061279;Yungngora Community;почтовый индекс;1;1;from
Q17908;Aputula;государство;1;1;from
Q31206426;Nauiyu Community;численность населения;1;3;from
Q31205084;Santa Teresa Community;это частный случай понятия;1;1;from
Q31205084;Santa Teresa Community;численность населения;1;3;from
Q31205084;Santa Teresa Community;код GeoNames;1;1;from
Q31205084;Santa Teresa Community;почтовый индекс;1;1;from
Q31205084;Santa Teresa Community;Australian Statistical Geography 2011 ID;1;1;from
Q31205084;Santa Teresa Community;Australian Statistical Geography 2016 ID;1;1;from
Q31205084;Santa Teresa Community;географические координаты;1;1;from
Q31206426;Nauiyu Community;административно-территориальная единица;1;2;from
Q31206426;Nauiyu Community;государство;1;1;from
Q31206426;Nauiyu Community;это частный случай понятия;1;1;from
Q31206426;Nauiyu Community;женское население;1;3;from
Q31205084;Santa Teresa Community;названо в честь;1;1;from
Q31206426;Nauiyu Community;мужское население;1;3;from
