entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q7313;Yuan dynasty;форма правления;1;1;from
Q862304;Qara Khitai;категория на Викискладе;1;1;from
Q874357;Western Turkic Khaganate;код Freebase;1;1;from
Q874357;Western Turkic Khaganate;дата прекращения существования;1;1;from
Q874357;Western Turkic Khaganate;дата основания/создания/возникновения;1;1;from
Q874357;Western Turkic Khaganate;категория на Викискладе;1;1;from
Q874357;Western Turkic Khaganate;это частный случай понятия;1;1;from
Q874357;Western Turkic Khaganate;карта местонахождения;1;1;from
Q862304;Qara Khitai;участник(и);1;2;to
Q862304;Qara Khitai;является столицей;1;1;to
Q862304;Qara Khitai;общая тема категории;1;1;to
Q862304;Qara Khitai;гражданство;1;2;to
Q862304;Qara Khitai;основная категория по теме;1;1;from
Q862304;Qara Khitai;код Freebase;1;1;from
Q862304;Qara Khitai;дата прекращения существования;1;1;from
Q862304;Qara Khitai;дата основания/создания/возникновения;1;1;from
Q862304;Qara Khitai;код в энциклопедии «Британника онлайн»;1;1;from
Q494354;Kara-Khanid Khanate;дата прекращения существования;1;1;from
Q862304;Qara Khitai;столица;1;1;from
Q862304;Qara Khitai;это частный случай понятия;1;2;from
Q862304;Qara Khitai;часть света;1;1;from
Q862304;Qara Khitai;карта местонахождения;1;1;from
Q862304;Qara Khitai;код GND;1;1;from
Q862304;Qara Khitai;код VIAF;1;1;from
Q862304;Qara Khitai;отношение к религии;1;1;from
Q696241;Khanate of Kokand;общая тема категории;1;1;to
Q696241;Khanate of Kokand;заменён на;1;2;to
Q696241;Khanate of Kokand;является столицей;1;1;to
Q696241;Khanate of Kokand;местонахождение;1;1;to
Q696241;Khanate of Kokand;гражданство;1;15;to
Q696241;Khanate of Kokand;основная категория по теме;1;1;from
Q696241;Khanate of Kokand;код TDV İslam Ansiklopedisi;1;1;from
Q874357;Western Turkic Khaganate;основная категория по теме;1;1;from
Q874357;Western Turkic Khaganate;место смерти;1;6;to
Q874357;Western Turkic Khaganate;гражданство;1;4;to
Q874357;Western Turkic Khaganate;участник(и);1;1;to
Q1188459;Yarkent Khanate;дата основания/создания/возникновения;1;1;from
Q1188459;Yarkent Khanate;столица;1;1;from
Q1188459;Yarkent Khanate;это частный случай понятия;1;2;from
Q1188459;Yarkent Khanate;часть света;1;1;from
Q1062546;Later Jin;предыдущее по порядку;1;1;to
Q1062546;Later Jin;общая тема категории;1;1;to
Q1062546;Later Jin;гражданство;1;4;to
Q1062546;Later Jin;государство;1;2;to
Q1062546;Later Jin;основная категория по теме;1;1;from
Q1062546;Later Jin;дата прекращения существования;1;1;from
Q1062546;Later Jin;дата основания/создания/возникновения;1;1;from
Q1062546;Later Jin;это частный случай понятия;1;2;from
Q1062546;Later Jin;часть света;1;1;from
Q1062546;Later Jin;карта местонахождения;1;1;from
Q1062546;Later Jin;следующее по порядку;1;1;from
Q1062546;Later Jin;основатель;1;1;from
Q965466;Shirvan Khanate;общая тема категории;1;1;to
Q965466;Shirvan Khanate;государство;1;1;to
Q965466;Shirvan Khanate;основная категория по теме;1;1;from
Q965466;Shirvan Khanate;код Freebase;1;1;from
Q965466;Shirvan Khanate;дата прекращения существования;1;1;from
Q965466;Shirvan Khanate;дата основания/создания/возникновения;1;1;from
Q965466;Shirvan Khanate;категория на Викискладе;1;1;from
Q965466;Shirvan Khanate;столица;1;1;from
Q965466;Shirvan Khanate;это частный случай понятия;1;1;from
Q965466;Shirvan Khanate;карта местонахождения;1;1;from
Q965466;Shirvan Khanate;отношение к религии;1;1;from
Q874357;Western Turkic Khaganate;общая тема категории;1;1;to
Q874357;Western Turkic Khaganate;часть от;1;1;to
Q696241;Khanate of Kokand;код Freebase;1;1;from
Q696241;Khanate of Kokand;географические координаты;1;1;from
Q696241;Khanate of Kokand;дата прекращения существования;1;1;from
Q577668;Khanate of Bukhara;основная категория по теме;1;1;from
Q577668;Khanate of Bukhara;географические координаты;1;1;from
Q577668;Khanate of Bukhara;дата прекращения существования;1;1;from
Q577668;Khanate of Bukhara;дата основания/создания/возникновения;1;1;from
Q577668;Khanate of Bukhara;код для сущности Wolfram Language;1;1;from
Q577668;Khanate of Bukhara;категория на Викискладе;1;1;from
Q577668;Khanate of Bukhara;код NDL;1;1;from
Q577668;Khanate of Bukhara;код в Большой российской энциклопедии онлайн;1;1;from
Q577668;Khanate of Bukhara;код SUDOC;1;1;from
Q577668;Khanate of Bukhara;категория для людей, родившихся здесь;1;1;from
Q577668;Khanate of Bukhara;заменён на;1;3;from
Q577668;Khanate of Bukhara;заменил;1;1;to
Q577668;Khanate of Bukhara;описывается в источниках;1;5;from
Q577668;Khanate of Bukhara;изображение флага;1;1;from
Q577668;Khanate of Bukhara;официальный язык;1;2;from
Q577668;Khanate of Bukhara;столица;1;1;from
Q577668;Khanate of Bukhara;это частный случай понятия;1;2;from
Q577668;Khanate of Bukhara;часть света;1;1;from
Q577668;Khanate of Bukhara;код LCNAF;1;1;from
Q577668;Khanate of Bukhara;карта местонахождения;1;1;from
Q577668;Khanate of Bukhara;код VIAF;1;1;from
Q577668;Khanate of Bukhara;форма правления;1;2;from
Q494354;Kara-Khanid Khanate;общая тема категории;1;2;to
Q494354;Kara-Khanid Khanate;место рождения;1;1;to
Q494354;Kara-Khanid Khanate;участник(и);1;1;to
Q494354;Kara-Khanid Khanate;род;1;3;to
Q494354;Kara-Khanid Khanate;является столицей;1;1;to
Q494354;Kara-Khanid Khanate;гражданство;1;7;to
Q494354;Kara-Khanid Khanate;основная категория по теме;1;1;from
Q494354;Kara-Khanid Khanate;код Freebase;1;1;from
Q577668;Khanate of Bukhara;код Freebase;1;1;from
Q577668;Khanate of Bukhara;гражданство;1;4;to
Q696241;Khanate of Kokand;дата основания/создания/возникновения;1;1;from
Q577668;Khanate of Bukhara;место рождения;1;13;to
Q696241;Khanate of Kokand;код для сущности Wolfram Language;1;1;from
Q696241;Khanate of Kokand;категория на Викискладе;1;1;from
Q696241;Khanate of Kokand;код NDL;1;1;from
Q696241;Khanate of Kokand;официальная религия;1;1;from
Q696241;Khanate of Kokand;код в Nomisma.org;1;1;from
Q696241;Khanate of Kokand;используемый язык;1;1;from
Q696241;Khanate of Kokand;код в Большой российской энциклопедии онлайн;1;1;from
Q696241;Khanate of Kokand;площадь;1;1;from
Q696241;Khanate of Kokand;название на языке оригинала;1;2;from
Q696241;Khanate of Kokand;код в энциклопедии «Британника онлайн»;1;1;from
