entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q246963;Shim'a;административно-территориальная единица;1;2;from
Q2889238;Eshkolot;Or Movement settlement ID;1;1;from
Q2889225;HaOn;географические координаты;1;1;from
Q2889225;HaOn;код Freebase;1;1;from
Q2889225;HaOn;Who's on First ID;1;1;from
Q2889225;HaOn;место жительства;1;1;to
Q2889238;Eshkolot;основатель;1;1;from
Q2889238;Eshkolot;административно-территориальная единица;1;1;from
Q2889238;Eshkolot;государство;1;1;from
Q2889238;Eshkolot;изображение;1;1;from
Q2889238;Eshkolot;это частный случай понятия;1;2;from
Q2889238;Eshkolot;численность населения;1;2;from
Q2889238;Eshkolot;высота над уровнем моря;1;1;from
Q2889238;Eshkolot;Израильский муниципальный код;1;1;from
Q2889238;Eshkolot;категория на Викискладе;1;1;from
Q2889238;Eshkolot;дата основания/создания/возникновения;1;1;from
Q2888807;Ro'i;дата основания/создания/возникновения;1;1;from
Q2889238;Eshkolot;географические координаты;1;1;from
Q2889238;Eshkolot;код Freebase;1;1;from
Q2889238;Eshkolot;официальный сайт;1;1;from
Q2889475;Niran;основатель;1;1;from
Q2889475;Niran;административно-территориальная единица;1;1;from
Q2889475;Niran;государство;1;1;from
Q2889475;Niran;это частный случай понятия;1;3;from
Q2889475;Niran;численность населения;1;1;from
Q2889475;Niran;код GeoNames;1;1;from
Q2889475;Niran;высота над уровнем моря;1;1;from
Q2889475;Niran;Израильский муниципальный код;1;1;from
Q2889475;Niran;код в Еврейской энциклопедии Даат;1;1;from
Q2889475;Niran;категория на Викискладе;1;1;from
Q2889225;HaOn;дата основания/создания/возникновения;1;1;from
Q2889225;HaOn;категория на Викискладе;1;1;from
Q2889225;HaOn;Израильский муниципальный код;1;1;from
Q2889225;HaOn;код TGN;1;1;from
Q2889103;Shadmot Mehola;дата основания/создания/возникновения;1;1;from
Q2889103;Shadmot Mehola;географические координаты;1;1;from
Q2889103;Shadmot Mehola;код Freebase;1;1;from
Q2889103;Shadmot Mehola;Who's on First ID;1;1;from
Q2889103;Shadmot Mehola;официальный сайт;1;1;from
Q2889103;Shadmot Mehola;код NLI;1;1;from
Q2889103;Shadmot Mehola;место рождения;1;1;to
Q2889134;Sansana;основатель;1;1;from
Q2889134;Sansana;административно-территориальная единица;1;2;from
Q2889134;Sansana;государство;1;1;from
Q2889134;Sansana;изображение;1;1;from
Q2889134;Sansana;это частный случай понятия;1;3;from
Q2889134;Sansana;численность населения;1;1;from
Q2889134;Sansana;код GeoNames;1;1;from
Q2889134;Sansana;Израильский муниципальный код;1;2;from
Q2889134;Sansana;категория на Викискладе;1;1;from
Q2889134;Sansana;Or Movement settlement ID;1;1;from
Q2889134;Sansana;дата основания/создания/возникновения;1;1;from
Q2889134;Sansana;географические координаты;1;1;from
Q2889134;Sansana;код Freebase;1;1;from
Q2889134;Sansana;официальный сайт;1;1;from
Q2889225;HaOn;административно-территориальная единица;1;1;from
Q2889225;HaOn;государство;1;1;from
Q2889225;HaOn;изображение;1;1;from
Q2889225;HaOn;это частный случай понятия;1;3;from
Q2889225;HaOn;численность населения;1;1;from
Q2889225;HaOn;код GeoNames;1;1;from
Q2889475;Niran;дата основания/создания/возникновения;1;2;from
