entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q17152;Central Macedonia;административно-территориальная единица;1;118;to
Q202484;Peloponnese Region;государство;1;1;from
Q202484;Peloponnese Region;код GeoNames;1;1;from
Q202484;Peloponnese Region;категория для людей, умерших здесь;1;1;from
Q202484;Peloponnese Region;категория для людей, родившихся здесь;1;1;from
Q202484;Peloponnese Region;официальное название;1;1;from
Q202484;Peloponnese Region;численность населения;1;2;from
Q202484;Peloponnese Region;десятичная классификация Дьюи;1;1;from
Q202484;Peloponnese Region;изображение герба;1;1;from
Q202484;Peloponnese Region;глава правительства;1;1;from
Q202484;Peloponnese Region;столица;1;1;from
Q202484;Peloponnese Region;это частный случай понятия;1;1;from
Q202484;Peloponnese Region;карта местонахождения;1;1;from
Q202484;Peloponnese Region;изображение;1;1;from
Q202484;Peloponnese Region;административно-территориальная единица;1;83;to
Q199580;Central Greece Region;идентификатор местоположения ArchINFORM;1;1;from
Q199580;Central Greece Region;общая тема категории;1;1;to
Q199580;Central Greece Region;происходит из;1;2;to
Q199580;Central Greece Region;место рождения;1;2;to
Q199580;Central Greece Region;место погребения;1;1;to
Q199580;Central Greece Region;категория объединяет темы;1;5;to
Q199580;Central Greece Region;место жительства;1;1;to
Q199580;Central Greece Region;основная категория по теме;1;1;from
Q199580;Central Greece Region;официальный сайт;1;1;from
Q199580;Central Greece Region;Who's on First ID;1;1;from
Q199580;Central Greece Region;код Freebase;1;1;from
Q199580;Central Greece Region;географические координаты;1;1;from
Q199580;Central Greece Region;код NUTS;1;1;from
Q202484;Peloponnese Region;подробная карта;1;1;from
Q202484;Peloponnese Region;название на языке оригинала;1;1;from
Q202484;Peloponnese Region;категория для людей, связанных с местностью;1;1;from
Q202484;Peloponnese Region;позиционная карта;1;1;from
Q758056;Attica Region;код VIAF;1;1;from
Q758056;Attica Region;изображение;1;1;from
Q758056;Attica Region;государство;1;1;from
Q758056;Attica Region;административно делится на;1;1;to
Q758056;Attica Region;административно-территориальная единица;1;245;to
Q202484;Peloponnese Region;общая тема категории;1;1;to
Q202484;Peloponnese Region;категория объединяет темы;1;4;to
Q202484;Peloponnese Region;происходит из;1;1;to
Q202484;Peloponnese Region;является столицей;1;1;to
Q202484;Peloponnese Region;место смерти;1;5;to
Q202484;Peloponnese Region;место рождения;1;10;to
Q202484;Peloponnese Region;административно делится на;1;1;to
Q202484;Peloponnese Region;основная категория по теме;1;1;from
Q202484;Peloponnese Region;официальный сайт;1;1;from
Q202484;Peloponnese Region;Who's on First ID;1;1;from
Q202484;Peloponnese Region;код Freebase;1;1;from
Q202484;Peloponnese Region;географические координаты;1;1;from
Q202484;Peloponnese Region;идентификатор местоположения ArchINFORM;1;1;from
Q202484;Peloponnese Region;часовой пояс;1;1;from
Q202484;Peloponnese Region;ID отношения в OpenStreetMap;1;1;from
