entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q973833;Cumbe Mayo;административно-территориальная единица;1;2;from
Q17644392;Engine Arm Aqueduct, Warley;номер в списке Английского наследия;1;1;from
Q17644950;Flash Road aqueduct;географические координаты;1;1;from
Q17644950;Flash Road aqueduct;статус наследия;1;1;from
Q17644950;Flash Road aqueduct;номер в списке Английского наследия;1;1;from
Q17644950;Flash Road aqueduct;это частный случай понятия;1;1;from
Q17644950;Flash Road aqueduct;государство;1;1;from
Q17644392;Engine Arm Aqueduct, Warley;географические координаты;1;1;from
Q17644392;Engine Arm Aqueduct, Warley;статус наследия;1;1;from
Q17644392;Engine Arm Aqueduct, Warley;это частный случай понятия;1;1;from
Q973833;Cumbe Mayo;государство;1;1;from
Q17644392;Engine Arm Aqueduct, Warley;государство;1;1;from
Q17642348;Sedgwick aqueduct;географические координаты;1;1;from
Q17642348;Sedgwick aqueduct;статус наследия;1;1;from
Q17642348;Sedgwick aqueduct;номер в списке Английского наследия;1;1;from
Q17642348;Sedgwick aqueduct;это частный случай понятия;1;1;from
Q17642348;Sedgwick aqueduct;государство;1;1;from
Q17642348;Sedgwick aqueduct;административно-территориальная единица;1;1;from
Q17647100;Roman aqueduct to Great Chesters from the Cawburn;государство;1;1;from
Q17647100;Roman aqueduct to Great Chesters from the Cawburn;это частный случай понятия;1;1;from
Q17647100;Roman aqueduct to Great Chesters from the Cawburn;номер в списке Английского наследия;1;1;from
Q17647100;Roman aqueduct to Great Chesters from the Cawburn;статус наследия;1;1;from
Q56401117;Mina de l'Arquebisbe;код Inventari del Patrimoni Arquitectònic de Catalunya;1;1;from
Q56401117;Mina de l'Arquebisbe;это частный случай понятия;1;1;from
Q56401117;Mina de l'Arquebisbe;изображение;1;1;from
Q56401117;Mina de l'Arquebisbe;государство;1;1;from
Q56401117;Mina de l'Arquebisbe;административно-территориальная единица;1;1;from
Q42567025;Horikawa Aqueduct;категория на Викискладе;1;1;from
Q42567025;Horikawa Aqueduct;это частный случай понятия;1;1;from
Q42567025;Horikawa Aqueduct;государство;1;1;from
Q42567025;Horikawa Aqueduct;административно-территориальная единица;1;2;from
Q17650956;Discontinuous surviving sections of Roman aqueduct;географические координаты;1;1;from
Q17650956;Discontinuous surviving sections of Roman aqueduct;статус наследия;1;1;from
Q17650956;Discontinuous surviving sections of Roman aqueduct;номер в списке Английского наследия;1;1;from
Q17650956;Discontinuous surviving sections of Roman aqueduct;это частный случай понятия;1;1;from
Q17650956;Discontinuous surviving sections of Roman aqueduct;государство;1;1;from
Q17647100;Roman aqueduct to Great Chesters from the Cawburn;географические координаты;1;1;from
Q17641671;Canal aqueduct;географические координаты;1;1;from
Q17641671;Canal aqueduct;статус наследия;1;1;from
Q17641671;Canal aqueduct;номер в списке Английского наследия;1;1;from
Q11637884;Tatsumi Canal;категория на Викискладе;1;1;from
Q11637884;Tatsumi Canal;изображение;1;1;from
Q11637884;Tatsumi Canal;государство;1;1;from
Q4674749;Acqua Vergine;общая тема категории;1;1;to
Q4674749;Acqua Vergine;основная категория по теме;1;1;from
Q4674749;Acqua Vergine;не путать с;1;1;to
Q4674749;Acqua Vergine;это частный случай понятия;1;1;from
Q4674749;Acqua Vergine;государство;1;1;from
Q973833;Cumbe Mayo;код Freebase;1;1;from
Q973833;Cumbe Mayo;географические координаты;1;1;from
Q973833;Cumbe Mayo;категория на Викискладе;1;1;from
Q973833;Cumbe Mayo;местонахождение;1;1;from
Q973833;Cumbe Mayo;код «Вики любит памятники»;1;1;from
Q973833;Cumbe Mayo;статус наследия;1;1;from
Q973833;Cumbe Mayo;это частный случай понятия;1;2;from
Q973833;Cumbe Mayo;изображение;1;1;from
Q11637884;Tatsumi Canal;это частный случай понятия;1;1;from
Q17641078;River Wey aqueduct, Headley Park;государство;1;1;from
Q17641671;Canal aqueduct;это частный случай понятия;1;1;from
Q17641078;River Wey aqueduct, Headley Park;это частный случай понятия;1;1;from
Q17641671;Canal aqueduct;государство;1;1;from
Q17641671;Canal aqueduct;административно-территориальная единица;1;1;from
Q17641097;River Wey aqueduct, Radford Bridge, Liphook;географические координаты;1;1;from
Q17641097;River Wey aqueduct, Radford Bridge, Liphook;статус наследия;1;1;from
Q17641097;River Wey aqueduct, Radford Bridge, Liphook;номер в списке Английского наследия;1;1;from
Q17641097;River Wey aqueduct, Radford Bridge, Liphook;это частный случай понятия;1;1;from
Q17641097;River Wey aqueduct, Radford Bridge, Liphook;государство;1;1;from
Q17641085;River Wey aqueduct, Bramshott Court;географические координаты;1;1;from
Q17641085;River Wey aqueduct, Bramshott Court;статус наследия;1;1;from
Q17641085;River Wey aqueduct, Bramshott Court;номер в списке Английского наследия;1;1;from
Q17641085;River Wey aqueduct, Bramshott Court;это частный случай понятия;1;1;from
Q17641085;River Wey aqueduct, Bramshott Court;государство;1;1;from
Q17641078;River Wey aqueduct, Headley Park;географические координаты;1;1;from
Q17641078;River Wey aqueduct, Headley Park;статус наследия;1;1;from
Q17641078;River Wey aqueduct, Headley Park;номер в списке Английского наследия;1;1;from
Q56401117;Mina de l'Arquebisbe;категория на Викискладе;1;1;from
