entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q943507;City National Plaza;административно-территориальная единица;1;1;from
Q30631990;Q30631990;статус наследия;1;1;from
Q30630524;Q30630524;код «Вики любит памятники»;1;1;from
Q30630524;Q30630524;статус наследия;1;1;from
Q30630524;Q30630524;это частный случай понятия;1;1;from
Q30630524;Q30630524;изображение;1;1;from
Q30630524;Q30630524;государство;1;1;from
Q30630524;Q30630524;административно-территориальная единица;1;1;from
Q30630169;Q30630169;адрес;1;1;from
Q30630169;Q30630169;географические координаты;1;1;from
Q30630169;Q30630169;дата основания/создания/возникновения;1;1;from
Q30630169;Q30630169;категория на Викискладе;1;1;from
Q30630169;Q30630169;Polish cultural heritage register number;1;1;from
Q30630169;Q30630169;код «Вики любит памятники»;1;1;from
Q30630169;Q30630169;статус наследия;1;1;from
Q30630169;Q30630169;это частный случай понятия;1;1;from
Q30630169;Q30630169;изображение;1;1;from
Q30630169;Q30630169;государство;1;1;from
Q30630169;Q30630169;административно-территориальная единица;1;1;from
Q30629062;Q30629062;адрес;1;1;from
Q30629062;Q30629062;географические координаты;1;1;from
Q30629062;Q30629062;дата основания/создания/возникновения;1;1;from
Q30629062;Q30629062;категория на Викискладе;1;1;from
Q30630524;Q30630524;Polish cultural heritage register number;1;1;from
Q30630524;Q30630524;категория на Викискладе;1;1;from
Q30630524;Q30630524;географические координаты;1;1;from
Q30631029;Q30631029;статус наследия;1;1;from
Q30631990;Q30631990;изображение;1;1;from
Q30631990;Q30631990;государство;1;1;from
Q30631990;Q30631990;административно-территориальная единица;1;1;from
Q30631029;Q30631029;адрес;1;1;from
Q30631029;Q30631029;географические координаты;1;1;from
Q30631029;Q30631029;дата основания/создания/возникновения;1;1;from
Q30631029;Q30631029;категория на Викискладе;1;1;from
Q30631029;Q30631029;Polish cultural heritage register number;1;1;from
Q30631029;Q30631029;код «Вики любит памятники»;1;1;from
Q30631029;Q30631029;это частный случай понятия;1;1;from
Q30630524;Q30630524;адрес;1;1;from
Q30631029;Q30631029;изображение;1;1;from
Q30631029;Q30631029;государство;1;1;from
Q30631029;Q30631029;административно-территориальная единица;1;1;from
Q30630677;Q30630677;адрес;1;1;from
Q30630677;Q30630677;код «Вики любит памятники»;1;1;from
Q30630677;Q30630677;статус наследия;1;1;from
Q30630677;Q30630677;это частный случай понятия;1;1;from
Q30630677;Q30630677;государство;1;1;from
Q30630677;Q30630677;административно-территориальная единица;1;1;from
Q30629062;Q30629062;Polish cultural heritage register number;1;1;from
Q30629062;Q30629062;код «Вики любит памятники»;1;1;from
Q30629062;Q30629062;статус наследия;1;1;from
Q30620230;7 Pileckiego Street in Gdańsk;Polish cultural heritage register number;1;1;from
Q30621187;Q30621187;код «Вики любит памятники»;1;1;from
Q30621187;Q30621187;статус наследия;1;1;from
Q30621187;Q30621187;это частный случай понятия;1;1;from
Q30621187;Q30621187;государство;1;1;from
Q30621187;Q30621187;административно-территориальная единица;1;1;from
Q30620230;7 Pileckiego Street in Gdańsk;адрес;1;1;from
Q30620230;7 Pileckiego Street in Gdańsk;географические координаты;1;1;from
Q30620230;7 Pileckiego Street in Gdańsk;дата основания/создания/возникновения;1;1;from
Q30620230;7 Pileckiego Street in Gdańsk;категория на Викискладе;1;1;from
Q30620230;7 Pileckiego Street in Gdańsk;код «Вики любит памятники»;1;1;from
Q30621187;Q30621187;адрес;1;1;from
Q30620230;7 Pileckiego Street in Gdańsk;статус наследия;1;1;from
Q30620230;7 Pileckiego Street in Gdańsk;это частный случай понятия;1;1;from
Q30620230;7 Pileckiego Street in Gdańsk;изображение;1;1;from
Q30620230;7 Pileckiego Street in Gdańsk;государство;1;1;from
Q30620230;7 Pileckiego Street in Gdańsk;административно-территориальная единица;1;1;from
Q30620154;Q30620154;часть от;1;9;to
Q30620154;Q30620154;ключевое событие;1;2;from
Q30620154;Q30620154;адрес;1;1;from
Q30620154;Q30620154;географические координаты;1;1;from
Q30621187;Q30621187;дата основания/создания/возникновения;1;1;from
Q30621187;Q30621187;ключевое событие;1;2;from
Q30629062;Q30629062;это частный случай понятия;1;1;from
Q30628844;Q30628844;статус наследия;1;1;from
Q30629062;Q30629062;изображение;1;1;from
Q30629062;Q30629062;государство;1;1;from
Q30629062;Q30629062;административно-территориальная единица;1;1;from
Q30628844;Q30628844;адрес;1;1;from
Q30628844;Q30628844;географические координаты;1;1;from
Q30628844;Q30628844;дата основания/создания/возникновения;1;1;from
Q30628844;Q30628844;категория на Викискладе;1;1;from
Q30628844;Q30628844;Polish cultural heritage register number;1;1;from
Q30628844;Q30628844;код «Вики любит памятники»;1;1;from
Q30628844;Q30628844;это частный случай понятия;1;1;from
Q30623297;Oceanwide Plaza;владельцем является;1;1;from
Q30628844;Q30628844;изображение;1;1;from
Q30628844;Q30628844;государство;1;1;from
Q30628844;Q30628844;административно-территориальная единица;1;1;from
Q30623297;Oceanwide Plaza;географические координаты;1;1;from
Q30623297;Oceanwide Plaza;дата основания/создания/возникновения;1;1;from
Q30623297;Oceanwide Plaza;число лифтов;1;1;from
Q30623297;Oceanwide Plaza;архитектор;1;1;from
Q30623297;Oceanwide Plaza;это частный случай понятия;1;1;from
Q30623297;Oceanwide Plaza;государство;1;1;from
Q30631990;Q30631990;это частный случай понятия;1;1;from
Q30631990;Q30631990;код «Вики любит памятники»;1;1;from
Q30818408;Q30818408;это частный случай понятия;1;1;from
Q30631990;Q30631990;Polish cultural heritage register number;1;1;from
Q30650913;Q30650913;адрес;1;1;from
Q30650913;Q30650913;состоит из;1;8;from
Q30650913;Q30650913;INSPIRE ID;1;1;from
Q30650913;Q30650913;категория на Викискладе;1;1;from
Q30650913;Q30650913;Polish cultural heritage register number;1;1;from
Q30650913;Q30650913;код «Вики любит памятники»;1;1;from
Q30650913;Q30650913;статус наследия;1;1;from
Q30650913;Q30650913;это частный случай понятия;1;1;from
Q30650913;Q30650913;изображение;1;1;from
Q30650913;Q30650913;государство;1;1;from
Q30650913;Q30650913;административно-территориальная единица;1;1;from
Q30642713;Q30642713;адрес;1;1;from
Q30642713;Q30642713;географические координаты;1;1;from
Q30642713;Q30642713;дата основания/создания/возникновения;1;1;from
Q30642713;Q30642713;Polish cultural heritage register number;1;2;from
Q30642713;Q30642713;код «Вики любит памятники»;1;1;from
Q30642713;Q30642713;статус наследия;1;1;from
Q30642713;Q30642713;это частный случай понятия;1;1;from
Q30642713;Q30642713;государство;1;1;from
Q30642269;Q30642269;адрес;1;1;from
Q30642269;Q30642269;географические координаты;1;1;from
Q30650913;Q30650913;часть от;1;8;to
Q30760958;Q30760958;административно-территориальная единица;1;1;from
Q30760958;Q30760958;государство;1;1;from
Q30761867;Q30761867;это частный случай понятия;1;1;from
Q30818408;Q30818408;административно-территориальная единица;1;1;from
Q30761867;Q30761867;часть от;1;2;to
Q30761867;Q30761867;адрес;1;1;from
Q30761867;Q30761867;дата основания/создания/возникновения;1;1;from
Q30761867;Q30761867;состоит из;1;2;from
Q30761867;Q30761867;INSPIRE ID;1;1;from
Q30761867;Q30761867;Polish cultural heritage register number;1;1;from
Q30761867;Q30761867;код «Вики любит памятники»;1;1;from
Q30761867;Q30761867;статус наследия;1;1;from
Q30761867;Q30761867;государство;1;1;from
Q30760958;Q30760958;изображение;1;1;from
Q30761867;Q30761867;административно-территориальная единица;1;1;from
Q30760958;Q30760958;идентификатор Чешского культурного наследия;1;1;from
Q30760958;Q30760958;расположен на улице;1;1;from
Q30760958;Q30760958;географические координаты;1;1;from
Q30760958;Q30760958;conscription number;1;1;from
Q30760958;Q30760958;Czech Monument Catalogue Number;1;1;from
Q30760958;Q30760958;официальное название;1;3;from
Q30760958;Q30760958;статус наследия;1;1;from
Q30760958;Q30760958;это частный случай понятия;1;1;from
Q30642269;Q30642269;дата основания/создания/возникновения;1;1;from
Q30642269;Q30642269;Polish cultural heritage register number;1;1;from
Q30642269;Q30642269;код «Вики любит памятники»;1;1;from
Q30632147;Q30632147;дата основания/создания/возникновения;1;1;from
Q30632296;Q30632296;Polish cultural heritage register number;1;1;from
Q30632296;Q30632296;код «Вики любит памятники»;1;1;from
Q30632296;Q30632296;статус наследия;1;1;from
Q30632296;Q30632296;это частный случай понятия;1;1;from
Q30632296;Q30632296;изображение;1;1;from
Q30632296;Q30632296;государство;1;1;from
Q30632296;Q30632296;административно-территориальная единица;1;1;from
Q30632147;Q30632147;адрес;1;1;from
Q30632147;Q30632147;географические координаты;1;1;from
Q30632147;Q30632147;Polish cultural heritage register number;1;1;from
Q30632296;Q30632296;географические координаты;1;1;from
Q30632147;Q30632147;код «Вики любит памятники»;1;1;from
Q30632147;Q30632147;статус наследия;1;1;from
Q30632147;Q30632147;это частный случай понятия;1;1;from
Q30632147;Q30632147;изображение;1;1;from
Q30632147;Q30632147;государство;1;1;from
Q30632147;Q30632147;административно-территориальная единица;1;1;from
Q30631990;Q30631990;адрес;1;1;from
Q30631990;Q30631990;географические координаты;1;1;from
Q30631990;Q30631990;дата основания/создания/возникновения;1;1;from
Q30632296;Q30632296;дата основания/создания/возникновения;1;1;from
Q30632296;Q30632296;адрес;1;1;from
Q30642269;Q30642269;статус наследия;1;1;from
Q30640532;Q30640532;административно-территориальная единица;1;1;from
Q30642269;Q30642269;это частный случай понятия;1;1;from
Q30642269;Q30642269;государство;1;1;from
Q30640532;Q30640532;адрес;1;1;from
Q30640532;Q30640532;дата основания/создания/возникновения;1;1;from
Q30640532;Q30640532;Polish cultural heritage register number;1;1;from
Q30640532;Q30640532;код «Вики любит памятники»;1;1;from
Q30640532;Q30640532;статус наследия;1;1;from
Q30640532;Q30640532;это частный случай понятия;1;1;from
Q30640532;Q30640532;государство;1;1;from
Q30633248;Villa complex at Obrońców Westerplatte Street in Sopot;адрес;1;1;from
Q30633248;Villa complex at Obrońców Westerplatte Street in Sopot;административно-территориальная единица;1;1;from
Q30633248;Villa complex at Obrońców Westerplatte Street in Sopot;географические координаты;1;1;from
Q30633248;Villa complex at Obrońców Westerplatte Street in Sopot;дата основания/создания/возникновения;1;1;from
Q30633248;Villa complex at Obrońców Westerplatte Street in Sopot;категория на Викискладе;1;1;from
Q30633248;Villa complex at Obrońców Westerplatte Street in Sopot;Polish cultural heritage register number;1;1;from
Q30633248;Villa complex at Obrońców Westerplatte Street in Sopot;код «Вики любит памятники»;1;1;from
Q30633248;Villa complex at Obrońców Westerplatte Street in Sopot;статус наследия;1;1;from
Q30633248;Villa complex at Obrońców Westerplatte Street in Sopot;это частный случай понятия;1;1;from
Q30633248;Villa complex at Obrońców Westerplatte Street in Sopot;изображение;1;1;from
Q30633248;Villa complex at Obrońców Westerplatte Street in Sopot;государство;1;1;from
Q30620154;Q30620154;дата основания/создания/возникновения;1;1;from
Q30620154;Q30620154;состоит из;1;9;from
Q30620154;Q30620154;INSPIRE ID;1;1;from
Q30620154;Q30620154;категория на Викискладе;1;1;from
Q30583222;Q30583222;географические координаты;1;1;from
Q30583222;Q30583222;дата основания/создания/возникновения;1;1;from
Q30583222;Q30583222;Polish cultural heritage register number;1;1;from
Q30583222;Q30583222;код «Вики любит памятники»;1;1;from
