entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q131830;Mafate;государство;1;1;from
Q5739865;Caldera del Rey;код GeoNames;1;1;from
Q6631587;Weiss Amphitheater;горный хребет;1;1;from
Q6631587;Weiss Amphitheater;SCAR Composite Gazetteer place ID;1;1;from
Q6631587;Weiss Amphitheater;код GeoNames;1;1;from
Q6631587;Weiss Amphitheater;это частный случай понятия;1;2;from
Q6631587;Weiss Amphitheater;часть света;1;1;from
Q6631587;Weiss Amphitheater;административно-территориальная единица;1;1;from
Q5739865;Caldera del Rey;географические координаты;1;1;from
Q5739865;Caldera del Rey;категория на Викискладе;1;1;from
Q5739865;Caldera del Rey;это частный случай понятия;1;1;from
Q5454772;Fisher Caldera;код BabelNet;1;1;from
Q5739865;Caldera del Rey;изображение;1;1;from
Q5739865;Caldera del Rey;государство;1;1;from
Q5454772;Fisher Caldera;находится в пределах природно-географического объекта;1;1;from
Q5454772;Fisher Caldera;географические координаты;1;1;from
Q5454772;Fisher Caldera;код GNIS;1;1;from
Q5454772;Fisher Caldera;VOGRIPA ID;1;1;from
Q5454772;Fisher Caldera;горный хребет;1;1;from
Q5454772;Fisher Caldera;вулканическая обсерватория;1;1;from
Q6631587;Weiss Amphitheater;географические координаты;1;1;from
Q6631587;Weiss Amphitheater;антарктический код GNIS;1;1;from
Q7813452;Tokachi-Mitsumata Caldera;государство;1;1;from
Q7813452;Tokachi-Mitsumata Caldera;это частный случай понятия;1;1;from
Q15221503;Gedamsa Caldera;изображение;1;1;from
Q15221503;Gedamsa Caldera;государство;1;1;from
Q15161326;Q15161326;географические координаты;1;1;from
Q15161326;Q15161326;вулканическая обсерватория;1;1;from
Q15161326;Q15161326;это частный случай понятия;1;1;from
Q15161326;Q15161326;изображение;1;2;from
Q15161326;Q15161326;государство;1;1;from
Q15161326;Q15161326;названо в честь;1;1;from
Q11991591;Q11991591;это частный случай понятия;1;1;from
Q11991591;Q11991591;государство;1;1;from
Q11635323;Akaigawa Caldera;это частный случай понятия;1;1;from
Q11635323;Akaigawa Caldera;государство;1;1;from
Q11635323;Akaigawa Caldera;административно-территориальная единица;1;1;from
Q11597826;Tateyama caldera;область интересов;1;1;to
Q11597826;Tateyama caldera;это частный случай понятия;1;1;from
Q11597826;Tateyama caldera;государство;1;1;from
Q7813452;Tokachi-Mitsumata Caldera;географические координаты;1;1;from
Q5454772;Fisher Caldera;категория на Викискладе;1;1;from
Q5454772;Fisher Caldera;высота над уровнем моря;1;1;from
Q15221503;Gedamsa Caldera;высота над уровнем моря;1;1;from
Q3053796;Enclos Fouqué;находится в пределах природно-географического объекта;1;3;to
Q3155382;Island Park Caldera;это частный случай понятия;1;1;from
Q3155382;Island Park Caldera;код VIAF;1;1;from
Q3155382;Island Park Caldera;изображение;1;1;from
Q3155382;Island Park Caldera;государство;1;1;from
Q3155382;Island Park Caldera;административно-территориальная единица;1;2;from
Q3053796;Enclos Fouqué;открывает вид на;1;2;to
Q3053796;Enclos Fouqué;общая тема категории;1;1;to
