entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q2299946;Aram Chaos;изображение;1;1;from
Q24064558;Hellas Chaos;код Gazetteer of Planetary Nomenclature;1;1;from
Q24064554;Erythraeum Chaos;категория на Викискладе;1;1;from
Q24064554;Erythraeum Chaos;на астрономическом теле;1;1;from
Q24064554;Erythraeum Chaos;географические координаты;1;1;from
Q24064556;Ganges Chaos;это частный случай понятия;1;1;from
Q24064556;Ganges Chaos;длина;1;1;from
Q24064556;Ganges Chaos;код Gazetteer of Planetary Nomenclature;1;1;from
Q24064556;Ganges Chaos;часть от;1;1;from
Q24064556;Ganges Chaos;категория на Викискладе;1;1;from
Q24064556;Ganges Chaos;на астрономическом теле;1;1;from
Q24064556;Ganges Chaos;географические координаты;1;1;from
Q24064556;Ganges Chaos;состоит из;1;1;to
Q24064558;Hellas Chaos;это частный случай понятия;1;1;from
Q24064558;Hellas Chaos;длина;1;1;from
Q24064558;Hellas Chaos;категория на Викискладе;1;1;from
Q24064554;Erythraeum Chaos;длина;1;1;from
Q24064558;Hellas Chaos;на астрономическом теле;1;1;from
Q24064558;Hellas Chaos;географические координаты;1;1;from
Q24064560;Hydrae Chaos;изображение;1;1;from
Q24064560;Hydrae Chaos;это частный случай понятия;1;1;from
Q24064560;Hydrae Chaos;длина;1;1;from
Q24064560;Hydrae Chaos;местонахождение;1;1;from
Q24064560;Hydrae Chaos;код Gazetteer of Planetary Nomenclature;1;1;from
Q24064560;Hydrae Chaos;категория на Викискладе;1;1;from
Q24064560;Hydrae Chaos;на астрономическом теле;1;1;from
Q24064560;Hydrae Chaos;географические координаты;1;1;from
Q24064563;Iamuna Chaos;это частный случай понятия;1;1;from
Q24064563;Iamuna Chaos;длина;1;1;from
Q24064563;Iamuna Chaos;код Gazetteer of Planetary Nomenclature;1;1;from
Q24064554;Erythraeum Chaos;код Gazetteer of Planetary Nomenclature;1;1;from
Q24064554;Erythraeum Chaos;это частный случай понятия;1;1;from
Q24064563;Iamuna Chaos;на астрономическом теле;1;1;from
Q24064550;Caralis Chaos;географические координаты;1;1;from
Q24064549;Candor Chaos;код Gazetteer of Planetary Nomenclature;1;1;from
Q24064549;Candor Chaos;часть от;1;1;from
Q24064549;Candor Chaos;категория на Викискладе;1;1;from
Q24064549;Candor Chaos;на астрономическом теле;1;1;from
Q24064549;Candor Chaos;географические координаты;1;1;from
Q24064549;Candor Chaos;состоит из;1;1;to
Q24064550;Caralis Chaos;изображение;1;1;from
Q24064550;Caralis Chaos;это частный случай понятия;1;1;from
Q24064550;Caralis Chaos;длина;1;1;from
Q24064550;Caralis Chaos;местонахождение;1;1;from
Q24064550;Caralis Chaos;код Gazetteer of Planetary Nomenclature;1;1;from
Q24064550;Caralis Chaos;категория на Викискладе;1;1;from
Q24064550;Caralis Chaos;на астрономическом теле;1;1;from
Q24064551;Chryse Chaos;это частный случай понятия;1;1;from
Q24064552;Echus Chaos;географические координаты;1;1;from
Q24064551;Chryse Chaos;длина;1;1;from
Q24064551;Chryse Chaos;местонахождение;1;1;from
Q24064551;Chryse Chaos;код Gazetteer of Planetary Nomenclature;1;1;from
Q24064551;Chryse Chaos;категория на Викискладе;1;1;from
Q24064551;Chryse Chaos;на астрономическом теле;1;1;from
Q24064551;Chryse Chaos;географические координаты;1;1;from
Q24064552;Echus Chaos;изображение;1;1;from
Q24064552;Echus Chaos;это частный случай понятия;1;1;from
Q24064552;Echus Chaos;длина;1;1;from
Q24064552;Echus Chaos;местонахождение;1;1;from
Q24064552;Echus Chaos;код Gazetteer of Planetary Nomenclature;1;1;from
Q24064552;Echus Chaos;категория на Викискладе;1;1;from
Q24064552;Echus Chaos;на астрономическом теле;1;1;from
Q24064563;Iamuna Chaos;категория на Викискладе;1;1;from
Q24064563;Iamuna Chaos;географические координаты;1;1;from
Q2299946;Aram Chaos;это частный случай понятия;1;1;from
Q25907753;Rathmore Chaos;код Gazetteer of Planetary Nomenclature;1;1;from
Q24064570;Xanthe Chaos;категория на Викискладе;1;1;from
Q24064570;Xanthe Chaos;на астрономическом теле;1;1;from
Q24064570;Xanthe Chaos;географические координаты;1;1;from
Q25907751;Arran Chaos;это частный случай понятия;1;1;from
Q25907751;Arran Chaos;длина;1;1;from
Q25907751;Arran Chaos;код Gazetteer of Planetary Nomenclature;1;1;from
Q25907751;Arran Chaos;на астрономическом теле;1;1;from
Q25907752;Narberth Chaos;это частный случай понятия;1;1;from
Q25907752;Narberth Chaos;длина;1;1;from
Q25907752;Narberth Chaos;код Gazetteer of Planetary Nomenclature;1;1;from
Q25907752;Narberth Chaos;на астрономическом теле;1;1;from
Q25907753;Rathmore Chaos;это частный случай понятия;1;1;from
Q25907753;Rathmore Chaos;длина;1;1;from
Q25907753;Rathmore Chaos;на астрономическом теле;1;1;from
Q24064570;Xanthe Chaos;местонахождение;1;1;from
Q28653699;Nia Chaos;это частный случай понятия;1;1;from
Q28653699;Nia Chaos;диаметр;1;1;from
Q28653699;Nia Chaos;местонахождение;1;1;from
Q28653699;Nia Chaos;код Gazetteer of Planetary Nomenclature;1;1;from
Q28653699;Nia Chaos;часть от;1;1;from
Q28653699;Nia Chaos;категория на Викискладе;1;1;from
Q28653699;Nia Chaos;на астрономическом теле;1;1;from
Q28653699;Nia Chaos;географические координаты;1;1;from
Q28653699;Nia Chaos;состоит из;1;1;to
Q55126164;Q55126164;это частный случай понятия;1;1;from
Q55126164;Q55126164;диаметр;1;1;from
Q55126164;Q55126164;код Gazetteer of Planetary Nomenclature;1;1;from
Q55126164;Q55126164;на астрономическом теле;1;1;from
Q24064570;Xanthe Chaos;код Gazetteer of Planetary Nomenclature;1;1;from
Q24064570;Xanthe Chaos;длина;1;1;from
Q24064566;Margaritifer Chaos;изображение;1;1;from
Q24064568;Oxia Chaos;длина;1;1;from
Q24064566;Margaritifer Chaos;это частный случай понятия;1;1;from
Q24064566;Margaritifer Chaos;длина;1;1;from
Q24064566;Margaritifer Chaos;код Gazetteer of Planetary Nomenclature;1;1;from
Q24064566;Margaritifer Chaos;категория на Викискладе;1;1;from
Q24064566;Margaritifer Chaos;на астрономическом теле;1;1;from
Q24064566;Margaritifer Chaos;географические координаты;1;1;from
Q24064567;Nilus Chaos;это частный случай понятия;1;1;from
Q24064567;Nilus Chaos;длина;1;1;from
Q24064567;Nilus Chaos;код Gazetteer of Planetary Nomenclature;1;1;from
Q24064567;Nilus Chaos;категория на Викискладе;1;1;from
Q24064567;Nilus Chaos;на астрономическом теле;1;1;from
Q24064567;Nilus Chaos;географические координаты;1;1;from
Q24064568;Oxia Chaos;это частный случай понятия;1;1;from
Q24064568;Oxia Chaos;местонахождение;1;1;from
Q24064570;Xanthe Chaos;это частный случай понятия;1;1;from
Q24064568;Oxia Chaos;код Gazetteer of Planetary Nomenclature;1;1;from
Q24064568;Oxia Chaos;категория на Викискладе;1;1;from
Q24064568;Oxia Chaos;на астрономическом теле;1;1;from
Q24064568;Oxia Chaos;географические координаты;1;1;from
Q24064569;Pyrrhae Chaos;изображение;1;1;from
Q24064569;Pyrrhae Chaos;это частный случай понятия;1;1;from
Q24064569;Pyrrhae Chaos;длина;1;1;from
Q24064569;Pyrrhae Chaos;местонахождение;1;1;from
Q24064569;Pyrrhae Chaos;код Gazetteer of Planetary Nomenclature;1;1;from
Q24064569;Pyrrhae Chaos;категория на Викискладе;1;1;from
Q24064569;Pyrrhae Chaos;на астрономическом теле;1;1;from
Q24064569;Pyrrhae Chaos;географические координаты;1;1;from
Q24064570;Xanthe Chaos;изображение;1;1;from
Q24064549;Candor Chaos;местонахождение;1;1;from
Q24064549;Candor Chaos;это частный случай понятия;1;1;from
Q24064548;Baetis Chaos;географические координаты;1;1;from
Q4822314;Aureum Chaos;код Gazetteer of Planetary Nomenclature;1;1;from
Q3867401;Murias Chaos;на астрономическом теле;1;1;from
Q3867401;Murias Chaos;географические координаты;1;1;from
Q4816714;Atlantis Chaos;изображение;1;1;from
Q4816714;Atlantis Chaos;это частный случай понятия;1;1;from
Q4816714;Atlantis Chaos;длина;1;1;from
Q4816714;Atlantis Chaos;местонахождение;1;2;from
Q4816714;Atlantis Chaos;код Gazetteer of Planetary Nomenclature;1;1;from
Q4816714;Atlantis Chaos;категория на Викискладе;1;1;from
Q4816714;Atlantis Chaos;на астрономическом теле;1;1;from
Q4816714;Atlantis Chaos;географические координаты;1;1;from
Q4822314;Aureum Chaos;это частный случай понятия;1;1;from
Q4822314;Aureum Chaos;длина;1;1;from
Q4822314;Aureum Chaos;местонахождение;1;1;from
Q4822314;Aureum Chaos;категория на Викискладе;1;1;from
Q3867401;Murias Chaos;длина;1;1;from
Q4822314;Aureum Chaos;на астрономическом теле;1;1;from
Q4822314;Aureum Chaos;географические координаты;1;1;from
Q5381876;Eos Chaos;это частный случай понятия;1;1;from
Q5381876;Eos Chaos;длина;1;1;from
