entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q217043;Olduvai Gorge;видеофайл;1;1;from
Q58460089;Kalktuffwand im Klingelbachgraben W von Lengfurt;статус наследия;1;1;from
Q58460089;Kalktuffwand im Klingelbachgraben W von Lengfurt;находится на берегу водоёма;1;1;from
Q58460089;Kalktuffwand im Klingelbachgraben W von Lengfurt;изображение;1;1;from
Q58460089;Kalktuffwand im Klingelbachgraben W von Lengfurt;государство;1;1;from
Q58460089;Kalktuffwand im Klingelbachgraben W von Lengfurt;административно-территориальная единица;1;1;from
Q58459969;Schlucht Arzloch NW von Mistelbach;географические координаты;1;1;from
Q58459969;Schlucht Arzloch NW von Mistelbach;Bavarian geotope ID;1;1;from
Q58459969;Schlucht Arzloch NW von Mistelbach;категория на Викискладе;1;1;from
Q58459969;Schlucht Arzloch NW von Mistelbach;статус наследия;1;1;from
Q58459969;Schlucht Arzloch NW von Mistelbach;это частный случай понятия;1;2;from
Q58459969;Schlucht Arzloch NW von Mistelbach;изображение;1;1;from
Q58459969;Schlucht Arzloch NW von Mistelbach;государство;1;1;from
Q58459969;Schlucht Arzloch NW von Mistelbach;административно-территориальная единица;1;1;from
Q58459827;Schlucht Salamandertal in Eckersdorf;географические координаты;1;1;from
Q58459827;Schlucht Salamandertal in Eckersdorf;Bavarian geotope ID;1;1;from
Q58459827;Schlucht Salamandertal in Eckersdorf;категория на Викискладе;1;1;from
Q58459827;Schlucht Salamandertal in Eckersdorf;статус наследия;1;1;from
Q58459827;Schlucht Salamandertal in Eckersdorf;это частный случай понятия;1;2;from
Q58459827;Schlucht Salamandertal in Eckersdorf;изображение;1;1;from
Q58459827;Schlucht Salamandertal in Eckersdorf;государство;1;1;from
Q58459827;Schlucht Salamandertal in Eckersdorf;административно-территориальная единица;1;1;from
Q58424611;Ringelbachschlucht NW von Gössenheim;географические координаты;1;1;from
Q58460089;Kalktuffwand im Klingelbachgraben W von Lengfurt;это частный случай понятия;1;4;from
Q58460089;Kalktuffwand im Klingelbachgraben W von Lengfurt;категория на Викискладе;1;1;from
Q58424611;Ringelbachschlucht NW von Gössenheim;категория на Викискладе;1;1;from
Q58460089;Kalktuffwand im Klingelbachgraben W von Lengfurt;Bavarian geotope ID;1;1;from
Q59194320;Steinbruch Wup ESE von Rettenberg;это частный случай понятия;1;2;from
Q59194320;Steinbruch Wup ESE von Rettenberg;государство;1;1;from
Q59194320;Steinbruch Wup ESE von Rettenberg;административно-территориальная единица;1;1;from
Q59194271;Ehem. Steinbruch NE von Gumpersdorf;географические координаты;1;1;from
Q59194271;Ehem. Steinbruch NE von Gumpersdorf;Bavarian geotope ID;1;1;from
Q59194271;Ehem. Steinbruch NE von Gumpersdorf;это частный случай понятия;1;2;from
Q59194271;Ehem. Steinbruch NE von Gumpersdorf;государство;1;1;from
Q59194271;Ehem. Steinbruch NE von Gumpersdorf;административно-территориальная единица;1;1;from
Q59160617;Schlucht NW von Taxöldern;географические координаты;1;1;from
Q59160617;Schlucht NW von Taxöldern;Bavarian geotope ID;1;1;from
Q59160617;Schlucht NW von Taxöldern;это частный случай понятия;1;2;from
Q59160617;Schlucht NW von Taxöldern;государство;1;1;from
Q59160617;Schlucht NW von Taxöldern;административно-территориальная единица;1;1;from
