entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q398116;City Municipality of Novo Mesto;административно-территориальная единица;1;325;to
Q3441823;City Municipality of Celje;EU Research participant ID;1;1;from
Q3441823;City Municipality of Celje;код ISNI;1;1;from
Q3441823;City Municipality of Celje;код VIAF;1;1;from
Q3441823;City Municipality of Celje;карта местонахождения;1;1;from
Q3441823;City Municipality of Celje;код LCNAF;1;1;from
Q3441823;City Municipality of Celje;это частный случай понятия;1;1;from
Q3441823;City Municipality of Celje;столица;1;1;from
Q3441823;City Municipality of Celje;имеет границы с;1;6;from
Q3441823;City Municipality of Celje;код CONOR;1;1;from
Q3441823;City Municipality of Celje;код GeoNames;1;1;from
Q3441823;City Municipality of Celje;площадь;1;1;from
Q3441823;City Municipality of Celje;почтовый индекс;1;1;from
Q3441823;City Municipality of Celje;ISO 3166-2;1;1;from
Q3441823;City Municipality of Celje;EU VAT number;1;1;from
Q3441823;City Municipality of Celje;категория на Викискладе;1;1;from
Q3441823;City Municipality of Celje;географические координаты;1;1;from
Q398116;City Municipality of Novo Mesto;государство;1;1;from
Q3441823;City Municipality of Celje;код Freebase;1;1;from
Q3441823;City Municipality of Celje;Who's on First ID;1;1;from
Q3441823;City Municipality of Celje;официальный сайт;1;1;from
Q3441823;City Municipality of Celje;FIPS 10-4 (страны и регионы);1;1;from
Q3441823;City Municipality of Celje;основная категория по теме;1;1;from
Q3441823;City Municipality of Celje;место в MusicBrainz;1;1;from
Q3441823;City Municipality of Celje;административно делится на;1;1;to
Q3441823;City Municipality of Celje;общая тема категории;1;1;to
Q3441823;City Municipality of Celje;является столицей;1;1;to
Q3441849;Velenje City Municipality;административно-территориальная единица;1;76;to
Q3441849;Velenje City Municipality;государство;1;1;from
Q3441849;Velenje City Municipality;изображение;1;2;from
Q3441849;Velenje City Municipality;город-побратим;1;1;to
Q3441849;Velenje City Municipality;код ISNI;1;1;from
Q3441823;City Municipality of Celje;изображение;1;1;from
Q3441823;City Municipality of Celje;государство;1;1;from
Q3441823;City Municipality of Celje;административно-территориальная единица;1;180;to
Q3441817;Slovenj Gradec City Municipality;общая тема категории;1;1;to
Q3441808;Ptuj City Municipality;ISO 3166-2;1;1;from
Q3441808;Ptuj City Municipality;категория на Викискладе;1;1;from
Q3441808;Ptuj City Municipality;географические координаты;1;1;from
Q3441808;Ptuj City Municipality;Who's on First ID;1;1;from
Q3441808;Ptuj City Municipality;основная категория по теме;1;1;from
Q3441808;Ptuj City Municipality;административно делится на;1;1;to
Q3441808;Ptuj City Municipality;общая тема категории;1;1;to
Q3441817;Slovenj Gradec City Municipality;административно-территориальная единица;1;162;to
Q3441817;Slovenj Gradec City Municipality;государство;1;1;from
Q3441817;Slovenj Gradec City Municipality;изображение;1;1;from
Q3441817;Slovenj Gradec City Municipality;код ISNI;1;1;from
Q3441817;Slovenj Gradec City Municipality;код VIAF;1;2;from
Q3441817;Slovenj Gradec City Municipality;код LCNAF;1;1;from
Q3441817;Slovenj Gradec City Municipality;это частный случай понятия;1;2;from
Q3441817;Slovenj Gradec City Municipality;код CONOR;1;1;from
Q3441817;Slovenj Gradec City Municipality;код GeoNames;1;1;from
Q3441817;Slovenj Gradec City Municipality;высота над уровнем моря;1;1;from
Q3441817;Slovenj Gradec City Municipality;площадь;1;1;from
Q3441817;Slovenj Gradec City Municipality;почтовый индекс;1;1;from
Q3441817;Slovenj Gradec City Municipality;ISO 3166-2;1;1;from
Q3441817;Slovenj Gradec City Municipality;категория на Викискладе;1;1;from
Q3441817;Slovenj Gradec City Municipality;географические координаты;1;1;from
Q3441817;Slovenj Gradec City Municipality;код Freebase;1;1;from
Q3441817;Slovenj Gradec City Municipality;Who's on First ID;1;1;from
Q3441817;Slovenj Gradec City Municipality;WorldCat Identities ID;1;1;from
Q3441817;Slovenj Gradec City Municipality;FIPS 10-4 (страны и регионы);1;1;from
Q3441817;Slovenj Gradec City Municipality;основная категория по теме;1;1;from
Q3441817;Slovenj Gradec City Municipality;место в MusicBrainz;1;1;from
Q3441817;Slovenj Gradec City Municipality;административно делится на;1;1;to
Q3441849;Velenje City Municipality;код VIAF;1;1;from
Q3441849;Velenje City Municipality;код LCNAF;1;1;from
Q3441849;Velenje City Municipality;это частный случай понятия;1;1;from
Q3441893;Kranj City Municipality;ISO 3166-2;1;1;from
Q3441893;Kranj City Municipality;код автомобильного номера;1;1;from
Q3441893;Kranj City Municipality;географические координаты;1;1;from
Q3441893;Kranj City Municipality;официальный сайт;1;1;from
Q3441893;Kranj City Municipality;основная категория по теме;1;1;from
Q3441893;Kranj City Municipality;место в MusicBrainz;1;1;from
Q3441893;Kranj City Municipality;административно делится на;1;1;to
Q3441893;Kranj City Municipality;основная тема шаблона;1;1;to
Q3441893;Kranj City Municipality;местонахождение;1;1;to
Q3441893;Kranj City Municipality;общая тема категории;1;1;to
Q9273677;Murska Sobota City Municipality;административно-территориальная единица;1;58;to
Q9273677;Murska Sobota City Municipality;государство;1;1;from
Q9273677;Murska Sobota City Municipality;изображение;1;1;from
Q9273677;Murska Sobota City Municipality;код ISNI;1;1;from
Q9273677;Murska Sobota City Municipality;код VIAF;1;1;from
Q9273677;Murska Sobota City Municipality;код LCNAF;1;1;from
Q9273677;Murska Sobota City Municipality;это частный случай понятия;1;1;from
Q9273677;Murska Sobota City Municipality;изображение флага;1;1;from
Q9273677;Murska Sobota City Municipality;код GeoNames;1;1;from
Q9273677;Murska Sobota City Municipality;высота над уровнем моря;1;1;from
Q9273677;Murska Sobota City Municipality;площадь;1;1;from
Q9273677;Murska Sobota City Municipality;почтовый индекс;1;1;from
Q9273677;Murska Sobota City Municipality;ISO 3166-2;1;1;from
Q9273677;Murska Sobota City Municipality;категория на Викискладе;1;1;from
Q9273677;Murska Sobota City Municipality;код автомобильного номера;1;1;from
