entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q340134;climate of the Arctic;это частный случай понятия;1;1;from
Q5133583;climate of Pakistan;это частный случай понятия;1;1;from
Q5133581;climate of Oklahoma City;это частный случай понятия;1;1;from
Q5133581;climate of Oklahoma City;тематически относится к;1;1;from
Q5133582;climate of Oregon;государство;1;1;from
Q5133582;climate of Oregon;это частный случай понятия;1;1;from
Q5133582;climate of Oregon;тематически относится к;1;1;from
Q5133582;climate of Oregon;подкласс от;1;1;from
Q5133582;climate of Oregon;категория на Викискладе;1;1;from
Q5133582;climate of Oregon;основная категория по теме;1;1;from
Q5133582;climate of Oregon;общая тема категории;1;1;to
Q5133583;climate of Pakistan;тематически относится к;1;1;from
Q5133551;climate of Hyderabad, Pakistan;это частный случай понятия;1;1;from
Q5133583;climate of Pakistan;подкласс от;1;1;from
Q5133583;climate of Pakistan;категория на Викискладе;1;1;from
Q5133583;climate of Pakistan;основная категория по теме;1;1;from
Q5133583;climate of Pakistan;общая тема категории;1;1;to
Q5133584;climate of Pennsylvania;государство;1;1;from
Q5133584;climate of Pennsylvania;это частный случай понятия;1;1;from
Q5133584;climate of Pennsylvania;тематически относится к;1;1;from
Q5133584;climate of Pennsylvania;подкласс от;1;1;from
Q5133584;climate of Pennsylvania;категория на Викискладе;1;1;from
Q5133581;climate of Oklahoma City;государство;1;1;from
Q5133580;climate of New Zealand;общая тема категории;1;1;to
Q5133580;climate of New Zealand;основная категория по теме;1;1;from
Q5133580;climate of New Zealand;категория на Викискладе;1;1;from
Q5133576;climate of Nawabshah;географические координаты;1;1;from
Q5133578;climate of North Carolina;государство;1;1;from
Q5133578;climate of North Carolina;это частный случай понятия;1;1;from
Q5133578;climate of North Carolina;тематически относится к;1;1;from
Q5133578;climate of North Carolina;подкласс от;1;1;from
Q5133578;climate of North Carolina;категория на Викискладе;1;1;from
Q5133578;climate of North Carolina;основная категория по теме;1;1;from
Q5133578;climate of North Carolina;общая тема категории;1;1;to
Q5133579;climate of North Dakota;государство;1;1;from
Q5133579;climate of North Dakota;это частный случай понятия;1;1;from
Q5133579;climate of North Dakota;тематически относится к;1;1;from
Q5133579;climate of North Dakota;код BabelNet;1;1;from
Q5133579;climate of North Dakota;подкласс от;1;1;from
Q5133579;climate of North Dakota;категория на Викискладе;1;1;from
Q5133579;climate of North Dakota;основная категория по теме;1;1;from
Q5133579;climate of North Dakota;общая тема категории;1;1;to
Q5133580;climate of New Zealand;государство;1;1;from
Q5133580;climate of New Zealand;это частный случай понятия;1;1;from
Q5133580;climate of New Zealand;тематически относится к;1;1;from
Q5133584;climate of Pennsylvania;основная категория по теме;1;1;from
Q5133584;climate of Pennsylvania;общая тема категории;1;1;to
Q5133585;climate of Peshawar;государство;1;1;from
Q5133592;climate of Salt Lake City;тематически относится к;1;1;from
Q5133593;climate of Romania;государство;1;1;from
Q5133593;climate of Romania;это частный случай понятия;1;1;from
Q5133593;climate of Romania;тематически относится к;1;1;from
Q5133593;climate of Romania;категория на Викискладе;1;1;from
Q5133594;climate of Saudi Arabia;государство;1;1;from
Q5133594;climate of Saudi Arabia;это частный случай понятия;1;1;from
Q5133594;climate of Saudi Arabia;тематически относится к;1;1;from
Q5133594;climate of Saudi Arabia;категория на Викискладе;1;1;from
Q5133595;climate of Seoul;государство;1;1;from
Q5133595;climate of Seoul;это частный случай понятия;1;1;from
Q5133595;climate of Seoul;тематически относится к;1;1;from
Q5133595;climate of Seoul;географические координаты;1;1;from
Q5133596;climate of Sindh;это частный случай понятия;1;1;from
Q5133596;climate of Sindh;тематически относится к;1;1;from
Q5133596;climate of Sindh;основная категория по теме;1;1;from
Q5133596;climate of Sindh;общая тема категории;1;1;to
Q5133597;climate of South Carolina;государство;1;1;from
Q5133597;climate of South Carolina;это частный случай понятия;1;1;from
Q5133597;climate of South Carolina;тематически относится к;1;1;from
Q5133592;climate of Salt Lake City;подкласс от;1;1;from
Q5133592;climate of Salt Lake City;это частный случай понятия;1;1;from
Q5133585;climate of Peshawar;это частный случай понятия;1;1;from
Q5133592;climate of Salt Lake City;государство;1;1;from
Q5133585;climate of Peshawar;тематически относится к;1;1;from
Q5133586;climate of Paraguay;государство;1;1;from
Q5133586;climate of Paraguay;это частный случай понятия;1;1;from
Q5133586;climate of Paraguay;тематически относится к;1;1;from
Q5133586;climate of Paraguay;категория на Викискладе;1;1;from
Q5133586;climate of Paraguay;основная категория по теме;1;1;from
Q5133586;climate of Paraguay;общая тема категории;1;1;to
Q5133587;climate of Peru;государство;1;1;from
Q5133587;climate of Peru;это частный случай понятия;1;1;from
Q5133587;climate of Peru;тематически относится к;1;1;from
Q5133589;climate of Puerto Rico;это частный случай понятия;1;1;from
Q5133589;climate of Puerto Rico;тематически относится к;1;1;from
Q5133589;climate of Puerto Rico;рабочий список проекта Викимедиа;1;1;from
Q5133590;climate of Quetta;государство;1;1;from
Q5133590;climate of Quetta;это частный случай понятия;1;1;from
Q5133590;climate of Quetta;тематически относится к;1;1;from
Q5133591;climate of San Diego;государство;1;1;from
Q5133591;climate of San Diego;это частный случай понятия;1;1;from
Q5133591;climate of San Diego;тематически относится к;1;1;from
Q5133576;climate of Nawabshah;тематически относится к;1;1;from
Q5133576;climate of Nawabshah;это частный случай понятия;1;1;from
Q5133576;climate of Nawabshah;государство;1;1;from
Q5133555;climate of Islamabad;географические координаты;1;1;from
Q5133556;climate of Karachi;это частный случай понятия;1;1;from
Q5133556;climate of Karachi;тематически относится к;1;1;from
Q5133556;climate of Karachi;географические координаты;1;1;from
Q5133558;climate of Kolkata;государство;1;1;from
Q5133558;climate of Kolkata;это частный случай понятия;1;1;from
Q5133558;climate of Kolkata;тематически относится к;1;1;from
Q5133559;climate of Lahore;государство;1;1;from
Q5133559;climate of Lahore;это частный случай понятия;1;1;from
Q5133559;climate of Lahore;тематически относится к;1;1;from
Q5133560;climate of Kaziranga National Park;государство;1;1;from
Q5133560;climate of Kaziranga National Park;это частный случай понятия;1;1;from
Q5133560;climate of Kaziranga National Park;тематически относится к;1;1;from
Q5133561;climate of Launceston, Tasmania;государство;1;1;from
Q5133561;climate of Launceston, Tasmania;это частный случай понятия;1;1;from
Q5133561;climate of Launceston, Tasmania;тематически относится к;1;1;from
Q5133562;climate of Malta;это частный случай понятия;1;1;from
Q5133562;climate of Malta;тематически относится к;1;1;from
Q5133562;climate of Malta;подкласс от;1;1;from
Q5133562;climate of Malta;категория на Викискладе;1;1;from
Q5133556;climate of Karachi;государство;1;1;from
Q5133555;climate of Islamabad;тематически относится к;1;1;from
Q5133563;climate of Manitoba;это частный случай понятия;1;1;from
Q5133555;climate of Islamabad;это частный случай понятия;1;1;from
Q5133551;climate of Hyderabad, Pakistan;географические координаты;1;1;from
Q5133552;climate of Hong Kong;это частный случай понятия;1;1;from
Q5133552;climate of Hong Kong;тематически относится к;1;1;from
Q5133552;climate of Hong Kong;категория на Викискладе;1;1;from
Q5133552;climate of Hong Kong;географические координаты;1;1;from
Q5133552;climate of Hong Kong;основная категория по теме;1;1;from
Q5133552;climate of Hong Kong;общая тема категории;1;1;to
Q5133553;climate of Illinois;государство;1;1;from
Q5133553;climate of Illinois;это частный случай понятия;1;1;from
Q5133553;climate of Illinois;тематически относится к;1;1;from
Q5133553;climate of Illinois;подкласс от;1;1;from
Q5133553;climate of Illinois;категория на Викискладе;1;1;from
Q5133553;climate of Illinois;основная категория по теме;1;1;from
Q5133553;climate of Illinois;общая тема категории;1;1;to
Q5133554;climate of Indonesia;государство;1;1;from
Q5133554;climate of Indonesia;это частный случай понятия;1;1;from
Q5133554;climate of Indonesia;тематически относится к;1;1;from
Q5133554;climate of Indonesia;рабочий список проекта Викимедиа;1;1;from
Q5133555;climate of Islamabad;государство;1;1;from
Q5133563;climate of Manitoba;государство;1;1;from
Q5133563;climate of Manitoba;тематически относится к;1;1;from
Q5133575;climate of Muscat;географические координаты;1;1;from
Q5133568;climate of Missouri;тематически относится к;1;1;from
Q5133568;climate of Missouri;категория на Викискладе;1;1;from
Q5133568;climate of Missouri;основная категория по теме;1;1;from
Q5133568;climate of Missouri;общая тема категории;1;1;to
Q5133569;climate of Moncton;государство;1;1;from
Q5133569;climate of Moncton;это частный случай понятия;1;1;from
Q5133569;climate of Moncton;тематически относится к;1;1;from
Q5133570;climate of Mount Kenya;это частный случай понятия;1;1;from
Q5133570;climate of Mount Kenya;тематически относится к;1;1;from
Q5133570;climate of Mount Kenya;Microsoft Academic ID;1;1;from
Q5133571;climate of Multan;государство;1;1;from
Q5133571;climate of Multan;это частный случай понятия;1;1;from
Q5133571;climate of Multan;тематически относится к;1;1;from
Q5133571;climate of Multan;географические координаты;1;1;from
Q5133573;climate of Mumbai;государство;1;1;from
Q5133573;climate of Mumbai;это частный случай понятия;1;1;from
Q5133573;climate of Mumbai;тематически относится к;1;1;from
Q5133575;climate of Muscat;государство;1;1;from
Q5133575;climate of Muscat;это частный случай понятия;1;1;from
Q5133575;climate of Muscat;тематически относится к;1;1;from
Q5133568;climate of Missouri;подкласс от;1;1;from
Q5133568;climate of Missouri;это частный случай понятия;1;1;from
Q5133564;climate of Mecca;государство;1;1;from
Q5133568;climate of Missouri;государство;1;1;from
Q5133564;climate of Mecca;это частный случай понятия;1;1;from
Q5133564;climate of Mecca;тематически относится к;1;1;from
Q5133564;climate of Mecca;географические координаты;1;1;from
Q5133565;climate of Massachusetts;государство;1;1;from
Q5133565;climate of Massachusetts;это частный случай понятия;1;1;from
Q5133565;climate of Massachusetts;тематически относится к;1;1;from
Q5133565;climate of Massachusetts;подкласс от;1;1;from
Q5133565;climate of Massachusetts;категория на Викискладе;1;1;from
Q5133565;climate of Massachusetts;основная категория по теме;1;1;from
Q5133565;climate of Massachusetts;общая тема категории;1;1;to
Q5133566;climate of Miami;государство;1;1;from
Q5133566;climate of Miami;это частный случай понятия;1;1;from
Q5133566;climate of Miami;тематически относится к;1;1;from
Q5133566;climate of Miami;часть от;1;1;from
Q5133566;climate of Miami;пример использования свойства;1;1;to
Q5133567;climate of Milwaukee;государство;1;1;from
Q5133567;climate of Milwaukee;это частный случай понятия;1;1;from
Q5133567;climate of Milwaukee;тематически относится к;1;1;from
Q5133567;climate of Milwaukee;подкласс от;1;1;from
Q5133597;climate of South Carolina;подкласс от;1;1;from
Q5133597;climate of South Carolina;категория на Викискладе;1;1;from
Q5133597;climate of South Carolina;основная категория по теме;1;1;from
Q16949243;climate of Bilbao;это частный случай понятия;1;1;from
Q17011732;climate of Madrid;государство;1;1;from
Q17011732;climate of Madrid;это частный случай понятия;1;1;from
Q17011732;climate of Madrid;тематически относится к;1;1;from
Q17011732;climate of Madrid;код в энциклопедии «Британника онлайн»;1;1;from
Q17625416;climate of South Georgia and the South Sandwich Islands;государство;1;1;from
Q17625416;climate of South Georgia and the South Sandwich Islands;это частный случай понятия;1;1;from
Q17625416;climate of South Georgia and the South Sandwich Islands;тематически относится к;1;1;from
Q17995772;climate of Ecuador;государство;1;1;from
Q17995772;climate of Ecuador;это частный случай понятия;1;1;from
Q17995772;climate of Ecuador;тематически относится к;1;1;from
Q17995772;climate of Ecuador;рабочий список проекта Викимедиа;1;1;from
Q17995772;climate of Ecuador;основная категория по теме;1;1;from
Q17995772;climate of Ecuador;общая тема категории;1;1;to
Q18127265;climate of Lisbon;государство;1;1;from
Q18127265;climate of Lisbon;это частный случай понятия;1;1;from
Q18127265;climate of Lisbon;тематически относится к;1;1;from
Q18204649;climate of ancient Rome;это частный случай понятия;1;2;from
Q18204649;climate of ancient Rome;тематически относится к;1;1;from
Q18204649;climate of ancient Rome;рабочий список проекта Викимедиа;1;1;from
Q16949243;climate of Bilbao;тематически относится к;1;1;from
Q16949243;climate of Bilbao;государство;1;1;from
Q18347959;climate of Little Rock, Arkansas;это частный случай понятия;1;1;from
Q16827109;climate of New England;тематически относится к;1;1;from
Q11895004;climate of Finland;категория на Викискладе;1;1;from
Q13018663;climate of Thailand;государство;1;1;from
Q13018663;climate of Thailand;это частный случай понятия;1;1;from
Q13018663;climate of Thailand;тематически относится к;1;1;from
Q15527034;climate of Nova Scotia;государство;1;1;from
Q15527034;climate of Nova Scotia;это частный случай понятия;1;1;from
Q15527034;climate of Nova Scotia;тематически относится к;1;1;from
Q15720660;climate of Portugal;государство;1;1;from
Q15720660;climate of Portugal;это частный случай понятия;1;1;from
Q15720660;climate of Portugal;тематически относится к;1;1;from
Q15720660;climate of Portugal;подкласс от;1;1;from
Q16359783;climate of Kosovo;это частный случай понятия;1;1;from
Q16359783;climate of Kosovo;тематически относится к;1;1;from
Q16733424;climate of Ghana;государство;1;1;from
Q16733424;climate of Ghana;это частный случай понятия;1;1;from
Q16733424;climate of Ghana;тематически относится к;1;1;from
Q16733424;climate of Ghana;рабочий список проекта Викимедиа;1;1;from
Q16827109;climate of New England;государство;1;1;from
Q16827109;climate of New England;это частный случай понятия;1;1;from
Q18347959;climate of Little Rock, Arkansas;государство;1;1;from
Q18347959;climate of Little Rock, Arkansas;тематически относится к;1;1;from
Q11895004;climate of Finland;тематически относится к;1;1;from
Q23793241;climate of South America;подкласс от;1;2;to
Q24189202;climate of Melbourne;государство;1;1;from
Q24189202;climate of Melbourne;это частный случай понятия;1;1;from
Q24189202;climate of Melbourne;тематически относится к;1;1;from
Q24189202;climate of Melbourne;Microsoft Academic ID;1;1;from
Q29467480;climate of Rajasthan;государство;1;1;from
Q29467480;climate of Rajasthan;это частный случай понятия;1;1;from
Q29467480;climate of Rajasthan;тематически относится к;1;1;from
Q30587835;climate of Albania;государство;1;1;from
Q30587835;climate of Albania;это частный случай понятия;1;1;from
Q30587835;climate of Albania;тематически относится к;1;1;from
Q47001473;climate of Japan;государство;1;1;from
Q47001473;climate of Japan;это частный случай понятия;1;1;from
Q47001473;climate of Japan;тематически относится к;1;2;from
Q47001473;climate of Japan;подкласс от;1;1;from
Q47001473;climate of Japan;категория на Викискладе;1;1;from
Q47001473;climate of Japan;основная категория по теме;1;1;from
Q47001473;climate of Japan;общая тема категории;1;1;to
Q67759068;climate of Baku;государство;1;1;from
Q67759068;climate of Baku;это частный случай понятия;1;1;from
Q23793241;climate of South America;состоит из;1;1;to
Q23793241;climate of South America;тематически относится к;1;1;from
Q18347959;climate of Little Rock, Arkansas;подкласс от;1;1;from
Q23793241;climate of South America;это частный случай понятия;1;1;from
Q18712857;climate of Rome;государство;1;1;from
Q18712857;climate of Rome;это частный случай понятия;1;1;from
Q18712857;climate of Rome;тематически относится к;1;1;from
Q20576867;climate of Latvia;государство;1;1;from
Q20576867;climate of Latvia;это частный случай понятия;1;1;from
Q20576867;climate of Latvia;тематически относится к;1;1;from
Q20576867;climate of Latvia;Latvian National Encyclopedia Online ID;1;1;from
Q20576867;climate of Latvia;основная категория по теме;1;1;from
Q20576867;climate of Latvia;общая тема категории;1;1;to
Q21384937;climate of London;государство;1;1;from
Q21384937;climate of London;это частный случай понятия;1;1;from
Q21384937;climate of London;тематически относится к;1;1;from
Q23793233;climate of North America;часть света;1;1;from
Q23793233;climate of North America;это частный случай понятия;1;1;from
Q23793233;climate of North America;тематически относится к;1;1;to
Q23793233;climate of North America;код в Большой норвежской энциклопедии;1;1;from
Q23793233;climate of North America;подкласс от;1;2;to
Q23793233;climate of North America;состоит из;1;1;to
Q23793241;climate of South America;часть света;1;1;from
