entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q2598195;South Col;государство;1;1;from
Q49151681;Q49151681;административно-территориальная единица;1;1;from
Q49151634;Q49151634;государство;1;1;from
Q49151634;Q49151634;это частный случай понятия;1;1;from
Q49151634;Q49151634;код GeoNames;1;1;from
Q49151634;Q49151634;географические координаты;1;1;from
Q49151678;Q49151678;административно-территориальная единица;1;1;from
Q49151678;Q49151678;государство;1;1;from
Q49151678;Q49151678;это частный случай понятия;1;1;from
Q49151678;Q49151678;код GeoNames;1;1;from
Q49151678;Q49151678;географические координаты;1;1;from
Q49151681;Q49151681;государство;1;1;from
Q49151579;Q49151579;код GeoNames;1;1;from
Q49151681;Q49151681;это частный случай понятия;1;1;from
Q49151681;Q49151681;код GeoNames;1;1;from
Q49151681;Q49151681;географические координаты;1;1;from
Q49151684;Q49151684;административно-территориальная единица;1;1;from
Q49151684;Q49151684;государство;1;1;from
Q49151684;Q49151684;это частный случай понятия;1;1;from
Q49151684;Q49151684;код GeoNames;1;1;from
Q49151684;Q49151684;географические координаты;1;1;from
Q49151686;Q49151686;административно-территориальная единица;1;1;from
Q49151579;Q49151579;географические координаты;1;1;from
Q49151579;Q49151579;это частный случай понятия;1;1;from
Q49151686;Q49151686;это частный случай понятия;1;1;from
Q49151523;Q49151523;географические координаты;1;1;from
Q49151510;Q49151510;географические координаты;1;1;from
Q49151521;Q49151521;государство;1;1;from
Q49151521;Q49151521;это частный случай понятия;1;1;from
Q49151521;Q49151521;код GeoNames;1;1;from
Q49151521;Q49151521;географические координаты;1;1;from
Q49151523;Q49151523;административно-территориальная единица;1;1;from
Q49151523;Q49151523;государство;1;1;from
Q49151523;Q49151523;это частный случай понятия;1;1;from
Q49151523;Q49151523;код GeoNames;1;1;from
Q49151527;Q49151527;административно-территориальная единица;1;1;from
Q49151579;Q49151579;государство;1;1;from
Q49151527;Q49151527;государство;1;1;from
Q49151527;Q49151527;это частный случай понятия;1;1;from
Q49151527;Q49151527;код GeoNames;1;1;from
Q49151527;Q49151527;географические координаты;1;1;from
Q49151528;Q49151528;государство;1;1;from
Q49151528;Q49151528;это частный случай понятия;1;1;from
Q49151528;Q49151528;код GeoNames;1;1;from
Q49151528;Q49151528;географические координаты;1;1;from
Q49151579;Q49151579;административно-территориальная единица;1;1;from
Q49151686;Q49151686;государство;1;1;from
Q49151686;Q49151686;код GeoNames;1;1;from
Q49151510;Q49151510;это частный случай понятия;1;1;from
Q49151703;Q49151703;географические координаты;1;1;from
Q49151701;Q49151701;административно-территориальная единица;1;1;from
Q49151701;Q49151701;государство;1;1;from
Q49151701;Q49151701;это частный случай понятия;1;1;from
Q49151701;Q49151701;код GeoNames;1;1;from
Q49151701;Q49151701;географические координаты;1;1;from
Q49151703;Q49151703;административно-территориальная единица;1;1;from
Q49151703;Q49151703;государство;1;1;from
Q49151703;Q49151703;это частный случай понятия;1;1;from
Q49151703;Q49151703;код GeoNames;1;1;from
