entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q102377;Blekinge County;административно-территориальная единица;1;392;to
Q104746;Kronoberg County;географические координаты;1;1;from
Q104746;Kronoberg County;основная категория по теме;1;1;from
Q104746;Kronoberg County;FIPS 10-4 (страны и регионы);1;1;from
Q104746;Kronoberg County;официальный сайт;1;1;from
Q104746;Kronoberg County;категория карт на Викискладе;1;1;from
Q104746;Kronoberg County;Who's on First ID;1;1;from
Q104746;Kronoberg County;код Freebase;1;1;from
Q104746;Kronoberg County;код NUTS;1;1;from
Q104746;Kronoberg County;место рождения;1;4;to
Q104746;Kronoberg County;дата основания/создания/возникновения;1;1;from
Q104746;Kronoberg County;идентификатор местоположения ArchINFORM;1;1;from
Q104746;Kronoberg County;Swedish National Archive ID;1;1;from
Q104746;Kronoberg County;код лена;1;1;from
Q104746;Kronoberg County;TORA ID;1;1;from
Q104746;Kronoberg County;ID отношения в OpenStreetMap;1;1;from
Q104746;Kronoberg County;место в MusicBrainz;1;1;from
Q104746;Kronoberg County;место смерти;1;2;to
Q104746;Kronoberg County;категория на Викискладе;1;1;from
Q104877;Västerbotten County;государство;1;1;from
Q104877;Västerbotten County;столица;1;1;from
Q104877;Västerbotten County;это частный случай понятия;1;1;from
Q104877;Västerbotten County;код LCNAF;1;1;from
Q104877;Västerbotten County;карта местонахождения;1;1;from
Q104877;Västerbotten County;описание герба;1;1;from
Q104877;Västerbotten County;код VIAF;1;1;from
Q104877;Västerbotten County;административно делится на;1;1;to
Q104746;Kronoberg County;зона обслуживания;1;1;to
Q104877;Västerbotten County;оператор;1;1;from
Q104877;Västerbotten County;административно-территориальная единица;1;1440;to
Q104746;Kronoberg County;является столицей;1;1;to
Q104746;Kronoberg County;общая тема категории;1;1;to
Q104746;Kronoberg County;юрисдикция распространяется на;1;1;to
Q104746;Kronoberg County;категория объединяет темы;1;4;to
Q104746;Kronoberg County;код автомобильного номера;1;1;from
Q104746;Kronoberg County;код NE.se;1;1;from
Q104891;Västernorrland County;часть от;1;4;from
Q104746;Kronoberg County;административно-территориальная единица;1;297;to
Q104746;Kronoberg County;код GND;1;1;from
Q104746;Kronoberg County;код VIAF;1;1;from
Q104746;Kronoberg County;изображение;1;1;from
Q104746;Kronoberg County;государство;1;1;from
Q104746;Kronoberg County;административно делится на;1;1;to
Q104746;Kronoberg County;оператор;1;1;from
Q104257;Örebro County;является столицей;1;1;to
Q104746;Kronoberg County;карта местонахождения;1;1;from
Q104257;Örebro County;юрисдикция распространяется на;1;1;to
Q104257;Örebro County;общая тема категории;1;1;to
Q104257;Örebro County;место рождения;1;1;to
Q104257;Örebro County;зона обслуживания;1;1;to
Q104257;Örebro County;основная тема;1;1;to
Q104257;Örebro County;категория объединяет темы;1;4;to
Q104746;Kronoberg County;описание герба;1;1;from
Q104746;Kronoberg County;код LCNAF;1;1;from
Q104746;Kronoberg County;ISO 3166-2;1;2;from
Q104746;Kronoberg County;код в энциклопедии «Британника онлайн»;1;1;from
Q104746;Kronoberg County;буквенный код шведского лена;1;1;from
Q104746;Kronoberg County;площадь;1;6;from
Q104746;Kronoberg County;код TGN;1;1;from
Q104746;Kronoberg County;код GeoNames;1;1;from
Q104746;Kronoberg County;категория для людей, умерших здесь;1;1;from
Q104746;Kronoberg County;категория для людей, родившихся здесь;1;1;from
Q104746;Kronoberg County;должность главы правительства;1;1;from
Q104746;Kronoberg County;это частный случай понятия;1;1;from
Q104746;Kronoberg County;численность населения;1;12;from
Q104746;Kronoberg County;изображение герба;1;1;from
Q104746;Kronoberg County;глава правительства;1;5;from
Q104746;Kronoberg County;имеет границы с;1;5;to
Q104746;Kronoberg County;изображение флага;1;1;from
Q104746;Kronoberg County;столица;1;1;from
Q104877;Västerbotten County;изображение флага;1;1;from
Q104877;Västerbotten County;имеет границы с;1;4;to
Q104877;Västerbotten County;изображение герба;1;1;from
Q104891;Västernorrland County;код VIAF;1;1;from
Q104891;Västernorrland County;столица;1;3;from
Q104891;Västernorrland County;это частный случай понятия;1;1;from
Q104891;Västernorrland County;код LCNAF;1;1;from
Q104891;Västernorrland County;карта местонахождения;1;1;from
Q104891;Västernorrland County;описание герба;1;1;from
Q104891;Västernorrland County;код GND;1;1;from
Q104891;Västernorrland County;государство;1;1;from
Q104891;Västernorrland County;имеет границы с;1;3;to
Q104891;Västernorrland County;административно делится на;1;1;to
Q104891;Västernorrland County;административно-территориальная единица;1;591;to
Q104877;Västerbotten County;является столицей;1;1;to
Q104877;Västerbotten County;общая тема категории;1;1;to
Q104877;Västerbotten County;юрисдикция распространяется на;1;1;to
Q104877;Västerbotten County;категория объединяет темы;1;6;to
Q104891;Västernorrland County;изображение флага;1;1;from
Q104891;Västernorrland County;глава правительства;1;3;from
Q104877;Västerbotten County;численность населения;1;10;from
Q104891;Västernorrland County;код TGN;1;1;from
