entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q1342;Pittsburgh;основатель;1;2;from
Q1006179;Monroe;это частный случай понятия;1;2;from
Q1006179;Monroe;FIPS 55-3 (места в США);1;1;from
Q1006179;Monroe;Who's on First ID;1;1;from
Q1006179;Monroe;код Freebase;1;1;from
Q1006179;Monroe;географические координаты;1;1;from
Q1006179;Monroe;код GNIS;1;1;from
Q1006179;Monroe;идентификатор местоположения ArchINFORM;1;1;from
Q1006179;Monroe;местный телефонный код;1;1;from
Q1006179;Monroe;категория на Викискладе;1;1;from
Q1006179;Monroe;код темы Quora;1;1;from
Q1006179;Monroe;почтовый индекс;1;1;from
Q1006179;Monroe;площадь;1;1;from
Q1006179;Monroe;высота над уровнем моря;1;1;from
Q1006179;Monroe;не путать с;1;1;from
Q1006179;Monroe;категория для людей, связанных с местностью;1;1;from
Q1006179;Monroe;код GeoNames;1;1;from
Q1006179;Monroe;является столицей;1;1;from
Q1006179;Monroe;код в Большой каталанской энциклопедии;1;1;from
Q1006179;Monroe;официальный сайт;1;1;from
Q1006179;Monroe;место в MusicBrainz;1;1;from
Q1006179;Monroe;место рождения;1;19;to
Q1010225;Meadville;административно-территориальная единица;1;17;to
Q1010225;Meadville;код в энциклопедии «Британника онлайн»;1;1;from
Q1010225;Meadville;является столицей;1;1;from
Q1010225;Meadville;численность населения;1;1;from
Q1010225;Meadville;это частный случай понятия;1;2;from
Q1010225;Meadville;карта местонахождения;1;1;from
Q1010225;Meadville;изображение;1;1;from
Q1010225;Meadville;государство;1;1;from
Q1006179;Monroe;лицензия на вещание в;1;2;to
Q1006179;Monroe;место смерти;1;3;to
Q1006179;Monroe;обслуживаемый город;1;1;to
Q1006179;Monroe;названо в честь;1;1;to
Q1006179;Monroe;место создания;1;1;to
Q1006179;Monroe;расположение штаб-квартиры;1;1;to
Q1006179;Monroe;категория объединяет темы;1;1;to
Q1006179;Monroe;место публикации;1;1;to
Q1006179;Monroe;столица;1;1;to
Q1006179;Monroe;численность населения;1;1;from
Q1006179;Monroe;код LCNAF;1;1;from
Q1010225;Meadville;категория для людей, умерших здесь;1;1;from
Q1006179;Monroe;карта местонахождения;1;2;from
Q1003724;Menomonie;категория карт на Викискладе;1;1;from
Q1003724;Menomonie;FIPS 55-3 (места в США);1;1;from
Q1003724;Menomonie;Who's on First ID;1;1;from
Q1003724;Menomonie;код Freebase;1;1;from
Q1003724;Menomonie;географические координаты;1;1;from
Q1003724;Menomonie;код GNIS;1;1;from
Q1003724;Menomonie;дата основания/создания/возникновения;1;1;from
Q1003724;Menomonie;категория на Викискладе;1;1;from
Q1003724;Menomonie;код темы Quora;1;1;from
Q1003724;Menomonie;почтовый индекс;1;1;from
Q1003724;Menomonie;площадь;1;1;from
Q1003724;Menomonie;код GeoNames;1;1;from
Q1003724;Menomonie;является столицей;1;1;from
Q1003724;Menomonie;код в Большой каталанской энциклопедии;1;1;from
Q1003724;Menomonie;численность населения;1;1;from
Q1003724;Menomonie;это частный случай понятия;1;2;from
Q1003724;Menomonie;код LCNAF;1;1;from
Q1003724;Menomonie;официальный сайт;1;1;from
Q1003724;Menomonie;место в MusicBrainz;1;1;from
Q1003724;Menomonie;dmoz;1;1;from
Q1003724;Menomonie;лицензия на вещание в;1;6;to
Q1006179;Monroe;код GND;1;1;from
Q1006179;Monroe;код VIAF;1;1;from
Q1006179;Monroe;код ISNI;1;1;from
Q1006179;Monroe;изображение;1;1;from
Q1006179;Monroe;государство;1;1;from
Q1006179;Monroe;административно-территориальная единица;1;8;to
Q1003724;Menomonie;категория объединяет темы;1;1;to
Q1003724;Menomonie;обслуживаемый город;1;1;to
Q1003724;Menomonie;место рождения;1;13;to
Q1003724;Menomonie;названо в честь;1;1;to
Q1003724;Menomonie;место публикации;1;4;to
Q1003724;Menomonie;административно делится на;1;1;to
Q1003724;Menomonie;столица;1;1;to
Q1003724;Menomonie;место смерти;1;2;to
Q1003724;Menomonie;место жительства;1;1;to
Q1003724;Menomonie;расположение штаб-квартиры;1;2;to
Q1010225;Meadville;категория для людей, родившихся здесь;1;1;from
Q1010225;Meadville;код GeoNames;1;1;from
Q1003724;Menomonie;код VIAF;1;1;from
Q1013478;Friendship;является столицей;1;1;from
Q1013478;Friendship;место погребения;1;1;to
Q1013478;Friendship;административно делится на;1;1;to
Q1013478;Friendship;столица;1;1;to
Q1013478;Friendship;официальный сайт;1;1;from
Q1013478;Friendship;FIPS 55-3 (места в США);1;1;from
Q1013478;Friendship;Who's on First ID;1;1;from
Q1013478;Friendship;код Freebase;1;1;from
Q1013478;Friendship;географические координаты;1;1;from
Q1013478;Friendship;код GNIS;1;1;from
Q1013478;Friendship;идентификатор местоположения ArchINFORM;1;1;from
Q1013478;Friendship;местный телефонный код;1;1;from
Q1013478;Friendship;категория на Викискладе;1;1;from
Q1013478;Friendship;идентификатор Ringgold;1;1;from
Q1013478;Friendship;код темы Quora;1;1;from
Q1013478;Friendship;почтовый индекс;1;1;from
Q1013478;Friendship;площадь;1;1;from
Q1013478;Friendship;высота над уровнем моря;1;1;from
Q1013660;Juneau;административно-территориальная единица;1;2;to
Q1013660;Juneau;государство;1;1;from
Q1013660;Juneau;изображение;1;1;from
Q1013660;Juneau;высота над уровнем моря;1;1;from
Q1013660;Juneau;географические координаты;1;1;from
Q1013660;Juneau;код GNIS;1;1;from
Q1013660;Juneau;идентификатор местоположения ArchINFORM;1;1;from
Q1013660;Juneau;местный телефонный код;1;1;from
Q1013660;Juneau;категория на Викискладе;1;1;from
Q1013660;Juneau;почтовый индекс;1;1;from
Q1013660;Juneau;площадь;1;1;from
Q1013660;Juneau;не путать с;1;1;from
Q1013660;Juneau;код VIAF;1;1;from
Q1013660;Juneau;код GeoNames;1;1;from
Q1013660;Juneau;является столицей;1;1;from
Q1013660;Juneau;численность населения;1;1;from
Q1013660;Juneau;имеет границы с;1;1;from
Q1013660;Juneau;это частный случай понятия;1;2;from
Q1013660;Juneau;код LCNAF;1;1;from
Q1013660;Juneau;карта местонахождения;1;1;from
Q1013478;Friendship;код GeoNames;1;1;from
Q1013478;Friendship;код в Большой каталанской энциклопедии;1;1;from
Q1010225;Meadville;категория для людей, связанных с местностью;1;1;from
Q1013478;Friendship;численность населения;1;1;from
Q1010225;Meadville;dmoz;1;1;from
Q1010225;Meadville;место в MusicBrainz;1;1;from
Q1010225;Meadville;основная категория по теме;1;1;from
Q1010225;Meadville;официальный сайт;1;1;from
Q1010225;Meadville;FIPS 55-3 (места в США);1;1;from
Q1010225;Meadville;Who's on First ID;1;1;from
Q1010225;Meadville;код Freebase;1;1;from
Q1010225;Meadville;географические координаты;1;1;from
Q1010225;Meadville;код GNIS;1;1;from
Q1010225;Meadville;дата основания/создания/возникновения;1;1;from
Q1010225;Meadville;идентификатор местоположения ArchINFORM;1;1;from
Q1010225;Meadville;местный телефонный код;1;1;from
Q1010225;Meadville;категория на Викискладе;1;1;from
Q1010225;Meadville;код темы Quora;1;1;from
Q1010225;Meadville;почтовый индекс;1;1;from
Q1010225;Meadville;площадь;1;1;from
Q1010225;Meadville;высота над уровнем моря;1;1;from
Q1010225;Meadville;категория объединяет темы;1;3;to
Q1010225;Meadville;общая тема категории;1;1;to
Q1010225;Meadville;место рождения;1;58;to
Q1013478;Friendship;административно-территориальная единица;1;2;to
Q1013478;Friendship;это частный случай понятия;1;2;from
Q1013478;Friendship;код LCNAF;1;1;from
Q1013478;Friendship;карта местонахождения;1;1;from
Q1013478;Friendship;код VIAF;1;1;from
Q1013478;Friendship;код ISNI;1;1;from
Q1013478;Friendship;изображение;1;1;from
