entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q13984;Casanare Department;административно-территориальная единица;1;1078;to
Q234501;Tolima Department;баннер Викигида;1;1;from
Q234501;Tolima Department;FIPS 10-4 (страны и регионы);1;1;from
Q234501;Tolima Department;официальный сайт;1;1;from
Q234501;Tolima Department;Who's on First ID;1;1;from
Q234501;Tolima Department;код Freebase;1;1;from
Q234501;Tolima Department;географические координаты;1;1;from
Q234501;Tolima Department;дата основания/создания/возникновения;1;1;from
Q234501;Tolima Department;ID отношения в OpenStreetMap;1;1;from
Q234501;Tolima Department;категория на Викискладе;1;1;from
Q234501;Tolima Department;ISO 3166-2;1;1;from
Q234501;Tolima Department;используемый язык;1;2;from
Q234501;Tolima Department;код BNF;1;1;from
Q234501;Tolima Department;площадь;1;1;from
Q234501;Tolima Department;высота над уровнем моря;1;1;from
Q234501;Tolima Department;категория для людей, связанных с местностью;1;1;from
Q234501;Tolima Department;код TGN;1;1;from
Q234501;Tolima Department;код GeoNames;1;1;from
Q234501;Tolima Department;категория для людей, умерших здесь;1;1;from
Q234501;Tolima Department;категория для людей, родившихся здесь;1;1;from
Q234501;Tolima Department;код в энциклопедии «Британника онлайн»;1;1;from
Q234501;Tolima Department;основная категория по теме;1;1;from
Q234501;Tolima Department;место в MusicBrainz;1;1;from
Q234501;Tolima Department;код в Большой каталанской энциклопедии;1;1;from
Q234501;Tolima Department;место рождения;1;15;to
Q234505;Vaupés Department;численность населения;1;1;from
Q234505;Vaupés Department;изображение герба;1;1;from
Q234505;Vaupés Department;имеет границы с;1;5;to
Q234505;Vaupés Department;изображение флага;1;1;from
Q234505;Vaupés Department;столица;1;1;from
Q234505;Vaupés Department;это частный случай понятия;1;1;from
Q234505;Vaupés Department;карта местонахождения;1;1;from
Q234505;Vaupés Department;исполнительная власть;1;1;from
Q234505;Vaupés Department;законодательный орган;1;1;from
Q234505;Vaupés Department;государство;1;1;from
Q234505;Vaupés Department;административно-территориальная единица;1;141;to
Q234501;Tolima Department;административно делится на;1;1;to
Q234501;Tolima Department;общая тема категории;1;1;to
Q234501;Tolima Department;изображённый объект;1;1;to
Q234501;Tolima Department;происходит из;1;3;to
Q234501;Tolima Department;юрисдикция распространяется на;1;8;to
Q234501;Tolima Department;названо в честь;1;1;to
Q234501;Tolima Department;категория объединяет темы;1;3;to
Q234501;Tolima Department;является столицей;1;1;to
Q234501;Tolima Department;должность главы правительства;1;1;from
Q234501;Tolima Department;изображение герба;1;1;from
Q234505;Vaupés Department;должность главы правительства;1;1;from
Q233058;Norte de Santander Department;баннер Викигида;1;1;from
Q233058;Norte de Santander Department;основная категория по теме;1;1;from
Q233058;Norte de Santander Department;FIPS 10-4 (страны и регионы);1;1;from
Q233058;Norte de Santander Department;официальный сайт;1;1;from
