entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q33159617;Xankandi Sahari;государство;1;1;from
Q661405;Arima;дата основания/создания/возникновения;1;1;from
Q661405;Arima;код GeoNames;1;1;from
Q661405;Arima;площадь;1;1;from
Q661405;Arima;код GNS;1;1;from
Q661405;Arima;ISO 3166-2;1;1;from
Q661405;Arima;категория на Викискладе;1;1;from
Q661405;Arima;анклав в;1;1;from
Q661405;Arima;географические координаты;1;1;from
Q661405;Arima;код в Большой каталанской энциклопедии;1;1;from
Q661405;Arima;код Freebase;1;1;from
Q661405;Arima;Who's on First ID;1;1;from
Q661405;Arima;FIPS 10-4 (страны и регионы);1;1;from
Q661405;Arima;основная категория по теме;1;1;from
Q661405;Arima;баннер Викигида;1;1;from
Q661405;Arima;место в MusicBrainz;1;1;from
Q661405;Arima;категория для людей, родившихся здесь;1;1;from
Q661405;Arima;численность населения;1;1;from
Q697840;Ralik Chain;код GeoNames;1;1;from
Q658161;Neutral Municipality;площадь;1;1;from
Q658161;Neutral Municipality;государство;1;1;from
Q658161;Neutral Municipality;карта местонахождения;1;1;from
Q658161;Neutral Municipality;это частный случай понятия;1;2;from
Q658161;Neutral Municipality;столица;1;1;from
Q658161;Neutral Municipality;изображение флага;1;1;from
Q658161;Neutral Municipality;заменён на;1;1;from
Q658161;Neutral Municipality;дата основания/создания/возникновения;1;1;from
Q661405;Arima;это частный случай понятия;1;2;from
Q658161;Neutral Municipality;дата прекращения существования;1;1;from
Q658161;Neutral Municipality;географические координаты;1;1;from
Q658161;Neutral Municipality;заменил;1;1;to
Q658161;Neutral Municipality;является столицей;1;1;to
Q661405;Arima;государство;1;1;from
Q661405;Arima;изображение;1;1;from
Q661405;Arima;место рождения;1;43;to
Q661405;Arima;место смерти;1;2;to
Q661405;Arima;категория объединяет темы;1;1;to
Q676724;Vacoas-Phoenix;расположение штаб-квартиры;1;1;to
Q676724;Vacoas-Phoenix;Who's on First ID;1;1;from
Q676724;Vacoas-Phoenix;официальный сайт;1;1;from
Q676724;Vacoas-Phoenix;основная категория по теме;1;1;from
Q676724;Vacoas-Phoenix;место рождения;1;14;to
Q676724;Vacoas-Phoenix;категория объединяет темы;1;1;to
Q676724;Vacoas-Phoenix;место жительства;1;2;to
Q676724;Vacoas-Phoenix;общая тема категории;1;1;to
