entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q26346;Amiaĺnoje;административно-территориальная единица;1;1;from
Q22343943;Козловка;дата прекращения существования;1;1;from
Q22079376;Ailles;дата прекращения существования;1;1;from
Q22079376;Ailles;географические координаты;1;1;from
Q22079376;Ailles;юрисдикция распространяется на;1;2;to
Q22079388;Courtecon;административно-территориальная единица;1;1;from
Q22079388;Courtecon;государство;1;1;from
Q22079388;Courtecon;изображение;1;1;from
Q22079388;Courtecon;это частный случай понятия;1;3;from
Q22079388;Courtecon;численность населения;1;1;from
Q22079388;Courtecon;должность главы правительства;1;1;from
Q22079388;Courtecon;категория на Викискладе;1;1;from
Q22079388;Courtecon;дата прекращения существования;1;1;from
Q22079388;Courtecon;географические координаты;1;1;from
Q22079388;Courtecon;юрисдикция распространяется на;1;2;to
Q22343794;Блиновский;административно-территориальная единица;1;1;from
Q22343794;Блиновский;государство;1;1;from
Q22343794;Блиновский;это частный случай понятия;1;2;from
Q22343794;Блиновский;численность населения;1;1;from
Q22343794;Блиновский;почтовый индекс;1;1;from
Q22343794;Блиновский;часовой пояс;1;3;from
Q22343794;Блиновский;дата прекращения существования;1;1;from
Q22343794;Блиновский;географические координаты;1;1;from
Q22343794;Блиновский;код ОКАТО;1;1;from
Q22343943;Козловка;административно-территориальная единица;1;1;from
Q22343943;Козловка;государство;1;1;from
Q22343943;Козловка;это частный случай понятия;1;2;from
Q22079376;Ailles;категория на Викискладе;1;1;from
Q22079376;Ailles;должность главы правительства;1;1;from
Q22079376;Ailles;численность населения;1;1;from
Q22073221;Oregon, Tennessee;административно-территориальная единица;1;1;from
Q22073098;Ezell, South Carolina;административно-территориальная единица;1;1;from
Q22073098;Ezell, South Carolina;государство;1;1;from
Q22073098;Ezell, South Carolina;это частный случай понятия;1;1;from
Q22073098;Ezell, South Carolina;код GeoNames;1;1;from
Q22073098;Ezell, South Carolina;код GNIS;1;1;from
Q22073098;Ezell, South Carolina;географические координаты;1;1;from
Q22073098;Ezell, South Carolina;Who's on First ID;1;1;from
Q22073147;Ardee, Tennessee;государство;1;1;from
Q22073147;Ardee, Tennessee;это частный случай понятия;1;1;from
Q22073147;Ardee, Tennessee;код GNIS;1;1;from
Q22073147;Ardee, Tennessee;географические координаты;1;1;from
Q22073221;Oregon, Tennessee;государство;1;1;from
Q22079376;Ailles;это частный случай понятия;1;3;from
Q22073221;Oregon, Tennessee;это частный случай понятия;1;1;from
Q22073221;Oregon, Tennessee;код GNIS;1;1;from
Q22073221;Oregon, Tennessee;географические координаты;1;1;from
Q22073283;Cunningham Hill, Utah;административно-территориальная единица;1;1;from
Q22073283;Cunningham Hill, Utah;государство;1;1;from
Q22073283;Cunningham Hill, Utah;это частный случай понятия;1;1;from
Q22073283;Cunningham Hill, Utah;код GNIS;1;1;from
Q22073283;Cunningham Hill, Utah;географические координаты;1;1;from
Q22079376;Ailles;административно-территориальная единица;1;1;from
Q22079376;Ailles;государство;1;1;from
Q22079376;Ailles;изображение;1;1;from
Q22343943;Козловка;часовой пояс;1;3;from
Q22343943;Козловка;географические координаты;1;1;from
Q23950382;Foltz, West Virginia;это частный случай понятия;1;1;from
Q23010328;Ano Koryfi;государство;1;1;from
Q23837690;Покровское;административно-территориальная единица;1;4;from
Q23837690;Покровское;государство;1;1;from
Q23837690;Покровское;это частный случай понятия;1;1;from
Q23837690;Покровское;почтовый индекс;1;1;from
Q23837690;Покровское;дата прекращения существования;1;1;from
Q23837690;Покровское;географические координаты;1;1;from
Q23837690;Покровское;код ОКАТО;1;1;from
Q23837690;Покровское;место рождения;1;1;to
Q23838070;Топкино;государство;1;1;from
Q23838070;Топкино;это частный случай понятия;1;1;from
Q23838070;Топкино;почтовый индекс;1;1;from
Q23838070;Топкино;дата прекращения существования;1;1;from
Q23838070;Топкино;географические координаты;1;1;from
Q23838070;Топкино;код ОКАТО;1;1;from
Q23838078;Трубичено;административно-территориальная единица;1;1;from
Q23838078;Трубичено;государство;1;1;from
Q23838078;Трубичено;это частный случай понятия;1;1;from
Q23838078;Трубичено;является столицей;1;1;from
Q23838078;Трубичено;дата прекращения существования;1;1;from
Q23838078;Трубичено;географические координаты;1;1;from
Q23838078;Трубичено;столица;1;1;to
Q23838107;Хижахка;государство;1;1;from
Q23838107;Хижахка;это частный случай понятия;1;1;from
Q23838107;Хижахка;географические координаты;1;1;from
Q23950382;Foltz, West Virginia;административно-территориальная единица;1;1;from
Q23837670;Петрищево;географические координаты;1;1;from
Q23837670;Петрищево;дата прекращения существования;1;1;from
Q23837670;Петрищево;дата основания/создания/возникновения;1;1;from
Q23835851;Воскресеновка;государство;1;1;from
Q23010328;Ano Koryfi;это частный случай понятия;1;1;from
Q23010328;Ano Koryfi;код GeoNames;1;1;from
Q23010328;Ano Koryfi;географические координаты;1;1;from
Q23018411;Avance, South Dakota;административно-территориальная единица;1;1;from
Q23018411;Avance, South Dakota;государство;1;1;from
Q23018411;Avance, South Dakota;это частный случай понятия;1;1;from
Q23018411;Avance, South Dakota;код GeoNames;1;1;from
Q23018411;Avance, South Dakota;код GNIS;1;1;from
