entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q260796;Aqaba Governorate;административно-территориальная единица;1;91;to
Q750259;Tafilah Governorate;государство;1;1;from
Q750259;Tafilah Governorate;численность населения;1;1;from
Q750259;Tafilah Governorate;имеет границы с;1;1;from
Q750259;Tafilah Governorate;столица;1;1;from
Q750259;Tafilah Governorate;это частный случай понятия;1;1;from
Q750259;Tafilah Governorate;карта местонахождения;1;1;from
Q750259;Tafilah Governorate;изображение;1;1;from
Q750259;Tafilah Governorate;административно-территориальная единица;1;194;to
Q750259;Tafilah Governorate;код GeoNames;1;1;from
Q735245;Karak Governorate;административно делится на;1;1;to
Q735245;Karak Governorate;является столицей;1;1;to
Q735245;Karak Governorate;общая тема категории;1;1;to
Q735245;Karak Governorate;категория объединяет темы;1;2;to
Q735245;Karak Governorate;место рождения;1;2;to
Q735245;Karak Governorate;место в MusicBrainz;1;1;from
Q750259;Tafilah Governorate;категория для людей, родившихся здесь;1;1;from
Q750259;Tafilah Governorate;код TGN;1;1;from
Q735245;Karak Governorate;FIPS 10-4 (страны и регионы);1;1;from
Q750259;Tafilah Governorate;является столицей;1;1;to
Q750270;Jerash Governorate;государство;1;1;from
Q750270;Jerash Governorate;административно-территориальная единица;1;15;to
Q750259;Tafilah Governorate;административно делится на;1;1;to
Q750259;Tafilah Governorate;общая тема категории;1;1;to
Q750259;Tafilah Governorate;категория объединяет темы;1;1;to
Q750259;Tafilah Governorate;место рождения;1;1;to
Q750259;Tafilah Governorate;основная категория по теме;1;1;from
Q750259;Tafilah Governorate;площадь;1;1;from
Q750259;Tafilah Governorate;FIPS 10-4 (страны и регионы);1;1;from
Q750259;Tafilah Governorate;Who's on First ID;1;1;from
Q750259;Tafilah Governorate;код Freebase;1;1;from
Q750259;Tafilah Governorate;географические координаты;1;1;from
Q750259;Tafilah Governorate;категория на Викискладе;1;1;from
Q750259;Tafilah Governorate;ISO 3166-2;1;1;from
Q735245;Karak Governorate;основная категория по теме;1;1;from
Q735245;Karak Governorate;Who's on First ID;1;1;from
Q260796;Aqaba Governorate;государство;1;1;from
Q721445;Zarqa Governorate;код Freebase;1;1;from
Q721445;Zarqa Governorate;категория объединяет темы;1;2;to
Q721445;Zarqa Governorate;является столицей;1;1;to
Q721445;Zarqa Governorate;место рождения;1;2;to
Q721445;Zarqa Governorate;основная категория по теме;1;1;from
Q721445;Zarqa Governorate;FIPS 10-4 (страны и регионы);1;1;from
Q721445;Zarqa Governorate;Who's on First ID;1;1;from
Q721445;Zarqa Governorate;географические координаты;1;1;from
Q721445;Zarqa Governorate;административно делится на;1;1;to
Q721445;Zarqa Governorate;категория на Викискладе;1;1;from
Q721445;Zarqa Governorate;ISO 3166-2;1;1;from
Q721445;Zarqa Governorate;площадь;1;1;from
Q721445;Zarqa Governorate;категория для людей, связанных с местностью;1;1;from
Q721445;Zarqa Governorate;код TGN;1;1;from
Q721445;Zarqa Governorate;код GeoNames;1;1;from
Q721445;Zarqa Governorate;общая тема категории;1;1;to
Q735245;Karak Governorate;административно-территориальная единица;1;306;to
Q735245;Karak Governorate;код Freebase;1;1;from
Q735245;Karak Governorate;код TGN;1;1;from
Q735245;Karak Governorate;географические координаты;1;1;from
Q735245;Karak Governorate;категория на Викискладе;1;1;from
Q735245;Karak Governorate;ISO 3166-2;1;1;from
Q735245;Karak Governorate;площадь;1;1;from
Q735245;Karak Governorate;категория для людей, связанных с местностью;1;1;from
Q735245;Karak Governorate;название на языке оригинала;1;1;from
Q735245;Karak Governorate;код GeoNames;1;1;from
Q735245;Karak Governorate;государство;1;1;from
Q735245;Karak Governorate;категория для людей, родившихся здесь;1;1;from
Q735245;Karak Governorate;численность населения;1;2;from
Q735245;Karak Governorate;имеет границы с;1;1;to
Q735245;Karak Governorate;столица;1;1;from
Q735245;Karak Governorate;это частный случай понятия;1;1;from
Q735245;Karak Governorate;карта местонахождения;1;1;from
Q750270;Jerash Governorate;изображение;1;1;from
Q750270;Jerash Governorate;карта местонахождения;1;1;from
Q750270;Jerash Governorate;это частный случай понятия;1;1;from
Q750447;Madaba Governorate;административно делится на;1;1;to
Q854871;Mafraq Governorate;имеет границы с;1;3;to
Q854871;Mafraq Governorate;столица;1;1;from
Q854871;Mafraq Governorate;это частный случай понятия;1;1;from
Q854871;Mafraq Governorate;карта местонахождения;1;1;from
Q854871;Mafraq Governorate;государство;1;1;from
Q854871;Mafraq Governorate;административно-территориальная единица;1;150;to
Q750447;Madaba Governorate;общая тема категории;1;1;to
Q854871;Mafraq Governorate;категория для людей, родившихся здесь;1;1;from
Q750447;Madaba Governorate;место рождения;1;1;to
Q750447;Madaba Governorate;место погребения;1;1;to
Q750447;Madaba Governorate;является столицей;1;1;to
Q750447;Madaba Governorate;основная категория по теме;1;1;from
Q750447;Madaba Governorate;FIPS 10-4 (страны и регионы);1;1;from
Q750447;Madaba Governorate;Who's on First ID;1;1;from
Q854871;Mafraq Governorate;численность населения;1;1;from
Q854871;Mafraq Governorate;код GeoNames;1;1;from
Q750270;Jerash Governorate;столица;1;1;from
Q854871;Mafraq Governorate;Who's on First ID;1;1;from
