entity_id;entity_name;prop_name;prop_count;prop_count_value;prop_dir
Q43108008;Q43108008;административно-территориальная единица;1;1;from
Q2128037;KV29;охранный статус;1;1;from
Q2184354;KV15;изображение;1;1;from
Q2184354;KV15;является частью цикла;1;2;from
Q2184354;KV15;государство;1;1;from
Q2184354;KV15;административно-территориальная единица;1;1;from
Q2128037;KV29;код Freebase;1;1;from
Q2128037;KV29;географические координаты;1;1;from
Q2128037;KV29;дата открытия;1;1;from
Q2184354;KV15;длина;1;1;from
Q2128037;KV29;это частный случай понятия;1;3;from
Q2128037;KV29;является частью цикла;1;2;from
Q2128037;KV29;государство;1;1;from
Q2128037;KV29;административно-территориальная единица;1;1;from
Q1976462;KV27;код Freebase;1;1;from
Q1976462;KV27;географические координаты;1;1;from
Q2184354;KV15;это частный случай понятия;1;3;from
Q2184354;KV15;площадь;1;1;from
Q1976462;KV27;руководитель раскопок;1;1;from
Q2300538;WV25;является частью цикла;1;2;from
Q2300538;WV25;руководитель раскопок;1;2;from
Q2300538;WV25;категория на Викискладе;1;1;from
Q2300538;WV25;план помещения;1;1;from
Q2300538;WV25;площадь;1;1;from
Q2300538;WV25;длина;1;1;from
Q2300538;WV25;это частный случай понятия;1;3;from
Q2300538;WV25;государство;1;1;from
Q2184354;KV15;план помещения;1;1;from
Q2184354;KV15;место погребения;1;1;to
Q2184354;KV15;код Freebase;1;1;from
Q2184354;KV15;географические координаты;1;1;from
Q2184354;KV15;обитатель;1;1;from
Q2184354;KV15;руководитель раскопок;1;1;from
Q2184354;KV15;категория на Викискладе;1;1;from
Q1976462;KV27;дата открытия;1;1;from
Q1976462;KV27;категория на Викискладе;1;1;from
Q2910785;KV51;руководитель раскопок;1;1;from
Q1868880;KV32;длина;1;1;from
Q1868880;KV32;географические координаты;1;1;from
Q1868880;KV32;дата открытия;1;1;from
Q1868880;KV32;руководитель раскопок;1;1;from
Q1868880;KV32;категория на Викискладе;1;1;from
Q1868880;KV32;план помещения;1;1;from
Q1868880;KV32;площадь;1;1;from
Q1868880;KV32;это частный случай понятия;1;3;from
Q1975338;KV37;административно-территориальная единица;1;1;from
Q1868880;KV32;является частью цикла;1;2;from
Q1868880;KV32;государство;1;1;from
Q1868880;KV32;административно-территориальная единица;1;1;from
Q1719164;KV56;код Freebase;1;1;from
Q1719164;KV56;географические координаты;1;1;from
Q1719164;KV56;дата открытия;1;1;from
Q1868880;KV32;код Freebase;1;1;from
Q1975338;KV37;государство;1;1;from
Q1976462;KV27;план помещения;1;1;from
Q1975338;KV37;географические координаты;1;1;from
Q1976462;KV27;площадь;1;1;from
Q1976462;KV27;длина;1;1;from
Q1976462;KV27;это частный случай понятия;1;3;from
Q1976462;KV27;является частью цикла;1;2;from
Q1976462;KV27;государство;1;1;from
Q1975338;KV37;код Freebase;1;1;from
Q1975338;KV37;дата открытия;1;1;from
Q1975338;KV37;является частью цикла;1;2;from
Q1975338;KV37;руководитель раскопок;1;1;from
Q1975338;KV37;категория на Викискладе;1;1;from
Q1975338;KV37;план помещения;1;1;from
Q1975338;KV37;площадь;1;1;from
Q1975338;KV37;длина;1;1;from
Q1975338;KV37;это частный случай понятия;1;3;from
Q2300538;WV25;дата открытия;1;1;from
Q2300538;WV25;географические координаты;1;1;from
Q2300538;WV25;код Freebase;1;1;from
Q2719492;KV33;это частный случай понятия;1;3;from
Q2771864;KV38;государство;1;1;from
Q2771864;KV38;административно-территориальная единица;1;1;from
Q2719492;KV33;код Freebase;1;1;from
Q2719492;KV33;географические координаты;1;1;from
Q2719492;KV33;дата открытия;1;1;from
Q2719492;KV33;руководитель раскопок;1;1;from
Q2719492;KV33;является частью цикла;1;2;from
Q2771864;KV38;это частный случай понятия;1;3;from
Q2719492;KV33;государство;1;1;from
Q2719492;KV33;административно-территориальная единица;1;1;from
Q2706226;WV23;место погребения;1;1;to
Q2706226;WV23;код Freebase;1;1;from
Q2706226;WV23;географические координаты;1;1;from
Q2706226;WV23;дата открытия;1;1;from
Q2771864;KV38;является частью цикла;1;2;from
Q2771864;KV38;длина;1;1;from
Q2300538;WV25;выдающееся произведение;1;1;to
Q2910785;KV51;административно-территориальная единица;1;1;from
Q2910785;KV51;план помещения;1;1;from
Q2910785;KV51;площадь;1;1;from
Q2910785;KV51;длина;1;1;from
Q2910785;KV51;это частный случай понятия;1;3;from
Q2910785;KV51;является частью цикла;1;2;from
Q2910785;KV51;государство;1;1;from
Q2771864;KV38;код Freebase;1;1;from
Q2771864;KV38;площадь;1;1;from
Q2771864;KV38;географические координаты;1;1;from
Q2771864;KV38;дата открытия;1;1;from
Q2771864;KV38;обитатель;1;1;from
Q2771864;KV38;руководитель раскопок;1;2;from
Q2771864;KV38;категория на Викискладе;1;1;from
Q2771864;KV38;план помещения;1;1;from
Q2706226;WV23;обитатель;1;1;from
Q2706226;WV23;руководитель раскопок;1;4;from
Q2706226;WV23;категория на Викискладе;1;1;from
